Des	CDGroup	CDAttr	CDTime	CDCount	CDCommon
char	int32	int32	int32	int32	int32
??1	1	1	500	0	0
??2	2	0	3000	0	0
3	3	0	3000	0	0
4	4	0	3000	0	0
101	101	0	3000	0	0
102	102	0	3000	0	0
1000	1000	0	3000	0	0
1001	1001	0	3000	0	0
1002	1002	0	3000	0	0
2001	2001	0	3000	0	0
3001	3001	0	3000	0	0
5106	5106	0	15000	2	0
??1	10001	0	10000	0	1
20001	20001	0	500	0	1
20002	20002	0	10000	0	1
20003	20003	0	10000	0	1
20004	20004	0	10000	0	1
20005	20005	0	10000	0	1
20006	20006	0	10000	0	1
20007	20007	0	10000	0	1
20008	20008	0	10000	0	1
20009	20009	0	10000	0	1
20010	20010	0	10000	0	1
30001	30001	0	10000	0	1
30002	30002	0	10000	0	1
30003	30003	0	10000	0	1
30004	30004	0	10000	0	1
30005	30005	0	10000	0	1
30006	30006	0	10000	0	1
30007	30007	0	10000	0	1
30008	30008	0	10000	0	1
30009	30009	0	10000	0	1
30010	30010	0	10000	0	1
30011	30011	0	10000	0	1
30012	30012	0	10000	0	1
30013	30013	0	10000	0	1
30014	30014	0	10000	0	1
30015	30015	0	25000	0	1
30016	30016	0	10000	0	1
30017	30017	0	10000	0	1
30018	30018	0	10000	0	1
30019	30019	0	10000	0	1
30020	30020	0	10000	0	1
