effectid	bindbone	controlType	particle	scale	lifetime	sound	type	dir	needpreload
int32	char	int32	char	f32	f32	int32	int32	int32	int32
1	-1	0	Effects/Particle/Common/BUFF_huifu_01.prefab	1	-1	0	2	0	1
2	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0001.prefab	1	-1	0	2	0	1
3	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_start.prefab	1	-1	0	2	0	1
4	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_loop.prefab	1	-1	0	2	0	1
5	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_end.prefab	1	-1	0	2	0	1
6	-1	0	Effects/Particle/Common/GUN_Flash_01.prefab	1	0.7	0	2	0	1
7	-1	0	Effects/Particle/Common/Attack_41.prefab	1	-1	0	2	0	1
8	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0001.prefab	1	-1	0	2	0	1
9	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0002.prefab	1	-1	0	2	0	1
10	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0003.prefab	1	-1	0	2	0	1
11	-1	0	Effects/Particle/Common/GUN_Bullet_042.prefab	1	-1	0	2	0	1
12	-1	0	Effects/Particle/Common/Bomb_041.prefab	1	-1	0	2	0	1
13	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0003.prefab	1	-1	0	2	0	1
201	-1	0	Effects/Hero/shan_hero_120.prefab	1	-1	0	2	0	1
202	-1	0	Effects/Hero/chang_hero.prefab	1	-1	0	2	0	1
203	-1	0	Effects/Hero/quan_hero.prefab	1	-1	0	2	0	1
204	-1	0	Effects/Hero/quan_hero.prefab	1	-1	0	2	0	1
666	-1	0	Effects/Particle/Player/SM_Wep_Rifle_Base_01.prefab	1	-1	0	2	0	1
667	-1	0	Effects/Particle/Player/SM_Wep_Knife_01.prefab	1	-1	0	2	0	1
