AnimationID	AnimName	IsSelfRestart	Motion	Layer
int32	char	int32	int32	int32
0	basic_stand	0	0	0
1	basic_idle_1	0	0	0
2	basic_idle_2	0	0	0
3	basic_idle_3	0	0	0
4	basic_idle_4	0	0	0
5	basic_idle_5	0	0	0
6	basic_idle_6	0	0	0
7	basic_idle_7	0	0	0
8	basic_idle_8	0	0	0
9	basic_idle_9	0	0	0
10	basic_idle_10	0	0	0
11	basic_walk	0	0	0
12	basic_run	0	0	0
13	basic_speedrun	0	0	0
14	basic_lockmoveidle	0	0	0
15	basic_lockmovefront	0	0	0
16	basic_lockmoveback	0	0	0
17	basic_lockmoveleft	0	0	0
18	basic_lockmoveright	0	0	0
19	blendtree	0	0	0
40	basic_hit_1	0	0	0
41	basic_hit_2	0	0	0
50	basic_die	0	0	0
51	basic_dodge	0	1	0
100	putup_side_single	0	0	0
101	putdown_side_single	0	0	0
102	putup_back_single	0	0	0
103	putdown_back_single	0	0	0
104	putup_bwaist_single	0	0	0
105	putdown_bwaist_single	0	0	0
120	putup_side_both	0	0	0
121	putdown_side_both	0	0	0
122	putup_back_both	0	0	0
123	putdown_back_both	0	0	0
124	putup_bwaist_both	0	0	0
125	putdown_bwaist_both	0	0	0
140	putup_side_Dual	0	0	0
141	putdown_side_Dual	0	0	0
142	putup_back_Dual	0	0	0
143	putdown_back_Dual	0	0	0
144	putup_bwaist_Dual	0	0	0
145	putdown_bwaist_Dual	0	0	0
1000	atk_bs_single_j_0001	1	1	0
1001	atk_bs_single_j_0002	1	1	0
1002	atk_bs_single_j_0003	1	1	0
1003	atk_ks_none_j_0001	1	0	0
1004	atk_ks_none_y_0001	1	0	0
1005	atk_ks_none_y_0002	1	0	0
1006	skill_bs_single_j_0001	1	1	0
1007	skill_bs_single_j_0002	1	0	0
1008	skill_bs_single_n_0001	1	0	0
1009	skill_bs_single_n_0002	1	0	0
1010	atk_bq_both_y_0001	1	0	1
1011	atk_bq_both_y_0002	1	0	1
1012	skill_bq_both_y_0001	1	0	0
1013	skill_bq_both_y_0002	1	0	0
1014	skill_bq_both_n_0001	1	0	0
1015	atk_bq_both_y_0003	1	0	0
1016	skill_ld_both_y_0001	1	0	0
1017	skill_bq_both_y_0003	1	0	0
1018	skill_bq_both_n_0002	1	0	0
