SkillID	Des	MSV_SkillType	MSV_SrcCheck	MSV_TarCheck	MSV_BaseSkillID	MSV_SkillAttr	MSV_TriggerType	MSV_TriggerCheck	MSV_TriggerNotify	MSV_TriggerDataID	MSV_TriggerValue	MSV_TriggerProbability	MSV_SpellLogic	MSV_SpellParam1	MSV_SpellParam2	MSV_SpellParam3	MSV_TarSeclect	MSV_TarType	MSV_TarLogic	MSV_Range	MSV_Angle	MSV_LockTime	MSV_LastTime	MSV_EffectTime	MSV_EffectCount	MSV_CDGroup	MSV_CDTime	MSV_CostType1	MSV_CostValue1	MSV_CostType2	MSV_CostValue2	MSV_LauncherLogic	MSV_LauncherParam1	MSV_LauncherParam2	MSV_LauncherParam3	MSV_ProjectileLogic	MSV_ProjectileTime	MSV_ProjectileSpeed	MSV_ProjectileEffectTime	MSV_ProjectileEffectCount	MSV_ProjectileParam1	MSV_ProjectileParam2	MSV_ProjectileParam3	MSV_ProjectileEffectID	MSV_ProjectileDieEffectID	MSV_ProjectileFly1EffectID	MSV_ProjectileFly2EffectID	MSV_AreaLogic	MSV_AreaTarCheck	MSV_AreaTarCnt	MSV_AreaParam1	MSV_AreaParam2	MSV_AreaParam3	MSV_EffectType	MSV_EffectLogic	MSV_EffectParam1	MSV_EffectParam2	MSV_EffectParam3	MSV_EffectCalculation	MSV_EffectTransform	MSV_EffectBeatBack	MSV_BeaBackSrcCond	MSV_BeatBackTarCond	MSV_BeatBackType	MSV_BeatBackDir	MSV_BeatBackOffsetDis	MSV_BeatBackFixedDis	MSV_BeatBackMoveTime	MSV_BeatBackLifeTime	MSV_AnimID	MSV_Priority	MSV_SkillDis	MSV_SkillMoveDir	MSV_CastType
int32	char	int32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	f32	f32	int32	int32	f32	int32	int32
5001	1号被动	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5002	1号普攻1	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	8	5	3	3	400	700	200	1	-1	500	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	1	30	10	1	1	10	1	1	15	0	2	0	0	0	1	0.5	0.5	0.5	0.5	1000	1	0.5	0	0
5003	1号普攻2	2	0	0	5002	0	0	0	0	0	0	0	10001	-1	-1	-1	1	8	5	3	3	500	800	200	1	-1	500	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	1	30	10	1	1	10	1	1	15	0	2	0	0	0	1	0.5	0.5	0.5	0.5	1001	1	0.5	0	0
5004	1号普攻3	2	0	0	5002	0	0	0	0	0	0	0	10001	-1	-1	-1	1	8	5	3	3	1067	1367	200	1	-1	500	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	1	30	10	1	1	10	1	1	15	0	2	0	0	0	1	1	1	0.5	0.5	1002	1	0.5	0	0
5005	1号普攻4	2	0	0	5002	0	0	0	0	0	0	0	10001	-1	-1	-1	1	8	5	3	3	500	1033	200	1	-1	500	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	1	30	10	1	1	10	1	1	15	0	2	0	0	0	1	1	1	0.5	0.5	1002	1	2	0	0
5006	1号技能1冲刺	2	0	0	0	4352	0	0	0	0	0	0	10001	-1	-1	-1	1	8	0	5	0	500	1900	200	1	30011	12000	0	0	0	0	2	-1	-1	-1	1	1000	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006	0	8	0	0
5007	1号技能1嘲讽	12	0	0	5006	0	11	2050	4	5006	0	1	30001	0	0	0	1	4	0	0	0	0	0	0	0	30012	1000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	50	0	0	0	4	5007	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5008	1号技能2	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	1	1	0	0	500	1100	200	1	30013	10000	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5008	1	1	1	0	0	0	0	0	0	0	0	0	0	1007	1	0	0	0
5009	1号技能3增益	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	1	1	0	0	500	967	200	1	30015	25000	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5010	1	1	1	0	0	0	0	0	0	0	0	0	0	1008	1	0	0	0
5010	1号技能3增益	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	1	1	0	0	500	967	200	1	30015	25000	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5010	1	1	1	0	0	0	0	0	0	0	0	0	0	1008	1	0	0	0
5011	1号技能3蓄力	2	0	0	0	0	0	0	0	0	0	0	10005	500	3	1009	1	1	1	0	0	500	967	200	1	30015	25000	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1008	1	0	0	2
5012	1号技能1增益	12	0	0	5006	0	1	2050	1	5006	0	1	30001	-1	-1	-1	1	1	1	0	0	0	2000	200	1	30017	12000	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5009	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5013	1号技能1buff	13	0	0	0	0	3	1052673	1	0	0	1	30001	0	0	0	1	2	0	0	0	0	0	0	1	30018	12000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1024	4	5014	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5101	2号被动静止加攻击	4	0	0	0	0	0	0	0	0	0	0	20002	1	2000	600	1	1	1	0	0	0	0	0	1	-1	0	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5101	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5102	2号普攻	2	0	0	0	65536	0	0	0	0	0	0	10001	-1	-1	-1	1	8	5	20	3	500	1000	250	1	30019	200	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	10	100	30	1	1	10	1	1	15	0	0	0	0	0	0	0	0	0	0	1010	1	0	0	0
5103	2号被动移动加防御	4	0	0	0	0	0	0	0	0	0	0	20002	0	2000	600	1	1	1	0	0	0	0	0	1	-1	0	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5103	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5106	2号技能1	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	1	1	0	0	2500	2000	2200	1	5106	0	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5106	1	1	1	0	0	0	0	0	0	0	0	0	0	1012	1	0	0	0
5107	2号技能2	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	1	1	0	0	2500	2000	2200	1	30020	12000	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5107	1	1	1	0	0	0	0	0	0	0	0	0	0	1013	1	0	0	0
5108	2号技能3	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	1	1	0	0	3000	3100	3000	1	30001	30000	6	7	8	9	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	10	1	1	1	0	0	0	0	0	0	0	0	0	0	1014	1	0	0	0
5109	2号技能2buff	13	0	0	0	0	3	1052673	1	0	0	1	30001	0	0	0	1	1	0	0	0	0	0	0	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1024	4	5110	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5110	2号技能3buff	13	0	0	0	0	3	1052673	1	0	0	1	30001	0	0	0	1	2	0	0	0	0	0	0	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1024	4	5111	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5202	2号普攻	2	0	0	0	65536	0	0	0	0	0	0	10001	-1	-1	-1	1	8	5	10	3	500	1000	250	1	30019	200	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	10	100	30	1	1	10	1	1	15	0	0	0	0	0	0	0	0	0	0	1010	1	0	0	0
5203	3号技能1	2	0	0	0	4096	0	0	0	0	0	0	10001	-1	-1	-1	1	4	0	20	0	500	1000	200	1	30011	12000	0	0	0	0	2	-1	-1	-1	4	1000	15	0	0	2	300	200	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016	1	0	0	0
5204	3号技能1伤害	12	0	0	5203	9728	11	2048	4	5203	0	1	30001	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	600	0	500	1	0	0	0	12	0	0	0	2	3	3	50	0	45	1	1	10	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5205	3号技能1治疗	12	0	0	5203	9732	11	2048	4	5203	0	1	30001	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	600	0	500	1	0	0	0	12	0	0	0	2	2	5	50	0	45	2	2	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5206	3号技能1持续治疗	12	0	0	5203	9732	11	2048	4	5203	0	1	30001	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	3000	0	500	10	0	0	0	1	0	0	0	2	2	5	50	0	45	2	2	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5207	3号技能2单体治疗	2	0	0	0	9220	0	0	0	0	0	0	10001	-1	-1	-1	1	1	0	20	0	700	1000	800	1	30012	10000	0	0	0	0	2	-1	-1	-1	3	400	0	300	1	1	300	200	13	0	0	0	2	2	1	50	0	45	2	2	0	0	0	79	0	0	0	0	0	0	0	0	0	0	1017	1	0	0	0
5208	3号技能2上群体治疗	2	0	0	0	4	0	0	0	0	0	0	10001	-1	-1	-1	1	1	0	20	0	700	1000	880	1	30012	10000	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	50	0	45	528	4	5208	1	1	79	0	0	0	0	0	0	0	0	0	0	1017	1	0	0	0
5209	3号技能3	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	1	1	0	0	2700	3000	2500	1	30013	25000	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	528	4	5209	1	1	1	0	0	0	0	0	0	0	0	0	0	1018	1	0	0	0
5210	2号技能2群体治疗生效	16	0	0	0	4	0	0	0	0	0	0	10001	-1	-1	-1	1	1	0	20	0	0	15000	3000	1	30012	10000	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
30001	怪物闪避	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	8	0	5	0	500	2000	200	1	30011	12000	0	0	0	0	2	-1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	8	0	0
30002	1号怪物普攻	2	0	0	0	0	0	0	0	0	0	0	10001	-1	-1	-1	1	8	5	3	3	500	400	200	1	-1	5000	0	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	1	30	10	1	1	10	1	1	15	0	2	0	0	0	1	0.5	0.5	0.5	0.5	1000	1	0.5	0	0
