ID	dropvalue	droprare	droptimes	ensuredropid	nodroprate	orderdroprate0	orderdropid0	orderdroprate1	orderdropid1	orderdroprate2	orderdropid2	worlddroprate0	worlddropid0	worlddroprate1	worlddropid1	worlddroprate2	worlddropid2	worlddroprate3	worlddropid3	worlddroprate4	worlddropid4	moneydroprate	pickdistance	droplifetime
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32
0	1	1	1	-1	600	200	167772173	0	167772164	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
1	2	1	1	-1	600	200	-1	0	167772164	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
2	2	1	1	-1	600	200	167772168	0	167772164	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
3	3	1	1	-1	600	200	167772173	0	167772164	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
4	1	1	1	-1	600	200	-1	0	167772164	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
5	3	1	1	-1	600	200	167772167	0	167772164	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
6	1	1	1	-1	0	50	754974756	0	754974746	50	754974748	50	754974750	50	754974752	50	754974754	0	-1	0	-1	100	3	60000
7	1	1	1	-1	0	50	754974756	0	754974746	50	754974748	50	754974750	50	754974752	50	754974754	0	-1	0	-1	100	3	60000
8	1	1	1	-1	0	50	754974756	0	754974746	50	754974748	50	754974750	50	754974752	50	754974754	0	-1	0	-1	100	3	60000
9	1	1	1	-1	0	50	754974756	0	754974746	50	754974748	50	754974750	50	754974752	50	754974754	0	-1	0	-1	100	3	60000
10	1	1	1	-1	0	50	754974756	0	754974746	50	754974748	50	754974750	50	754974752	50	754974754	0	-1	0	-1	100	3	60000
11	1	1	1	-1	0	50	754974756	0	754974746	50	754974748	50	754974750	50	754974752	50	754974754	0	-1	0	-1	100	3	60000
12	1	1	2	-1	0	50	754974764	0	754974766	50	754974768	50	754974770	50	754974772	50	754974774	0	-1	0	-1	100	3	60000
13	1	1	2	-1	0	50	754974764	0	754974766	50	754974768	50	754974770	50	754974772	50	754974774	0	-1	0	-1	100	3	60000
14	1	1	2	-1	0	50	754974764	0	754974766	50	754974768	50	754974770	50	754974772	50	754974774	0	-1	0	-1	100	3	60000
15	1	1	2	-1	0	50	754974764	0	754974766	50	754974768	50	754974770	50	754974772	50	754974774	0	-1	0	-1	100	3	60000
16	1	1	2	-1	0	50	754974764	0	754974766	50	754974768	50	754974770	50	754974772	50	754974774	0	-1	0	-1	100	3	60000
17	1	1	2	-1	0	50	754974764	0	754974766	50	754974768	50	754974770	50	754974772	50	754974774	0	-1	0	-1	100	3	60000
18	1	1	1	-1	95	5	167772168	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
19	2	1	1	-1	0	1	167772169	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
20	3	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
21	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
22	2	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
23	3	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
24	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
25	2	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
26	3	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
27	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
28	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
29	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
30	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
31	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
32	3	1	2	167772169	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
33	2	1	3	167772170	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
34	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
35	1	1	2	-1	10	0	-1	0	-1	0	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
36	3	1	2	-1	10	100	-1	0	-1	100	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
37	3	1	2	-1	10	100	-1	0	-1	100	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
38	3	1	2	-1	10	100	-1	0	-1	100	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
39	3	1	2	-1	10	100	-1	0	-1	100	-1	70	0	20	1	0	-1	0	-1	0	-1	100	3	60000
40	3	1	1	-1	3540	2000	-1	0	-1	0	-1	2676	167772160	892	754974736	892	754974737	0	-1	0	-1	100	3	60000
41	3	1	1	-1	5026	2000	-1	0	-1	0	-1	2230	167772160	372	754974738	372	754974739	0	-1	0	-1	100	3	60000
42	3	1	1	-1	5384	2000	-1	0	-1	0	-1	1852	167772160	232	754974740	232	754974741	0	-1	0	-1	100	3	60000
43	3	1	1	-1	5997	2000	-1	0	-1	0	-1	1669	167772160	167	754974742	167	754974743	0	-1	0	-1	100	3	60000
44	3	1	1	-1	5799	2000	-1	0	-1	0	-1	1651	167772160	275	754974744	275	754974745	0	-1	0	-1	100	3	60000
45	1	1	1	-1	0	1	167772171	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
46	1	1	1	-1	0	1	167772170	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
47	1	1	1	-1	0	1	167772172	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	100	3	60000
