ID	serverlogicid	serverdataid	lifetime	gravity	speed	effect	radius	hurtcount	checkground	bombeffect	clientlogicid	clientdataid	Des	RotX	RotY	RotZ	bombeffect_water
int32	int32	int32	int32	f32	f32	int32	f32	int32	int32	int32	int32	int32	char	int32	int32	int32	int32
0	1700	0	3000	10	30	7	2	1	1	-1	4000	0		0	0	0	-1
1	1700	0	3000	10	30	9	2	1	1	-1	4000	0		0	0	0	-1
2	1700	0	3000	10	30	7	0.5	1	0	-1	4000	0		0	0	0	-1
3	-1	0	500	10	3	9	0.5	1	0	-1	4000	0		0	0	0	-1
4	1700	0	800	0	180	21	0.2	1	0	25	4000	0	蜃楼城载具船直线子弹	0	0	0	48
6	1700	0	5000	20	40	22	0.5	1	0	23	4000	0		0	0	0	-1
7	1700	0	5000	0	40	31	0.5	1	1	30	4000	0	空中鸟人子弹	0	0	0	30
8	1700	0	5000	5	40	47	0.2	1	1	-1	4000	0	弓箭手	0	0	0	-1
9	1700	0	5000	0	40	31	0.5	1	1	-1	4000	0		0	0	0	-1
10	1700	0	4000	0	4	7	3	1	1	-1	4000	0	宋弈之前冲虚拟子弹	0	0	0	-1
11	1700	0	5000	0	40	30	0.5	1	0	-1	4000	0		0	0	0	-1
12	1700	0	1000	0	12	32	0.5	1	1	-1	4000	0	法师子弹：影之旋风	0	0	0	-1
13	1700	0	1000	0	8	33	0.5	1	1	-1	4000	0	法师子弹：聚能之刃1	0	0	0	-1
14	1700	0	1000	0	10	34	0.5	1	1	-1	4000	0	法师子弹：聚能之刃2	0	0	0	-1
15	1700	0	1000	0	12	35	0.5	1	1	-1	4000	0	法师子弹：聚能之刃3	0	0	0	-1
16	1700	0	1000	0	8	36	0.5	1	1	-1	4000	0	法师子弹：星之飞逝	0	0	0	-1
17	1700	0	1000	40	20	37	0.5	1	1	39	4000	0	法师子弹：星之陨落	45	0	0	-1
18	1700	0	500	0	50	38	0.5	1	1	-1	4000	0	法师子弹：闪之激射	0	0	0	-1
19	1700	0	10000	125	130	43	3	1	0	44	4000	0	章鱼喷水	0	0	0	-1
20	1700	0	10000	0	50	40	0.5	1	1	-1	4000	0	法师子弹：冰之凛风B	0	0	0	-1
21	1700	0	40000	0	50	45	5	10	1	46	4000	0	空中鸟人(百步穿杨)大火球	0	0	0	-1
22	1700	0	100000	60	80	47	0.2	1	0	-1	4000	0	弓箭手抛物射	0	0	0	-1
23	1700	0	20000	100	60	47	0.2	1	1	-1	4000	0	弓箭手低射	0	0	0	-1
24	1700	0	10000	55	130	43	3	1	0	44	4000	0	章鱼大喷水子弹	0	0	0	-1
25	1700	0	4000	0	10	43	3	1	0	-1	4000	0	丁蟹夺命飞刀	0	0	0	-1
