ParamID	id	name	AValue	remark	type	defaultvalue	max	min	flag	MySqlFlag
int32	int32	char	int32	char	char	char	char	char	int32	int32
0	1	avatardid	0	avatardid	int64		9223372036854775807	-9223372036854775808	100663417	0
0	2	title	0	名称	Char64		255	0	100663353	0
0	3	level	0	等级	uint8		255	0	234881337	0
0	4	vocation	0	职业	uint8		255	0	100663353	0
0	5	sex	0	性别	int8			0	33554489	0
0	6	comsaveflag	0	通用存储位	uint8		255	0	41	0
0	7	skillclassdisableflag	0	技能分类禁止使用标记位	uint32	0	4294967294	0	9	0
0	8	comstate	0	com功能位	uint64		18446744073709551615	0	281	0
0	9	camp	0	势力	uint8		255	1	57	0
0	10	tempcamp	0	临时势力	uint8		255	0	281	0
0	11	pkmode	0	PK模式	uint8	0	4	0	313	0
0	12	modid	0		int32		30000	0	25	0
0	13	fsm_gameflag	0	状态机上层数据标记	uint32	0	4294967294	0	25	0
0	14	target_id	0		int32	0	2147483647	-2147483647	25	0
0	15	curfire	0	当前异火	int32	0			41	0
0	16	curfire_id	0	当前异火AvatarID	int32	0	2147483647	-2147483647	9	0
0	24	hp	0	当前生命值	f32	2147483647	2147483647	0	201326649	0
0	25	hpmax	1	生命值上限	f32		2147483647	0	67108889	0
0	27	mp	0	当前魔法值	f32		65535	0	218103849	0
0	28	mpmax	1	魔法值上限	f32		65535	0	16777225	0
0	30	eb	0	当前怒气值	f32		65535	0	9	0
0	31	ebmax	1	怒气值上限	f32		65535	0	9	0
0	35	vp	0	当前精力度	f32	0	65535	0	218103849	0
0	36	vpmax	1	最大精力度	f32		65535	0	16777225	0
0	38	leveltimestamp	0	等级时间戳	uint32	0		0	33	0
0	40	fc	0	战斗力	uint32	1	4294967294	0	16777257	0
0	71	lyingresistrate	0		int8		100	0	9	0
0	80	viplevel	0	vip等级	uint8	0	255	0	201326905	0
0	81	guildid	0	帮会id	int64	0			57	0
0	82	familyid	0	家族id	int64				9	0
0	83	reputeid	0	称号id	int32		2147483647	0	25	0
0	84	guildtitle	0	帮会名称	Char32		255	0	25	0
0	85	guildbill	0	帮会名字版	int32		2147483647	0	25	0
0	91	operatemode	0	操作模式FPS&蛮荒	int8	-1			41	0
0	156	currentexp_yf	0	盈福经验	int64	0	9223372036854775807	-9223372036854775807	201326889	0
0	157	currentexp	0	当前经验值	int64	0	9223372036854775807	-9223372036854775807	201326889	0
0	166	binginggold	0	绑定金币	uint32		4294967294	0	201326633	0
0	167	gold	0	金币	uint32		4294967294	0	201326633	0
0	168	yuanbao	0	元宝	uint32		100000000	0	201326633	0
0	169	bindingyuanbao	0	绑定元宝	uint32		100000000	0	201326633	0
0	170	yuanbao_t	0	充值总元宝数	int32	0	2147483647	0	67108905	0
0	171	yuanbao_c	0	消耗总元宝数	int32	0	2147483647	0	67108905	0
0	173	cypoint	0	畅游点	uint32	0	100000000	0	67108905	0
0	174	downcoordinatex	0		f32		2048	0	33	0
0	175	downcoordinatey	0		f32		2048	0	33	0
0	176	downcoordinatez	0		f32		2048	0	33	0
0	177	onlinetime	0		uint32		4294967295	0	41	0
0	178	lastlandtime	0		uint32				41	0
0	179	lastdowntime	0		uint32				100663337	0
0	180	lastvuptime	0		uint32				33	0
0	182	create_time	0	角色创建时间	uint32	0	4294967294	0	33554529	0
0	183	del_time	0	预删除时间	uint32	0	4294967294	0	33554537	0
0	300	dirx	0		f32		2147483647	-1	17	0
0	301	diry	0		f32		2147483647	-1	17	0
0	302	dirz	0		f32		2147483647	-1	17	0
0	308	baselogicid	0		int32		65536	-1	0	0
0	309	basedataid	0		int32		65536	-1	0	0
0	310	collisiontype	0		int32		2147483647	0	25	0
0	313	environment	0		int32		4096	0	25	0
0	316	sceneid	0		int32		2147483647	-2147483647	33554473	0
0	350	accountname	0		Char64		2147483647	-1	33554537	0
0	354	teamid	0	队伍ID	int64	0	9223372036854775807	-9223372036854775807	41	0
0	356	vehicleid	0		int32		2147483647	-2147483647	25	0
0	357	bagslotcount	0		int16		32767	-1	47	0
0	358	scenerule	0		int32		2147483647	-2147483647	11	0
0	359	petcagevalidslotcount	0		int16		32767	-1	47	0
0	360	evilvalue	0		uint32		2147483647	0	201326905	0
0	366	hairid	0		int32	-1	2147483647	-1	33	0
0	367	haircolor	0		int8	0	127	-1	33	0
0	370	faceid	0		int32	-1	2147483647	-1	33	0
0	375	skincolor	0		int8	0	127	-1	33	0
0	376	magictreasureid	0		int32		2147483647	-2147483647	33554489	0
0	377	weaponid	0		int32		2147483647	-2147483647	33554495	0
0	378	fashionid	0		int32	-1	65535	-1	33	0
0	379	tattoo	0	纹身	int8	-1	127	-1	33	0
0	380	beard_eyeshadow	0	胡须眼影	int8	-1	127	-1	33	0
0	381	brow	0	眉毛	int8	0	127	-1	33	0
0	382	eyeid	0	眼睛	int32	-1	2147483647	-1	33	0
0	383	fashioncolor	0	时装颜色	int8	0	127	-1	33	0
0	384	morph_1	0	morph	int32	0	2147483647	-2147483647	33	0
0	385	morph_2	0	morph	int32	0	2147483647	-2147483647	33	0
0	386	morph_3	0	morph	int32	0	2147483647	-2147483647	33	0
0	387	lipcolor	0	嘴唇颜色	int8	0	127	-1	33	0
0	390	temphairid	0		int32	-1	2147483647	-1	33554489	0
0	391	temphaircolor	0		int8	-1	127	-1	33554489	0
0	392	tempfaceid	0		int32	-1	2147483647	-1	33554489	0
0	393	tempskincolor	0		int8	-1	127	-1	33554489	0
0	394	tempfashionid	0		int32	-1	2147483647	-1	33554489	0
0	395	temptattoo	0		int8	-1	127	-1	33554489	0
0	396	tempbeard_eyeshadow	0		int8	-1	127	-1	33554489	0
0	397	tempbrow	0		int8	-1	127	-1	33554489	0
0	398	tempeyeid	0		int32	-1	2147483647	-1	33554489	0
0	399	tempfashioncolor	0		int8	-1	127	-1	33554489	0
0	400	tempmorph_1	0		int32	0			33554473	0
