ParamID	ParamName	CreateTable	SMUCount	TableCount	ExportServer	ExportClient	LoadData	DeleteRecord	DBASHMType
int32	char	int32	int32	int32	int32	int32	int32	int32	int32
0	avatar	1	1	1	1	1	1	0	1
1	monster	0	0	1	1	1	1	0	0
2	skill	1	100	1	1	1	0	1	1
4	coin	1	6	1	1	1	0	1	1
6	rewardactivity	1	4	1	0	0	0	1	1
7	game	1	0	1	1	1	0	1	0
8	credit	1	100	1	1	1	0	1	1
9	actionbar	1	100	1	1	1	0	0	1
10	item	1	200	1	1	1	0	0	1
12	buff	1	20	1	1	1	0	1	1
13	quest	1	16	1	1	1	1	1	1
14	queststate	1	60	1	1	1	1	1	1
15	guild	1	500	1	1	0	0	1	2
16	guildmember	1	100000	1	1	0	0	1	2
17	team	1	10000	1	1	1	0	0	2
18	teammember	1	10000	1	1	1	0	0	2
19	talent	1	1	1	1	1	0	0	1
20	pet	1	10	1	1	1	0	1	1
21	relation	1	100	1	1	1	1	1	1
22	cddata	1	5	1	1	1	0	1	1
23	ability	1	16	1	1	1	0	1	1
32	vehicle	0	0	1	1	1	1	0	0
33	achievementstate	1	2	1	1	1	0	1	1
40	scene	0	0	1	0	0	0	0	0
46	gamedata	1	20	1	1	1	0	1	1
49	auction	1	0	1	1	1	0	1	0
50	ModuleInfo	0	0	1	1	0	0	1	0
51	WorldInfo	0	0	1	1	0	0	1	0
52	LoginInfo	0	0	1	1	0	0	1	0
53	DBAInfo	0	0	1	1	0	0	1	0
54	NodeInfo	0	0	1	1	0	0	1	0
55	GateInfo	0	0	1	1	0	0	1	0
56	auctionshop	1	0	1	1	1	0	1	0
57	auctionshop_sellbar	1	0	1	1	1	0	1	0
58	auctionshop_buybar	1	0	1	1	1	0	1	0
60	LoginGateDetails	0	0	1	1	0	0	1	0
61	WorldNodeDetails	0	0	1	1	0	0	1	0
63	title	1	1	1	1	1	0	1	1
64	guildnpc	1	100000	1	1	0	0	1	2
65	arenadata	1	1	1	1	1	0	1	1
66	guildapplicant	0	10000	1	1	0	0	1	2
67	personalshop	0	0	1	1	1	0	1	0
68	orbslot	1	1	1	1	1	0	1	1
69	guildalliance	0	0	1	1	1	0	1	2
70	guildleaguescene	0	0	1	1	1	0	1	0
71	guildleaguescenecount	0	0	1	1	1	0	1	0
72	guildleaguestorage	1	500	1	1	0	0	1	2
73	leaguemanager	1	1	1	1	0	0	1	2
74	leaguehistoryrecord	1	250	1	1	1	0	1	2
75	leaguesessionhistoryrecord	1	1000	1	1	1	0	1	2
76	cocsync	0	0	1	1	1	0	1	0
77	partner	1	10	1	1	1	0	1	1
78	threat	0	0	0	0	0	0	0	0
79	refine	1	10	1	1	1	0	0	1
81	random	1	100	1	1	1	0	1	1
