gearid	attrsnum	attrsrenum	numweight	reline						
int32	int32	int32	int32	int32						
1	1	1	50	5						
2	1	2	50	10						
3	1	3	0	15						
4	1	4	0	20						
5	2	1	30	5						
6	2	2	70	10						
7	2	3	0	15						
8	2	4	0	20						
9	3	1	0	5						
10	3	2	50	10						
11	3	3	50	15						
12	3	4	0	20						
13	4	1	0	5						
14	4	2	30	10						
15	4	3	70	15						
16	4	4	0	20						
17	5	1	0	5						
18	5	2	0	10						
19	5	3	50	15						
20	5	4	50	20						
21	6	1	0	5						
22	6	2	0	10						
23	6	3	30	15						
24	6	4	70	20						
