DataID	Data	ValueName	ComputeLevel	AbsoluteValue	ComputeMode	PercentValue
int32	int32	char	int32	f32	int32	f32
1	0	atk_d	1	23	2	0
2	0	dhp	1	24	2	-0.1
2	0	be_dhp	1	25	2	0
3	0	d_ac	1	26	2	-0.2
3	0	hpmax	1	27	2	0
4	0	d_ac	1	28	2	-0.3
4	0	atk_d	1	29	2	0
5	0	dhp	1	30	2	-0.4
5	0	be_dhp	1	31	2	0
6	0	d_ac	1	32	2	-0.5
6	0	hpmax	1	33	2	0
7	0	hpmax	1	34	2	0.2
7	0	atk_d	1	35	2	0
8	0	dhp	1	36	2	0.5
8	0	be_dhp	1	37	2	0
9	0	d_ac	1	38	2	2
9	0	hpmax	1	39	2	0
10	0	hpmax	1	100	2	0
10	0	d_ac	1	100	2	0
11	0	atk_d	1	100	2	0
11	0	hpmax	1	100	2	0
12	0	d_ac	1	100	2	0
12	0	atk_d	1	100	2	0
12	0	hpmax	1	100	2	0
30	0	hpmax	1	51	2	0
31	0	d_ac	1	52	2	0
32	0	atk_d	1	53	2	0
33	0	dhp	1	54	2	0
34	0	be_dhp	1	55	2	0
35	0	d_ac	1	56	2	0
1001	0	atk_d	1	0	2	0.1
1001	0	d_ac	1	0	2	0.1
1001	0	hpmax	1	0	2	0.1
1001	0	dhp	1	0	2	0.1
1001	0	be_dhp	1	0	2	0.1
1002	0	atk_d	1	0	2	0.3
1002	0	d_ac	1	0	2	0.3
1002	0	hpmax	1	0	2	0.3
1002	0	dhp	1	0	2	0.3
1002	0	be_dhp	1	0	2	0.3
1003	0	atk_d	1	0	2	0.5
1003	0	d_ac	1	0	2	0.5
1003	0	hpmax	1	0	2	0.5
1003	0	dhp	1	0	2	0.5
1003	0	be_dhp	1	0	2	0.5
1004	0	atk_d	1	0	2	0.7
1004	0	d_ac	1	0	2	0.7
1004	0	hpmax	1	0	2	0.7
1004	0	dhp	1	0	2	0.7
1004	0	be_dhp	1	0	2	0.7
1005	0	atk_d	1	0	2	0.9
1005	0	d_ac	1	0	2	0.9
1005	0	hpmax	1	0	2	0.9
1005	0	dhp	1	0	2	0.9
1005	0	be_dhp	1	0	2	0.9
1006	0	atk_d	1	0	2	1.1
1006	0	d_ac	1	0	2	1.1
1006	0	hpmax	1	0	2	1.1
1006	0	dhp	1	0	2	1.1
1006	0	be_dhp	1	0	2	1.1
1007	0	atk_d	1	0	2	1.3
1007	0	d_ac	1	0	2	1.3
1007	0	hpmax	1	0	2	1.3
1007	0	dhp	1	0	2	1.3
1007	0	be_dhp	1	0	2	1.3
1008	0	atk_d	1	0	2	1.5
1008	0	d_ac	1	0	2	1.5
1008	0	hpmax	1	0	2	1.5
1008	0	dhp	1	0	2	1.5
1008	0	be_dhp	1	0	2	1.5
