itemid	nameid	type	subtype	level	color	vocation	sex	minlevel	maxlevel	maxnum	limitnum	picture	curtype	curnum	equipquality	attrsnum	geartype	attrspoolid	primeattrs	bindtype	suitid	geted
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32
10001	8010001	0	0	0	1	0	0	1	100	1	0	003	1	1	1	1	1	5	10	1	1001	0
10002	8010002	0	1	0	1	0	0	1	100	1	0	004	1	2	1	1	1	5	11	1	1001	0
10003	8010003	0	2	0	1	0	0	1	100	1	0	005	1	3	1	1	1	5	12	1	1001	0
10004	8010004	0	3	0	1	0	0	1	100	1	0	006	1	4	1	1	1	5	10	1	1001	0
10005	8010005	0	4	0	1	0	0	1	100	1	0	007	1	5	1	1	1	5	11	1	1001	0
10006	8010006	0	5	0	1	0	0	1	100	1	0	008	1	6	1	1	1	5	12	1	1001	0
10007	8010007	0	0	0	2	0	0	1	100	1	0	0	1	1	2	2	2	5	10	1	1002	0
10008	8010008	0	1	0	2	0	0	1	100	1	0	0	1	2	2	2	2	5	11	1	1002	0
10009	8010009	0	2	0	2	0	0	1	100	1	0	0	1	3	2	2	2	5	12	1	1002	0
10010	8010010	0	3	0	2	0	0	1	100	1	0	0	1	4	2	2	2	5	10	1	1002	0
10011	8010011	0	4	0	2	0	0	1	100	1	0	0	1	5	2	2	2	5	11	1	1002	0
10012	8010012	0	5	0	2	0	0	1	100	1	0	0	1	6	2	2	2	5	12	1	1002	0
