itemid	nameid	desid	type	subtype	level	color	vocation	sex	minlevel	maxlevel	maxnum	limitnum	picture	curtype	curnum	equipquality	attrsnum	geartype	attrspoolid	attrsgroupid	bindtype	atk_d	d_ac	hpmax	suitid	geted
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	f32	int32	int32
1	1	1	1	0	0	1	0	0	1	100	1	0	1	1	1	1	1	1	1	1	1	30	18.2	241.1	1001	0
2	2	2	1	1	0	1	0	0	1	100	1	0	2	1	2	1	1	1	2	2	1	40	144.2	2551	1001	0
3	3	3	1	2	0	1	0	0	1	100	1	0	3	1	3	1	1	1	3	3	1	50	24	24	1001	0
4	4	4	1	3	0	1	0	0	1	100	1	0	4	1	4	1	1	1	4	4	1	60	124	214	1001	0
5	5	5	1	4	0	1	0	0	1	100	1	0	5	1	5	1	1	1	5	5	1	15	242	252	1001	0
6	6	6	1	5	0	1	0	0	1	100	1	0	6	1	6	1	1	1	6	6	1	255	241	234	1001	0
7	1	1	1	0	0	2	0	0	1	100	1	0	1	1	1	2	2	2	1	1	1	41	24	266	1002	0
8	2	2	1	1	0	2	0	0	1	100	1	0	2	1	2	2	2	2	2	2	1	51	167	3411	1002	0
9	3	3	1	2	0	2	0	0	1	100	1	0	3	1	3	2	2	2	3	3	1	61	34	34	1002	0
10	4	4	1	3	0	2	0	0	1	100	1	0	4	1	4	2	2	2	4	4	1	71	166	166	1002	0
11	5	5	1	4	0	2	0	0	1	100	1	0	5	1	5	2	2	2	5	5	1	23	266	272	1002	0
12	6	6	1	5	0	2	0	0	1	100	1	0	6	1	6	2	2	2	6	6	1	312	277	254	1002	0
