itemid	nameid	desid	type	subtype	level	color	vocation	sex	minlevel	maxlevel	maxnum	limitnum	icon	curtype	curnum	uselua	quickuse	UseTime
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char	int32	int32	int32	int32	int32
1	1	1	0	1	1	1	1	1	1	1	1	1	a001	1	-1	1	0	0
30001	8030001	9030001	2	1	-1	1	-1	-1	1	-1	-1	-1	a002	1	-1	1	0	0
30002	8030002	9030002	2	2	-1	2	-1	-1	1	-1	-1	-1	a003	1	-1	1	0	0
30003	8030003	9030003	2	3	-1	3	-1	-1	1	-1	-1	-1	a004	1	-1	1	0	0
30004	8030004	9030004	2	4	-1	4	-1	-1	1	-1	-1	-1	b001	1	-1	0	0	0
30005	8030005	9030005	2	1	-1	1	-1	-1	1	-1	-1	-1	b002	1	-1	0	0	0
30006	8030006	9030006	2	2	-1	2	-1	-1	1	-1	-1	-1	b003	1	-1	0	0	0
30007	8030007	9030007	2	3	-1	3	-1	-1	1	-1	99	-1	b004	1	-1	0	0	0
30008	8030008	9030008	2	4	-1	4	-1	-1	1	-1	-1	-1	b005	1	-1	0	0	0
30009	8030009	9030009	2	1	-1	1	-1	-1	1	-1	-1	-1	b006	1	-1	0	0	0
30010	8030010	9030010	2	2	-1	2	-1	-1	1	-1	-1	-1	b007	1	-1	0	0	0
40001	8040001	9040001	3	1	-1	2	-1	-1	1	-1	-1	-1	b007	1	1	0	0	0
40002	8040002	9040002	3	2	-1	3	-1	-1	1	-1	-1	-1	b007	1	2	0	0	0
50001	8050001	9050001	4	1	-1	1	-1	-1	1	-1	99	-1	b008	1	3	0	0	0
50002	8050002	9050002	4	1	-1	2	-1	-1	1	-1	99	-1	b009	1	4	0	0	0
50003	8050003	9050003	4	1	-1	3	-1	-1	1	-1	99	-1	b010	1	5	0	0	0
50004	8050004	9050004	4	1	-1	3	-1	-1	1	-1	99	-1	a001	1	6	0	0	3600
50005	8050005	9050005	4	2	-1	1	-1	-1	1	-1	1	-1	a002	1	7	0	0	3600
50006	8050006	9050006	4	2	-1	2	-1	-1	1	-1	1	-1	a003	1	8	0	0	3600
50007	8050007	9050007	4	2	-1	3	-1	-1	1	-1	1	-1	a004	1	9	0	0	3600
50020	8050020	9050020	4	3	-1	1	-1	-1	1	-1	99	-1	b008	1	10	1	0	0
50100	8050100	9050100	4	3	-1	1	-1	-1	1	-1	99	-1	b008	1	10	1	0	0
