DataID	Layer	Level	NextLevel	CostNum	CostItem	CostItemNum	MoneyType	MoneyNum	AttributeID	PositionX	PositionY	PositionDir	NameID	InfoID	Icon
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char
0	1	1	1	2	50100	1	1	1000	1	1	3	2	200009	200009	train_001
1	1	2	2	4	50100	1	1	1100	2	2	3	2	200010	200010	train_002
2	1	3	3	6	50100	1	1	1200	3	3	4	2	200011	200011	train_003
3	1	4	4	8	50100	1	1	1300	4	4	4	5	200012	200012	train_004
4	1	5	5	10	50100	1	1	1400	5	4	3	5	200013	200013	train_005
5	1	6	6	12	50100	1	1	1500	6	4	2	5	200014	200014	train_006
6	1	7	7	14	50100	1	1	1600	7	4	1	2	200015	200015	train_007
7	1	8	8	16	50100	1	1	1700	8	5	2	2	200016	200016	train_008
8	1	9	9	18	50100	1	1	1800	9	6	2	2	200017	200017	train_009
9	1	10	10	20	50100	1	1	1900	10	7	3	0	200018	200018	train_010
10	2	1	11	4	50100	1	1	2000	11	1	3	4	200019	200019	train_001
11	2	2	12	6	50100	1	1	2100	12	2	2	4	200020	200020	train_002
12	2	3	13	8	50100	1	1	2200	13	3	2	4	200021	200021	train_003
13	2	4	14	10	50100	1	1	2300	14	4	1	1	200022	200022	train_004
14	2	5	15	12	50100	1	1	2400	15	4	2	1	200023	200023	train_005
15	2	6	16	14	50100	1	1	2500	16	4	3	1	200024	200024	train_006
16	2	7	17	16	50100	1	1	2600	17	4	4	4	200025	200025	train_007
17	2	8	18	18	50100	1	1	2700	18	5	4	4	200026	200026	train_008
18	2	9	19	20	50100	1	1	2800	19	6	3	4	200027	200027	train_009
19	2	10	20	22	50100	1	1	2900	20	7	3	0	200028	200028	train_010
20	3	1	21	6	50100	1	1	3000	21	1	2	2	200029	200029	train_001
21	3	2	22	8	50100	1	1	3100	22	2	2	2	200030	200030	train_002
22	3	3	23	10	50100	1	1	3200	23	3	2	4	200031	200031	train_003
23	3	4	24	12	50100	1	1	3300	24	4	2	5	200032	200032	train_004
24	3	5	25	14	50100	1	1	3400	25	4	1	2	200033	200033	train_005
25	3	6	26	16	50100	1	1	3500	26	5	2	1	200034	200034	train_006
26	3	7	27	18	50100	1	1	3600	27	5	3	1	200035	200035	train_007
27	3	8	28	20	50100	1	1	3700	28	5	4	4	200036	200036	train_008
28	3	9	29	22	50100	1	1	3800	29	6	3	2	200037	200037	train_009
29	3	10	30	24	50100	1	1	3900	30	7	4	0	200038	200038	train_010
30	4	1	31	8	50100	1	1	4000	31	1	3	4	200039	200039	train_001
31	4	2	32	10	50100	1	1	4100	32	2	3	4	200040	200040	train_002
32	4	3	33	12	50100	1	1	4200	33	3	3	2	200041	200041	train_003
33	4	4	34	14	50100	1	1	4300	34	4	3	1	200042	200042	train_004
34	4	5	35	16	50100	1	1	4400	35	4	4	4	200043	200043	train_005
35	4	6	36	18	50100	1	1	4500	36	5	4	5	200044	200044	train_006
36	4	7	37	20	50100	1	1	4600	37	5	3	5	200045	200045	train_007
37	4	8	38	22	50100	1	1	4700	38	5	2	4	200046	200046	train_008
38	4	9	39	24	50100	1	1	4800	39	6	1	4	200047	200047	train_009
39	4	10	40	26	50100	1	1	4900	40	7	1	0	200048	200048	train_010
40	5	1	41	10	50100	1	1	5000	41	1	3	2	200049	200049	train_001
41	5	2	42	12	50100	1	1	5100	42	2	3	2	200050	200050	train_002
42	5	3	43	14	50100	1	1	5200	43	3	4	2	200051	200051	train_003
43	5	4	44	16	50100	1	1	5300	44	4	4	5	200052	200052	train_004
44	5	5	45	18	50100	1	1	5400	45	4	3	5	200053	200053	train_005
45	5	6	46	20	50100	1	1	5500	46	4	2	5	200054	200054	train_006
46	5	7	47	22	50100	1	1	5600	47	4	1	2	200055	200055	train_007
47	5	8	48	24	50100	1	1	5700	48	5	2	2	200056	200056	train_008
48	5	9	49	26	50100	1	1	5800	49	6	2	2	200057	200057	train_009
49	5	10	50	28	50100	1	1	5900	50	7	3	0	200058	200058	train_010
