ACID	ACType	GroupID	SubGroupID	EventType	Param0	Param1	Param2	EventCount	ACTitleID	ACDescID	ACPoint	ACCup	ACAward
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32
1	1	1	1	1	1001			3	200009	210140	10	1	1
2	0	1	2	2	10001			1	200010	210141	20	2	2
3	1	1	2	3	1003			5	200011	210142	30	3	1
4	0	1	2	4	1004	3		1	200012	210143	40	4	2
5	0	1	3	5	1005			1	200013	210144	50	5	1
6	0	2	1	6	1006			1	200014	210145	60	6	2
7	0	2	2	2	1002			1	200015	210146	70	7	1
8	0	2	3	2	1003			1	200016	210147	80	8	2
9	0	3	1	2	2004	1		1	200017	211000	90	9	1
10	0	3	2	2	2005	1		1	200018	211001	100	10	2
11	0	4	1	2	2006			1	200019	211002	110	11	1
12	0	4	1	2	3006			1	200020	211003	120	12	2
33	0	5	2	2	3007			1	200021	211004	120	13	2
