BuffID	MBV_NameID	MBV_TipsID	MBV_BuffType	MBV_BuffAttr	MBV_BuffRemove	MBV_BuffInummue	MBV_BuffCleanUp	MBV_BuffCleanUpGroup	MBV_BuffState	MBV_AttrValue	MBV_LayerCnt	MBV_DurationTime	MBV_BuffSkill	MBV_BuffSkillLv	MBV_BuffLogic	MBV_BuffSkillUserData	MBV_BuffLogicParam1	MBV_BuffLogicParam2	MBV_BuffLogicParam3	MBV_EffectID	MBV_EffectSurface	MBV_EffectAddID	MBV_EffectAddTime	MBV_EffectRemoveID	MBV_EffectRemoveTime	MBV_IconID	MBV_HeadIconID
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char	char
100	600100	900100	1	1	2	0	0	0	262144	0	1	600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	600101	900101	1	1	2	0	0	0	0	0	1	600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	600102	900102	1	1	2	0	0	0	0	0	1	600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	600103	900103	1	4353	3	0	0	0	0	0	1	600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5007	605007	905007	16	4353	263	0	0	0	256	0	1	4000	0	0	3	0	0	0	0	5002	0	0	0	0	0	0	0
5008	605008	905008	40	4353	263	0	0	0	0	0	1	5000	0	0	1	0	0	0	0	5008	0	0	0	0	0	buff_u_baoji_01	0
5009	605009	905009	48	4352	263	0	0	0	0	0	1	12000	5013	0	3	0	0	0	0	0	0	0	0	0	0	0	0
5010	605010	905010	40	4353	263	0	0	0	0	0	1	5000	0	0	1	0	0	0	0	5010	0	0	0	0	0	buff_u_baofa_01	0
5011	605011	905011	40	4353	263	0	0	0	0	0	1	7000	0	0	1	0	0	0	0	5010	0	0	0	0	0	buff_u_baofa_01	0
5012	605012	905012	40	4353	263	0	0	0	0	0	1	9000	0	0	1	0	0	0	0	5010	0	0	0	0	0	buff_u_baofa_01	0
5013	605013	905013	40	4353	263	0	0	0	0	0	1	11000	0	0	1	0	0	0	0	5010	0	0	0	0	0	buff_u_baofa_01	0
5014	605014	905014	16	4373	7	0	0	0	0	0	3	5000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_d_jianfang_01	0
5015	605015	905015	40	4353	263	0	0	0	0	0	1	4000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_kangbao_01	
5101	605101	905101	8	4405	263	0	0	0	0	0	5	2500	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_gongji_01	0
5103	605103	905103	8	4405	263	0	0	0	0	0	5	2500	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_fangyu_01	0
5106	605106	905106	40	4369	263	0	0	0	0	0	2	5000	0	0	1	0	0	0	0	5010	0	0	0	0	0	buff_u_gongji_02	0
5107	605107	905107	8	4352	263	0	0	0	0	0	1	5000	5109	0	1	0	0	0	0	5008	0	0	0	0	0	0	0
5108	605108	905108	8	37124	263	0	0	0	0	0	1	350	5110	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5110	605110	905110	8	4373	263	0	0	0	0	0	5	5000	0	0	1	0	0	0	0	5008	0	0	0	0	0	buff_u_baoji_02	0
5111	605111	905111	16	4373	7	0	0	0	0	0	5	5000	0	0	1	0	0	0	0	5007	0	0	0	0	0	buff_d_yishang_01	0
5112	605112	905112	40	4353	263	0	0	0	0	0	1	4000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5208	605208	905208	8	4353	263	0	0	0	0	0	1	15000	5210	0	1	0	0	0	0	5011	0	0	0	0	0	buff_u_zhiliao_01	0
5209	605209	905209	8	4353	263	0	0	0	0	0	1	10000	0	0	1	0	0	0	0	5010	0	0	0	0	0	buff_u_baofa_02	0
5210	605210	905210	40	4353	263	0	0	0	0	0	1	4000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_xueshangxian_01	0
5409	605409	905409	16	4373	7	0	0	0	0	0	1	10000	0	0	1	0	0	0	0	5007	0	0	0	0	0	buff_d_yishang_01	0
5414	605414	905414	8	4353	263	0	0	0	0	0	1	15000	5418	0	1	0	0	0	0	5008	0	0	0	0	0	buff_u_nengliang_01	0
5508	605508	905508	16	4353	7	0	0	0	256	0	1	4000	0	0	3	0	0	0	0	5002	0	0	0	0	0	0	0
5512	605502	905502	16	4353	0	0	0	0	0	0	1	180000	0	0	1	0	0	0	0	5014	0	5015	0	0	0	0	0
5513	605502	905502	8	4353	263	0	0	0	0	0	1	15000	0	0	1	0	0	0	0	5016	0	0	0	0	0	0	0
5702	605702	905702	8	4353	263	0	0	0	0	0	1	10000	5703	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15001	615001	915001	16	4405	7	0	0	0	0	0	3	2000	0	0	1	0	0	0	0	5013	0	0	0	0	0	buff_d_jiansu_01	0
15011	615011	915011	8	273	263	0	0	0	0	0	1	5000	15013	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15012	615012	915012	8	273	263	0	0	0	0	0	1	5000	15014	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_pugongjiaqiang_01	0
15031	615031	915031	8	4353	263	0	0	0	0	0	1	10000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_jiasu_01	0
15032	615032	915032	48	4353	7	0	0	0	0	0	1	4000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_d_jiansu_01	0
15101	615101	915101	8	4353	263	0	0	0	0	0	1	99999	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_jianshang_01	0
15105	615105	915105	16	4353	7	0	0	0	8	0	1	3000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_d_xuanyun_01	0
15106	615106	915106	16	4353	7	0	0	0	0	0	1	6000	0	0	1	0	0	0	0	5013	0	0	0	0	0	buff_d_jiansu_01	0
15107	615107	915107	48	4353	7	0	0	0	0	0	1	4000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_d_gongji_01	0
15211	615211	915211	40	4373	263	0	0	0	0	0	1	10000	15212	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15202	615202	915202	40	4353	263	0	0	0	0	0	1	3000	15203	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15200	615200	915200	1	20737	7	0	0	0	0	0	1	2200	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15201	615201	915201	8	257	7	0	0	0	0	0	1	200	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15315	615315	915315	8	4353	263	0	0	0	0	0	3	60000	15316	0	1	0	0	0	0	5012	0	0	0	0	0	0	0
15316	615316	915316	8	4353	263	0	0	0	0	0	1	5000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_qianghuajineng_01	0
15317	615317	915317	40	4353	263	0	0	0	0	0	1	4000	0	0	1	0	0	0	0	0	0	0	0	0	0	buff_u_jiasu_01	0
