cardID	CardName	CounterType	Rarity	Type	Career	Wtype1	Wtype2	Wtype3	Gender	Sort	voice_C	voice_J	PieceID	PieceNum	Proficiency1_A	Proficiency2_A	Proficiency3_A	Proficiency1_B	Proficiency2_B	Proficiency3_B	Proficiency1_C	Proficiency2_C	Proficiency3_C	Proficiency4_A	Proficiency5_A	Proficiency4_B	Proficiency5_B	Proficiency4_C	Proficiency5_C	rootSkillID2Attr	rootSkillID3Attr	rootSkillID4Attr	rootSkillID1	rootSkillID2	rootSkillID3	rootSkillID4	otherSkill	ShowSkill	SwitchCD	MoveSpeed	SMoveSpeed	RollDis	RollTime	WeaponID1	WeaponID2	EnergyID1	EnergyID2	CSEffect	SEffect
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char	int32	int32	f32	f32	f32	f32	int32	int32	int32	int32	char	char
1	700001	1	1	0	0	1	2	3	1	0	-1	-1	30001	5	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	5002	5006	5008	5009	5001	5014	500001	5	1.5	3	0.5	1	-1	0	0	SkillEffect/Common.xml	SkillEffect/001_BS.xml
2	700002	2	2	1	0	1	2	3	1	0	-1	-1	30002	10	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	5102	5106	5107	5108	5101	5111	500002	5	1.5	3	0.5	2	-1	0	0	SkillEffect/Common.xml	SkillEffect/002_BQ.xml
3	700003	3	3	0	0	1	2	3	1	0	-1	-1	30003	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	5202	5203	5207	5209	5201	5211	500003	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/003_LD.xml
4	700004	1	1	1	0	1	2	3	1	0	-1	-1	30004	5	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	-1	-1	-1	-1	-1	0	500004	-1	1.5	-1	-1	-1	-1	0	0	SkillEffect/Common.xml	SkillEffect/SkillEffcet01.xml
5	700005	2	2	0	0	1	2	3	1	0	-1	-1	30005	10	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	5403	5408	5411	5415	5401	5402	500005	5	1.5	3	0.5	1	-1	5	0	SkillEffect/Common.xml	SkillEffect/BS_01.xml
6	700006	3	3	1	0	1	2	3	1	0	-1	-1	30006	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	-1	-1	-1	-1	-1	0	500006	-1	1.5	-1	-1	-1	-1	0	0	SkillEffect/Common.xml	SkillEffect/006_DP2.xml
7	700007	1	1	0	0	1	2	3	1	0	-1	-1	30007	5	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	5602	5603	5605	5607	5601	5608	500007	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/007_XDQ.xml
8	700008	2	2	1	0	1	2	3	1	0	-1	-1	30008	10	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	5707	5702	5704	5705	5701	5706	500008	5	1.5	3	0.5	15	-1	0	0	SkillEffect/Common.xml	SkillEffect/008_FYP.xml
9	700009	3	3	0	0	1	2	3	1	0	-1	-1	30009	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
10	700010	1	1	1	0	1	2	3	1	0	-1	-1	30010	5	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
11	700011	1	2	0	0	1	2	3	1	0	-1	-1	30001	10	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
12	700012	2	3	1	0	1	2	3	1	0	-1	-1	30002	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
13	700013	3	1	0	0	1	2	3	1	0	-1	-1	30003	5	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
14	700014	1	2	1	0	1	2	3	1	0	-1	-1	30004	10	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
