CardID	CardGroup	StarLevel	NextCardID	AttributeID	Cost_item	Cost_num	Fasion	Image2D	Weaponid	CollectAttriID
int32	int32	int32	int32	int32	int32	int32	int32	char	int32	int32
11	1	1	12	1	30001	5	-1	101	-1	1
12	1	2	13	2	30001	10	-1	102	-1	2
13	1	3	14	3	30001	15	-1	103	-1	3
14	1	4	15	4	30001	20	-1	104	-1	4
15	1	5	-1	5	30001	25	-1	105	-1	5
21	2	1	22	1	30002	5	-1	106	-1	1
22	2	2	23	2	30002	10	-1	107	-1	2
23	2	3	24	3	30002	15	-1	108	-1	3
24	2	4	25	4	30002	20	-1	109	-1	4
25	2	5	-1	5	30002	25	-1	110	-1	5
31	3	1	32	1	30003	5	-1	111	-1	1
32	3	2	33	2	30003	10	-1	112	-1	2
33	3	3	34	3	30003	15	-1	113	-1	3
34	3	4	35	4	30003	20	-1	114	-1	4
35	3	5	-1	5	30003	25	-1	115	-1	5
41	4	1	42	1	30004	5	-1	101	-1	1
42	4	2	43	2	30004	10	-1	102	-1	2
43	4	3	44	3	30004	15	-1	103	-1	3
44	4	4	45	4	30004	20	-1	104	-1	4
45	4	5	-1	5	30004	25	-1	105	-1	5
51	5	1	52	1	30005	5	-1	106	-1	1
52	5	2	53	2	30005	10	-1	107	-1	2
53	5	3	54	3	30005	15	-1	108	-1	3
54	5	4	55	4	30005	20	-1	109	-1	4
55	5	5	-1	5	30005	25	-1	110	-1	5
61	6	1	62	1	30006	5	-1	111	-1	1
62	6	2	63	2	30006	10	-1	112	-1	2
63	6	3	64	3	30006	15	-1	113	-1	3
64	6	4	65	4	30006	20	-1	114	-1	4
65	6	5	-1	5	30006	25	-1	115	-1	5
71	7	1	72	1	30007	5	-1	101	-1	1
72	7	2	73	2	30007	10	-1	102	-1	2
73	7	3	74	3	30007	15	-1	103	-1	3
74	7	4	75	4	30007	20	-1	104	-1	4
75	7	5	-1	5	30007	25	-1	105	-1	5
81	8	1	82	1	30008	5	-1	106	-1	1
82	8	2	83	2	30008	10	-1	107	-1	2
83	8	3	84	3	30008	15	-1	108	-1	3
84	8	4	85	4	30008	20	-1	109	-1	4
85	8	5	-1	5	30008	25	-1	110	-1	5
91	9	1	92	1	30009	5	-1	111	-1	1
92	9	2	93	2	30009	10	-1	112	-1	2
93	9	3	94	3	30009	15	-1	113	-1	3
94	9	4	95	4	30009	20	-1	114	-1	4
95	9	5	-1	5	30009	25	-1	115	-1	5
101	10	1	102	1	30010	5	-1	101	-1	1
102	10	2	103	2	30010	10	-1	102	-1	2
103	10	3	104	3	30010	15	-1	103	-1	3
104	10	4	105	4	30010	20	-1	104	-1	4
105	10	5	-1	5	30010	25	-1	105	-1	5
