CardID	CardGroup	StarLevel	NextCardID	AttributeID	Cost_item	Cost_num	Fasion	Image2D	Weaponid	CollectAttriID
int32	int32	int32	int32	int32	int32	int32	int32	char	int32	int32
11	1	1	12	1	30001	5	-1	101	-1	1
12	1	2	13	2	30001	10	-1	101	-1	2
13	1	3	14	3	30001	15	-1	101	-1	3
14	1	4	15	4	30001	20	-1	101	-1	4
15	1	5	16	5	30001	25	-1	101	-1	5
16	1	6	-1	6	30001	30	-1	101	-1	6
21	2	1	22	1	30002	5	-1	102	-1	1
22	2	2	23	2	30002	10	-1	102	-1	2
23	2	3	24	3	30002	15	-1	102	-1	3
24	2	4	25	4	30002	20	-1	102	-1	4
25	2	5	26	5	30002	25	-1	102	-1	5
26	2	6	-1	6	30002	30	-1	102	-1	6
31	3	1	32	1	30003	5	-1	103	-1	1
32	3	2	33	2	30003	10	-1	103	-1	2
33	3	3	34	3	30003	15	-1	103	-1	3
34	3	4	35	4	30003	20	-1	103	-1	4
35	3	5	36	5	30003	25	-1	103	-1	5
36	3	6	-1	6	30003	30	-1	103	-1	6
41	4	1	42	1	30004	5	-1	104	-1	1
42	4	2	43	2	30004	10	-1	104	-1	2
43	4	3	44	3	30004	15	-1	104	-1	3
44	4	4	45	4	30004	20	-1	104	-1	4
45	4	5	46	5	30004	25	-1	104	-1	5
46	4	6	-1	6	30004	30	-1	104	-1	6
51	5	1	52	1	30005	5	-1	105	-1	1
52	5	2	53	2	30005	10	-1	105	-1	2
53	5	3	54	3	30005	15	-1	105	-1	3
54	5	4	55	4	30005	20	-1	105	-1	4
55	5	5	56	5	30005	25	-1	105	-1	5
56	5	6	-1	6	30005	30	-1	105	-1	6
61	6	1	62	1	30006	5	-1	106	-1	1
62	6	2	63	2	30006	10	-1	106	-1	2
63	6	3	64	3	30006	15	-1	106	-1	3
64	6	4	65	4	30006	20	-1	106	-1	4
65	6	5	66	5	30006	25	-1	106	-1	5
66	6	6	-1	6	30006	30	-1	106	-1	6
71	7	1	72	1	30007	5	-1	107	-1	1
72	7	2	73	2	30007	10	-1	107	-1	2
73	7	3	74	3	30007	15	-1	107	-1	3
74	7	4	75	4	30007	20	-1	107	-1	4
75	7	5	76	5	30007	25	-1	107	-1	5
76	7	6	-1	6	30007	30	-1	107	-1	6
81	8	1	82	1	30008	5	-1	108	-1	1
82	8	2	83	2	30008	10	-1	108	-1	2
83	8	3	84	3	30008	15	-1	108	-1	3
84	8	4	85	4	30008	20	-1	108	-1	4
85	8	5	86	5	30008	25	-1	108	-1	5
86	8	6	-1	6	30008	30	-1	108	-1	6
91	9	1	92	1	30009	5	-1	109	-1	1
92	9	2	93	2	30009	10	-1	109	-1	2
93	9	3	94	3	30009	15	-1	109	-1	3
94	9	4	95	4	30009	20	-1	109	-1	4
95	9	5	96	5	30009	25	-1	109	-1	5
96	9	6	-1	6	30009	30	-1	109	-1	6
101	10	1	102	1	30010	5	-1	110	-1	1
102	10	2	103	2	30010	10	-1	110	-1	2
103	10	3	104	3	30010	15	-1	110	-1	3
104	10	4	105	4	30010	20	-1	110	-1	4
105	10	5	106	5	30010	25	-1	110	-1	5
106	10	6	-1	6	30010	30	-1	110	-1	6
111	11	1	112	1	30001	5	-1	101	-1	1
112	11	2	113	2	30001	10	-1	101	-1	2
113	11	3	114	3	30001	15	-1	101	-1	3
114	11	4	115	4	30001	20	-1	101	-1	4
115	11	5	116	5	30001	25	-1	101	-1	5
116	11	6	-1	6	30001	30	-1	101	-1	6
121	12	1	122	1	30002	5	-1	102	-1	1
122	12	2	123	2	30002	10	-1	102	-1	2
123	12	3	124	3	30002	15	-1	102	-1	3
124	12	4	125	4	30002	20	-1	102	-1	4
125	12	5	126	5	30002	25	-1	102	-1	5
126	12	6	-1	6	30002	30	-1	102	-1	6
131	13	1	132	1	30003	5	-1	103	-1	1
132	13	2	133	2	30003	10	-1	103	-1	2
133	13	3	134	3	30003	15	-1	103	-1	3
134	13	4	135	4	30003	20	-1	103	-1	4
135	13	5	136	5	30003	25	-1	103	-1	5
136	13	6	-1	6	30003	30	-1	103	-1	6
141	14	1	142	1	30004	5	-1	104	-1	1
142	14	2	143	2	30004	10	-1	104	-1	2
143	14	3	144	3	30004	15	-1	104	-1	3
144	14	4	145	4	30004	20	-1	104	-1	4
145	14	5	146	5	30004	25	-1	104	-1	5
146	14	6	-1	6	30004	30	-1	104	-1	6
151	15	1	152	1	30005	5	-1	105	-1	1
152	15	2	153	2	30005	10	-1	105	-1	2
153	15	3	154	3	30005	15	-1	105	-1	3
154	15	4	155	4	30005	20	-1	105	-1	4
155	15	5	156	5	30005	25	-1	105	-1	5
156	15	6	-1	6	30005	30	-1	105	-1	6
161	16	1	162	1	30006	5	-1	106	-1	1
162	16	2	163	2	30006	10	-1	106	-1	2
163	16	3	164	3	30006	15	-1	106	-1	3
164	16	4	165	4	30006	20	-1	106	-1	4
165	16	5	166	5	30006	25	-1	106	-1	5
166	16	6	-1	6	30006	30	-1	106	-1	6
171	17	1	172	1	30007	5	-1	107	-1	1
172	17	2	173	2	30007	10	-1	107	-1	2
173	17	3	174	3	30007	15	-1	107	-1	3
174	17	4	175	4	30007	20	-1	107	-1	4
175	17	5	176	5	30007	25	-1	107	-1	5
176	17	6	-1	6	30007	30	-1	107	-1	6
181	18	1	182	1	30008	5	-1	108	-1	1
182	18	2	183	2	30008	10	-1	108	-1	2
183	18	3	184	3	30008	15	-1	108	-1	3
184	18	4	185	4	30008	20	-1	108	-1	4
185	18	5	186	5	30008	25	-1	108	-1	5
186	18	6	-1	6	30008	30	-1	108	-1	6
191	19	1	192	1	30009	5	-1	109	-1	1
192	19	2	193	2	30009	10	-1	109	-1	2
193	19	3	194	3	30009	15	-1	109	-1	3
194	19	4	195	4	30009	20	-1	109	-1	4
195	19	5	196	5	30009	25	-1	109	-1	5
196	19	6	-1	6	30009	30	-1	109	-1	6
201	20	1	202	1	30010	5	-1	110	-1	1
202	20	2	203	2	30010	10	-1	110	-1	2
203	20	3	204	3	30010	15	-1	110	-1	3
204	20	4	205	4	30010	20	-1	110	-1	4
205	20	5	206	5	30010	25	-1	110	-1	5
206	20	6	-1	6	30010	30	-1	110	-1	6
211	21	1	212	1	30001	5	-1	101	-1	1
212	21	2	213	2	30001	10	-1	101	-1	2
213	21	3	214	3	30001	15	-1	101	-1	3
214	21	4	215	4	30001	20	-1	101	-1	4
215	21	5	216	5	30001	25	-1	101	-1	5
216	21	6	-1	6	30001	30	-1	101	-1	6
221	22	1	222	1	30002	5	-1	102	-1	1
222	22	2	223	2	30002	10	-1	102	-1	2
223	22	3	224	3	30002	15	-1	102	-1	3
224	22	4	225	4	30002	20	-1	102	-1	4
225	22	5	226	5	30002	25	-1	102	-1	5
226	22	6	-1	6	30002	30	-1	102	-1	6
231	23	1	232	1	30003	5	-1	103	-1	1
232	23	2	233	2	30003	10	-1	103	-1	2
233	23	3	234	3	30003	15	-1	103	-1	3
234	23	4	235	4	30003	20	-1	103	-1	4
235	23	5	236	5	30003	25	-1	103	-1	5
236	23	6	-1	6	30003	30	-1	103	-1	6
241	24	1	242	1	30004	5	-1	104	-1	1
242	24	2	243	2	30004	10	-1	104	-1	2
243	24	3	244	3	30004	15	-1	104	-1	3
244	24	4	245	4	30004	20	-1	104	-1	4
245	24	5	246	5	30004	25	-1	104	-1	5
246	24	6	-1	6	30004	30	-1	104	-1	6
251	25	1	252	1	30005	5	-1	105	-1	1
252	25	2	253	2	30005	10	-1	105	-1	2
253	25	3	254	3	30005	15	-1	105	-1	3
254	25	4	255	4	30005	20	-1	105	-1	4
255	25	5	256	5	30005	25	-1	105	-1	5
256	25	6	-1	6	30005	30	-1	105	-1	6
