DataID	Data	ValueName	ComputeLevel	AbsoluteValue	ComputeMode	PercentValue	KeyWord
int32	int32	char	int32	f32	int32	f32	int32
1	0	d_ac	1	50	2	0.1	716001
2	0	hpmax	1	1000	2	0.2	716002
3	0	atk_d	1	100	2	0.3	716003
4	0	d_ac	1	50	2	0.4	716004
5	0	hpmax	1	1000	2	0.5	716005
6	0	atk_d	1	100	2	0.6	716006
7	0	d_ac	1	50	2	0.7	716007
8	0	hpmax	1	1000	2	0.8	716008
9	0	atk_d	1	100	2	0.9	716009
10	0	d_ac	1	50	2	0.1	716010
11	0	hpmax	1	1000	2	0.2	716011
12	0	atk_d	1	100	2	0.3	716012
13	0	d_ac	1	50	2	0.4	716013
14	0	hpmax	1	1000	2	0.5	716014
15	0	atk_d	1	100	2	0.6	716015
16	0	d_ac	1	50	2	0.7	716016
17	0	hpmax	1	1000	2	0.8	716017
18	0	atk_d	1	100	2	0.9	716018
19	0	d_ac	1	50	2	0.1	716019
20	0	hpmax	1	1000	2	0.2	716020
21	0	atk_d	1	100	2	0.3	716021
