CardID	CapID	Attrs	SrcSkillID	NewSkillID
int32	int32	int32	int32	int32
1	11	1		
1	12	2		
1	13	3		
1	21	4		
1	22	5		
1	23	6		
1	31	7		
1	32	8		
1	33	9		
1	41		10001	10002
1	42		10001	10002
1	43		10001	10002
1	51		10001	10002
1	52		10001	10002
1	53		10001	10002
2	11	1		
2	12	2		
2	13	3		
2	21	4		
2	22	5		
2	23	6		
2	31	7		
2	32	8		
2	33	9		
2	41		10001	10002
2	42		10001	10002
2	43		10001	10002
2	51		10001	10002
2	52		10001	10002
2	53		10001	10002
3	11	1		
3	12	2		
3	13	3		
3	21	4		
3	22	5		
3	23	6		
3	31	7		
3	32	8		
3	33	9		
3	41		10001	10002
3	42		10001	10002
3	43		10001	10002
3	51		10001	10002
3	52		10001	10002
3	53		10001	10002
4	11	1		
4	12	2		
4	13	3		
4	21	4		
4	22	5		
4	23	6		
4	31	7		
4	32	8		
4	33	9		
4	41		10001	10002
4	42		10001	10002
4	43		10001	10002
4	51		10001	10002
4	52		10001	10002
4	53		10001	10002
5	11	1		
5	12	2		
5	13	3		
5	21	4		
5	22	5		
5	23	6		
5	31	7		
5	32	8		
5	33	9		
5	41		10001	10002
5	42		10001	10002
5	43		10001	10002
5	51		10001	10002
5	52		10001	10002
5	53		10001	10002
6	11	1		
6	12	2		
6	13	3		
6	21	4		
6	22	5		
6	23	6		
6	31	7		
6	32	8		
6	33	9		
6	41		10001	10002
6	42		10001	10002
6	43		10001	10002
6	51		10001	10002
6	52		10001	10002
6	53		10001	10002
7	11	1		
7	12	2		
7	13	3		
7	21	4		
7	22	5		
7	23	6		
7	31	7		
7	32	8		
7	33	9		
7	41		10001	10002
7	42		10001	10002
7	43		10001	10002
7	51		10001	10002
7	52		10001	10002
7	53		10001	10002
8	11	1		
8	12	2		
8	13	3		
8	21	4		
8	22	5		
8	23	6		
8	31	7		
8	32	8		
8	33	9		
8	41		10001	10002
8	42		10001	10002
8	43		10001	10002
8	51		10001	10002
8	52		10001	10002
8	53		10001	10002
9	11	1		
9	12	2		
9	13	3		
9	21	4		
9	22	5		
9	23	6		
9	31	7		
9	32	8		
9	33	9		
9	41		10001	10002
9	42		10001	10002
9	43		10001	10002
9	51		10001	10002
9	52		10001	10002
9	53		10001	10002
10	11	1		
10	12	2		
10	13	3		
10	21	4		
10	22	5		
10	23	6		
10	31	7		
10	32	8		
10	33	9		
10	41		10001	10002
10	42		10001	10002
10	43		10001	10002
10	51		10001	10002
10	52		10001	10002
10	53		10001	10002
11	11	1		
11	12	2		
11	13	3		
11	21	4		
11	22	5		
11	23	6		
11	31	7		
11	32	8		
11	33	9		
11	41		10001	10002
11	42		10001	10002
11	43		10001	10002
11	51		10001	10002
11	52		10001	10002
11	53		10001	10002
12	11	1		
12	12	2		
12	13	3		
12	21	4		
12	22	5		
12	23	6		
12	31	7		
12	32	8		
12	33	9		
12	41		10001	10002
12	42		10001	10002
12	43		10001	10002
12	51		10001	10002
12	52		10001	10002
12	53		10001	10002
13	11	1		
13	12	2		
13	13	3		
13	21	4		
13	22	5		
13	23	6		
13	31	7		
13	32	8		
13	33	9		
13	41		10001	10002
13	42		10001	10002
13	43		10001	10002
13	51		10001	10002
13	52		10001	10002
13	53		10001	10002
14	11	1		
14	12	2		
14	13	3		
14	21	4		
14	22	5		
14	23	6		
14	31	7		
14	32	8		
14	33	9		
14	41		10001	10002
14	42		10001	10002
14	43		10001	10002
14	51		10001	10002
14	52		10001	10002
14	53		10001	10002
15	11	1		
15	12	2		
15	13	3		
15	21	4		
15	22	5		
15	23	6		
15	31	7		
15	32	8		
15	33	9		
15	41		10001	10002
15	42		10001	10002
15	43		10001	10002
15	51		10001	10002
15	52		10001	10002
15	53		10001	10002
16	11	1		
16	12	2		
16	13	3		
16	21	4		
