DataID	Data	ValueName	ComputeLevel	AbsoluteValue	ComputeMode	PercentValue	KeyWord
int32	int32	char	int32	f32	int32	f32	int32
1	0	d_ac	1	-1	1	0.1	714001
2	0	hpmax	1	-1	1	0.2	714002
3	0	atk_d	1	-1	1	0.3	714003
4	0	d_ac	1	-1	1	0.4	714004
5	0	hpmax	1	-1	1	0.5	714005
6	0	atk_d	1	-1	1	0.6	714006
7	0	d_ac	1	-1	1	0.7	714007
8	0	hpmax	1	-1	1	0.8	714008
9	0	atk_d	1	-1	1	0.9	714009
10	0	d_ac	1	-1	1	0.1	714010
11	0	hpmax	1	-1	1	0.2	714011
12	0	atk_d	1	-1	1	0.3	714012
13	0	d_ac	1	-1	1	0.4	714013
14	0	hpmax	1	-1	1	0.5	714014
15	0	atk_d	1	-1	1	0.6	714015
16	0	d_ac	1	-1	1	0.7	714016
17	0	hpmax	1	-1	1	0.8	714017
18	0	atk_d	1	-1	1	0.9	714018
19	0	d_ac	1	-1	1	0.1	714019
20	0	hpmax	1	-1	1	0.2	714020
21	0	atk_d	1	-1	1	0.3	714021
22	0	d_ac	1	-1	1	0.1	714001
23	0	hpmax	1	-1	1	0.2	714002
24	0	atk_d	1	-1	1	0.3	714003
25	0	d_ac	1	-1	1	0.4	714004
26	0	hpmax	1	-1	1	0.5	714005
27	0	atk_d	1	-1	1	0.6	714006
28	0	d_ac	1	-1	1	0.7	714007
29	0	hpmax	1	-1	1	0.8	714008
30	0	atk_d	1	-1	1	0.9	714009
31	0	d_ac	1	-1	1	0.1	714010
32	0	hpmax	1	-1	1	0.2	714011
33	0	atk_d	1	-1	1	0.3	714012
34	0	d_ac	1	-1	1	0.4	714013
35	0	hpmax	1	-1	1	0.5	714014
36	0	atk_d	1	-1	1	0.6	714015
37	0	d_ac	1	-1	1	0.7	714016
38	0	hpmax	1	-1	1	0.8	714017
39	0	atk_d	1	-1	1	0.9	714018
40	0	d_ac	1	-1	1	0.1	714019
41	0	hpmax	1	-1	1	0.2	714020
42	0	atk_d	1	-1	1	0.3	714021
43	0	d_ac	1	-1	1	0.1	714001
44	0	hpmax	1	-1	1	0.2	714002
45	0	atk_d	1	-1	1	0.3	714003
46	0	d_ac	1	-1	1	0.4	714004
47	0	hpmax	1	-1	1	0.5	714005
48	0	atk_d	1	-1	1	0.6	714006
49	0	d_ac	1	-1	1	0.7	714007
50	0	hpmax	1	-1	1	0.8	714008
51	0	atk_d	1	-1	1	0.9	714009
52	0	d_ac	1	-1	1	0.1	714010
53	0	hpmax	1	-1	1	0.2	714011
54	0	atk_d	1	-1	1	0.3	714012
55	0	d_ac	1	-1	1	0.4	714013
56	0	hpmax	1	-1	1	0.5	714014
57	0	atk_d	1	-1	1	0.6	714015
58	0	d_ac	1	-1	1	0.7	714016
59	0	hpmax	1	-1	1	0.8	714017
60	0	atk_d	1	-1	1	0.9	714018
61	0	d_ac	1	-1	1	0.1	714019
62	0	hpmax	1	-1	1	0.2	714020
63	0	atk_d	1	-1	1	0.3	714021
64	0	d_ac	1	-1	1	0.1	714001
65	0	hpmax	1	-1	1	0.2	714002
66	0	atk_d	1	-1	1	0.3	714003
67	0	d_ac	1	-1	1	0.4	714004
68	0	hpmax	1	-1	1	0.5	714005
69	0	atk_d	1	-1	1	0.6	714006
70	0	d_ac	1	-1	1	0.7	714007
71	0	hpmax	1	-1	1	0.8	714008
72	0	atk_d	1	-1	1	0.9	714009
73	0	d_ac	1	-1	1	0.1	714010
74	0	hpmax	1	-1	1	0.2	714011
75	0	atk_d	1	-1	1	0.3	714012
76	0	d_ac	1	-1	1	0.4	714013
77	0	hpmax	1	-1	1	0.5	714014
78	0	atk_d	1	-1	1	0.6	714015
79	0	d_ac	1	-1	1	0.7	714016
80	0	hpmax	1	-1	1	0.8	714017
81	0	atk_d	1	-1	1	0.9	714018
82	0	d_ac	1	-1	1	0.1	714019
83	0	hpmax	1	-1	1	0.2	714020
84	0	atk_d	1	-1	1	0.3	714021
