DataID	Data	ValueName	ComputeLevel	AbsoluteValue	ComputeMode	PercentValue	AttrLevel	KeyWord
int32	int32	char	int32	f32	int32	f32	int32	int32
1	0	d_ac	1	-1	1	0.1	0	712001
1	0	hpmax	1	-1	1	0.2	1	712002
1	0	atk_d	1	-1	1	0.3	2	712003
2	0	d_ac	1	-1	1	0.4	3	712004
2	0	hpmax	1	-1	1	0.5	4	712005
2	0	atk_d	1	-1	1	0.6	0	712006
3	0	d_ac	1	-1	1	0.7	1	712007
3	0	hpmax	1	-1	1	0.8	2	712008
3	0	atk_d	1	-1	1	0.9	3	712009
4	0	d_ac	1	-1	1	0.1	4	712010
4	0	hpmax	1	-1	1	0.2	0	712011
4	0	atk_d	1	-1	1	0.3	1	712012
5	0	d_ac	1	-1	1	0.4	2	712013
5	0	hpmax	1	-1	1	0.5	3	712014
5	0	atk_d	1	-1	1	0.6	4	712015
6	0	d_ac	1	-1	1	0.7	0	712016
6	0	hpmax	1	-1	1	0.8	1	712017
6	0	atk_d	1	-1	1	0.9	2	712018
7	0	d_ac	1	-1	1	0.1	3	712019
7	0	hpmax	1	-1	1	0.2	4	712020
7	0	atk_d	1	-1	1	0.3	0	712021
