NeedStar	AttributeID	Info
int32	int32	int32
1	50	200006
2	150	200006
3	200	200006
4	250	200006
5	300	200006
6	350	200006
7	400	200006
8	450	200006
9	500	200006
10	550	200006
11	600	200006
12	650	200006
13	700	200006
14	750	200006
15	800	200006
16	850	200007
17	900	200007
18	950	200007
19	1000	200007
20	1050	200007
21	1100	200007
22	1150	200007
23	1200	200007
24	1250	200007
25	1300	200007
26	1350	200007
27	1400	200007
28	1450	200007
29	1500	200007
30	1550	200007
31	1600	200007
32	1650	200008
33	1700	200008
34	1750	200008
35	1800	200008
36	1850	200008
37	1900	200008
38	1950	200008
39	2000	200008
40	2050	200008
