CDGroup	CDAttr	CDTime	CDCount	CDCommon	BuffID	BuffLayer
int32	int32	int32	int32	int32	int32	int32
5006	0	12000	0	0	0	0
5008	0	10000	0	0	0	0
5011	0	25000	0	0	0	0
5106	0	15000	2	0	0	0
5107	0	6000	0	0	0	0
5108	0	30000	0	0	0	0
5203	0	15000	0	0	0	0
5206	0	10000	0	0	0	0
5207	0	10000	0	0	0	0
5209	0	25000	0	0	0	0
5401	0	5000	0	0	0	0
5408	0	9000	0	0	0	0
5411	0	15000	0	0	0	0
5413	0	15000	0	0	0	0
5415	0	5000	0	0	0	0
5507	0	11000	0	0	0	0
5510	0	10000	0	0	0	0
5511	0	40000	0	0	0	0
5603	0	12000	0	0	0	0
5605	0	10000	0	0	0	0
5607	0	25000	0	0	0	0
5702	0	10000	0	0	0	0
5704	0	11000	0	0	0	0
5705	0	40000	0	0	0	0
15010	0	10000	0	0	0	0
15020	0	5000	0	0	0	0
15021	0	5000	0	0	0	0
15030	0	30000	0	0	0	0
15104	0	10000	0	0	0	0
15106	0	9000	0	0	0	0
15107	0	60000	0	0	0	0
15210	0	5000	0	0	0	0
15220	0	10000	0	0	0	0
15230	0	30000	0	0	0	0
15305	0	5000	0	0	0	0
15307	0	6000	0	0	0	0
15314	0	40000	0	0	0	0
30001	0	12000	0	0	0	0
30002	0	5000	0	0	0	0
30003	0	5000	0	0	0	0
30004	0	5000	0	0	0	0
30005	0	12000	0	0	0	0
60001	0	10000	0	0	0	0
60002	0	5000	0	0	0	0
60003	0	8000	0	0	0	0
60005	0	5000	0	0	0	0
60006	0	10000	0	0	0	0
60007	0	18000	0	0	0	0
60010	0	5000	0	0	0	0
60013	0	15000	0	0	0	0
60014	0	15000	0	0	0	0
60015	0	7000	0	0	0	0
60016	0	12000	0	0	0	0
60017	0	8000	0	0	0	0
60020	0	12000	0	0	0	0
60021	0	25000	0	0	0	0
60022	0	7000	0	0	0	0
60023	0	7000	0	0	0	0
60025	0	7000	0	0	0	0
60026	0	12000	0	0	0	0
70000	0	20000	0	0	0	0
15511	0	10000	0	0	0	0
15520	0	20000	0	0	0	0
15530	0	40000	0	0	0	0
15610	0	10000	0	0	0	0
15620	0	20000	0	0	0	0
15630	0	30000	0	0	0	0
94904	0	12000	0	0	0	0
94906	0	10000	0	0	0	0
94908	0	25000	0	0	0	0
104910	0	5500	0	0	0	0
104920	0	5500	0	0	0	0
104930	0	5500	0	0	0	0
105020	0	7000	0	0	0	0
105030	0	25000	0	0	0	0
105110	0	5000	0	0	0	0
105120	0	5000	0	0	0	0
105130	0	5000	0	0	0	0
105210	0	5000	0	0	0	0
105211	0	5000	0	0	0	0
105220	0	7000	0	0	0	0
105230	0	30000	0	0	0	0
105320	0	15000	0	0	0	0
105330	0	15000	0	0	0	0
105500	0	10000	0	0	0	0
105501	0	10000	0	0	0	0
105505	0	10000	0	0	0	0
105506	0	10000	0	0	0	0
105510	0	10000	0	0	0	0
105520	0	10000	0	0	0	0
105530	0	10000	0	0	0	0
105600	0	10000	0	0	0	0
105601	0	10000	0	0	0	0
105605	0	10000	0	0	0	0
105606	0	10000	0	0	0	0
105610	0	10000	0	0	0	0
105620	0	10000	0	0	0	0
105630	0	10000	0	0	0	0
105631	0	10000	0	0	0	0
105700	0	10000	0	0	0	0
105705	0	10000	0	0	0	0
105710	0	10000	0	0	0	0
105720	0	10000	0	0	0	0
105730	0	10000	0	0	0	0
300	0	43200000	0	0	0	0
500001	0	10000	0	0	0	0
500002	0	10000	0	0	0	0
