ID	npcflag	runspeed	circuityspeed	turnspeed	bornanim
int32	int32	f32	f32	f32	int32
211	61	6	2	2	-1
212	61	6	2	2	-1
213	61	6	2	2	-1
214	61	6	2	2	-1
215	61	6	2	2	-1
216	61	6	2	2	-1
301	61	6	2	2	-1
302	61	6	2	2	-1
303	61	6	2	2	-1
304	61	6	2	2	-1
305	61	6	2	2	-1
306	61	6	2	2	-1
5108	61	6	2	2	-1
15220	61	6	2	2	-1
15221	61	6	2	2	-1
15222	61	6	2	2	-1
100001	1	6	2	2	-1
100002	61	6	2	2	-1
100003	61	10	4	2	-1
100004	61	10	4	2	-1
100010	102	5	3	2	-1
100011	102	5	3	2	-1
100012	102	5	3	2	-1
100051	1	6	2	2	-1
100052	1	6	2	2	-1
100053	1	6	2	2	-1
100054	1	6	2	2	-1
100055	1	6	2	2	-1
100056	1	6	2	2	-1
100057	1	6	2	2	-1
100058	1	6	2	2	-1
100059	1	6	2	2	-1
100060	1	6	2	2	-1
100061	1	6	2	2	-1
100062	1	6	2	2	-1
100063	99	0	0	2	-1
100101	1	6	2	2	-1
100102	1	6	2	2	-1
100201	61	6	2	2	-1
100202	61	6	2	2	-1
100301	61	6	2	2	-1
100302	1	6	2	2	-1
100303	1	6	2	2	-1
100304	1	6	2	2	-1
100401	1	6	2	2	-1
100402	1	6	2	2	-1
100403	1	6	2	2	-1
100501	1	6	2	2	-1
100502	1	6	2	2	-1
100503	1	6	2	2	-1
100601	1	6	2	2	-1
100602	1	6	2	2	-1
100603	1	6	2	2	-1
100604	1	6	2	2	-1
100701	1	6	2	2	-1
100702	1	6	2	2	-1
100703	1	6	2	2	-1
100801	1	6	2	2	-1
100802	1	6	2	2	-1
100803	1	6	2	2	-1
100901	1	6	2	2	-1
100902	1	6	2	2	-1
100903	1	6	2	2	-1
100904	1	6	2	2	-1
100905	1	6	2	2	-1
101001	1	6	2	2	-1
101002	1	6	2	2	-1
101003	1	6	2	2	-1
101004	1	6	2	2	-1
101101	1	6	2	2	-1
101102	1	6	2	2	-1
101103	1	6	2	2	-1
101104	1	6	2	2	-1
101201	1	6	2	2	-1
101202	1	6	2	2	-1
101203	1	6	2	2	-1
101204	1	6	2	2	-1
101205	1	6	2	2	-1
200101	61	6	2	2	-1
400001	61	6	2	2	-1
400002	99	0	0	2	-1
400101	61	6	2	2	-1
400201	61	10	4	2	-1
400301	61	10	4	2	-1
400401	61	10	4	2	-1
400501	61	10	4	2	-1
400601	61	10	4	2	-1
400701	61	10	4	2	-1
400801	61	10	4	2	-1
400901	61	10	4	2	-1
450001	61	6	2	2	-1
450101	61	6	2	2	-1
450201	61	10	4	2	-1
450301	61	10	4	2	-1
450401	61	10	4	2	-1
450501	61	10	4	2	-1
450601	61	10	4	2	-1
450701	61	10	4	2	-1
450801	61	10	4	2	-1
450901	61	10	4	2	-1
900001	101	6	2	2	-1
900002	101	6	2	2	-1
900101	101	6	2	2	-1
900102	101	6	2	2	-1
900103	101	6	2	2	-1
501	101	6	2	2	-1
502	101	6	2	2	-1
503	101	6	2	2	-1
504	101	6	2	2	-1
505	101	6	2	2	-1
401	101	6	2	2	-1
402	101	6	2	2	-1
403	101	6	2	2	-1
100210	61	6	2	2	52
100211	61	6	2	2	-1
100212	61	10	4	2	-1
100213	61	6	2	2	-1
100214	61	10	4	2	-1
100215	61	6	2	2	-1
100216	61	6	2	2	-1
100217	61	6	2	2	-1
100218	61	10	4	2	-1
