SkillID	DesDictID	CLT_RootSkillID	CLT_AimAssistType	CLT_AimAssistRule	CLT_AimAssistSub	CLT_AimAssistEffect	CLT_AimTrajectoryCurve	CLT_GroupID	CLT_GroupOrder	CLT_DispatchEvent	CLT_HandleEvent	CLT_EventSrcRootSkillID	CLT_ReplaceRootSkillID	CLT_TimeOut	CLT_CastType	CLT_EffectID1	CLT_EffectID2	CLT_EffectID3	CLT_EffectID4	CLT_EffectID5	iconpath
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char
101	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5107
5001	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5002	0	0	0	0	0	0	-1	5002	1	0	0	0	0	0	0	0	0	0	0	0	skill_5002
5003	0	5002	0	0	0	0	-1	5003	1	0	0	0	0	0	0	0	0	0	0	0	skill_001
5004	0	5002	0	0	0	0	-1	5004	1	0	0	0	0	0	0	0	0	0	0	0	skill_001
5006	0	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5006
5007	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5008	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5008
5009	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5009
5011	0	5009	1	1	0	0	-1	0	0	0	0	0	0	0	2	0	3001	3002	0	0	skill_001
5012	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5013	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5014	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5101	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5102	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5102
5103	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5106	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5106
5107	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5107
5108	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5108
5110	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5111	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5112	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5201	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5202	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5202
5203	0	0	2	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5203
5204	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5205	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5206	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5207	0	0	1	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5207
5208	0	0	1	1	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	skill_001
5209	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5209
5210	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5211	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5401	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5402	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5403	0	0	0	0	0	0	-1	5403	1	0	0	0	0	0	0	0	0	0	0	0	skill_5403
5404	0	5403	0	0	0	0	-1	5403	2	0	0	0	0	0	0	0	0	0	0	0	skill_001
5405	0	5403	0	0	0	0	-1	5403	3	0	0	0	0	0	0	0	0	0	0	0	skill_001
5406	0	0	0	0	0	0	-1	5406	1	0	0	0	0	0	0	0	0	0	0	0	skill_001
5407	0	0	0	0	0	0	-1	5407	1	0	0	0	0	0	0	0	0	0	0	0	skill_001
5408	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5408
5409	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5410	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5411	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_5411
5412	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5413	0	5413	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	skill_001
5414	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_001
5415	0	0	0	0	0	0	-1	5415	1	0	0	0	0	0	0	0	0	0	0	0	skill_5415
