effectid	bindbone	controlType	particle	scale	lifetime	sound	type	dir	needpreload
int32	char	int32	char	f32	f32	int32	int32	int32	int32
1	-1	0	Effects/Particle/Common/miaozhun_041.prefab	1	-1	0	2	0	1
2	-1	0	Effects/Particle/Common/Eff_Target_071.prefab	1	-1	0	2	0	1
1001	-1	0	Effects/Hero/shan_hero_60.prefab	1	-1	0	2	0	1
1002	-1	0	Effects/Hero/chang_hero.prefab	1	-1	0	2	0	1
1003	-1	0	Effects/Hero/quan_hero.prefab	1	-1	0	2	0	1
1004	-1	0	Effects/Hero/ring_hero.prefab	1	-1	0	2	0	1
1005	-1	0	Effects/Hero/shan_hero_120.prefab	1	-1	0	2	0	1
2001	-1	0	Effects/Particle/Common/Attack_41.prefab	1	-1	4001	2	0	1
2002	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0002.prefab	1	-1	4001	2	0	1
2003	-1	0	Effects/Particle/Common/Bomb_041.prefab	1	-1	0	2	0	1
2004	-1	0	Effects/Particle/Common/Attack_42.prefab	1	-1	4001	2	0	1
2005	-1	0	Effects/Particle/Common/Attack_43.prefab	1	-1	4001	2	0	1
2006	-1	0	Effects/Particle/Common/Attack_44.prefab	1	-1	0	2	0	1
2007	-1	0	Effects/Particle/Player/LD_01/skill_bq_both_n_0002_shouji_01.prefab	1	-1	0	2	0	1
2008	-1	0	Effects/Particle/Player/SQ_01/EFF_atk_sq_both_y_0003_hit.prefab	1	-1	0	2	0	1
2009	-1	0	Effects/Particle/Common/Bomb_071.prefab	1	-1	0	2	0	1
2010	-1	0	Effects/Particle/Common/Bomb_072.prefab	1	-1	0	2	0	1
2011	-1	0	Effects/Particle/Common/Bomb_073.prefab	1	-1	0	2	0	1
2012	-1	0	Effects/Particle/Common/GUN_Bullet_071.prefab	1	-1	0	2	0	1
2013	-1	0	Effects/Particle/Common/Attack_42.prefab	0.5	-1	0	2	0	1
2014	-1	0	Effects/Particle/Common/Attack_45.prefab	1	-1	0	2	0	1
2015	-1	0	Effects/Particle/Common/Attack_46.prefab	1	-1	0	2	0	1
2016	-1	0	Effects/Particle/Common/SQ_attack_01.prefab	1	-1	0	2	0	1
2017	-1	0	Effects/Particle/Player/DP_02/EFF_dp2_miansi_shouji.prefab	1	-1	0	2	0	1
2018	-1	0	Effects/Particle/Player/XDQ_01/EFF_atk_xdq_001_hit.prefab	1	-1	0	2	0	1
2019	-1	0	Effects/Particle/Player/XDQ_01/EFF_xdq_baozha_001.prefab	1	-1	0	2	0	1
2020	-1	0	Effects/Particle/Player/FYP_01/atk_fyp_none_y_0001_hit.prefab	1	-1	0	2	0	1
2021	-1	0	Effects/Particle/Player/FYP_01/skill_fyp_none_y_0005.prefab	1	-1	0	2	0	1
3001	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_n_0002_02.prefab	1	-1	0	2	0	1
3002	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_n_0002_03.prefab	1	-1	0	2	0	1
4001	-1	0	Effects/Particle/Common/GUN_Bullet_042.prefab	3	-1	0	2	0	1
4002	-1	0	Effects/Particle/Common/GUN_Bullet_041.prefab	1	-1	0	2	0	1
4003	-1	0	Effects/Particle/Common/GUN_Bullet_043.prefab	1	-1	0	2	0	1
4004	-1	0	Effects/Particle/Player/FD_01/EFF_atk_fd_single_y_0001.prefab	0.4	-1	0	2	0	1
4005	-1	0	Effects/Particle/Player/FD_01/EFF_skill_fd_single_y_0001.prefab	0.6	-1	0	2	0	1
4006	-1	0	Effects/Particle/Common/GUN_Bullet_071.prefab	0.3	-1	0	2	0	1
4007	-1	0	Effects/Particle/Common/GUN_Bullet_072.prefab	1	-1	0	2	0	1
4008	-1	0	Effects/Particle/Common/GUN_Bullet_044_01.prefab	1	-1	0	2	0	1
4009	-1	0	Effects/Particle/Common/GUN_Bullet_045_01.prefab	1	-1	0	2	0	1
4010	-1	0	Effects/Particle/Common/GUN_Bullet_046.prefab	1	-1	0	2	0	1
4011	-1	0	Effects/Particle/Common/SQ_bullet_01.prefab	1	-1	0	2	0	1
4012	-1	0	Effects/Particle/Common/SQ_bullet_02.prefab	1	-1	0	2	0	1
4013	-1	0	Effects/Particle/Common/SQ_bullet_03.prefab	1	-1	0	2	0	1
4014	-1	0	Effects/Particle/Player/DP_02/skill_dp2_single_y_0002.prefab	1	-1	0	2	0	1
4015	-1	0	Effects/Particle/Player/XDQ_01/EFF_xdq_daodan.prefab	1	-1	0	2	0	1
4016	-1	0	Effects/Particle/Player/FYP_01\skill_fyp_none_y_0004.prefab	1	-1	0	2	0	1
5001	-1	0	Effects/Particle/Common/BUFF_huifu_01.prefab	1	-1	0	2	0	1
