ID	Value
int32	char
1	灵笼
2	99
3	0
4	10
5	400
6	0.1
32	120
33	1
34	30
35	10
36	60
100	50001
101	50002
102	50003
103	1
104	2
105	4
106	1
107	0.5
108	0.2
109	0
110	0.1
111	0.2
112	50004
113	50004
114	50004
115	50004
116	50004
117	1
118	2
119	3
120	4
121	5
122	100
123	200
124	300
125	400
126	500
127	1
128	2
129	3
130	4
131	5
132	6
133	7
134	8
135	9
136	10
137	11
138	12
139	13
140	14
141	15
142	1
143	1
144	1
145	1
146	1
151	100
152	50
153	200
154	5000
155	10000
156	1200
157	900
158	600
159	300
160	60
161	100
162	20
163	50
164	50
165	20
166	50
167	4
168	3
169	2
170	1
171	10000
172	100
173	10
174	50
501	10
502	50
503	80
504	10
505	50
506	80
507	10
508	50
509	80
510	10
511	50
512	80
513	10
514	50
515	80
516	10
517	50
518	80
519	10
520	50
521	80
522	10
523	50
524	80
526	1.5
1000	101
1001	300
70000	2500
70003	20000
70004	25000
70005	30000
70006	3333
70007	5000
70008	2800
70009	0.5
70010	0.5
