id	type	subtype	order	name	icon	opencondition	rewardcheckgrp0	rewardgroupid0	rewardcheckgrp1	rewardgroupid1	rewardcheckgrp2	rewardgroupid2
uint8	uint8	uint8	uint8	int32	char	int32	int32	int32	int32	int32	int32	int32
1	0	1	1	140000	0		0	0	0	0	0	0
2	0	1	2	140001	0		0	0	0	0	0	0
3	0	1	3	140002	0		0	0	0	0	0	0
50	0	2	1	140003	0		0	0	0	0	0	0
51	0	2	2	140004	0		0	0	0	0	0	0
52	0	2	3	140005	0		0	0	0	0	0	0
100	0	3	1	140006	0		0	0	0	0	0	0
101	0	3	2	140007	0		0	0	0	0	0	0
102	0	3	3	140008	0		0	0	0	0	0	0
200	1	10	1	140009	0		0	0	0	0	0	0
201	2	10	2	140010	0		0	0	0	0	0	0
202	3	10	3	140011	0		0	0	0	0	0	0
203	4	10	4	140012	0		0	0	0	0	0	0
300	1	11	1	140013	0		0	0	0	0	0	0
301	2	11	2	140014	0		0	0	0	0	0	0
302	3	11	3	140015	0		0	0	0	0	0	0
303	4	11	4	140016	0		0	0	0	0	0	0
