id	chapterid	order	sceneid	introduce	checkgroup	icon	image	rewardgroupfirst	rewardgroup
int32	uint8	uint8	int32	int32	int32	char	char	int32	int32
1	1	1	1001	130000		0	0	1	2
2	1	2	1002	130001		0	0	1	2
3	1	3	1003	130002		0	0	1	2
4	1	4	1004	130003		0	0	1	2
5	1	5	1005	130004		0	0	1	2
6	1	6	1006	130005		0	0	1	2
7	1	7	1007	130006		0	0	1	2
8	1	8	1008	130007		0	0	1	2
9	1	9	1009	130008		0	0	1	2
10	1	10	1010	130009		0	0	1	2
11	1	11	1011	130010		0	0	1	2
12	1	12	1012	130011		0	0	1	2
13	1	13	1013	130012		0	0	1	2
14	2	1	1014	130013		0	0	1	2
15	2	2	1015	130014		0	0	1	2
16	2	3	1016	130015		0	0	1	2
17	2	4	1017	130016		0	0	1	2
18	2	5	1018	130017		0	0	1	2
19	2	6	1019	130018		0	0	1	2
20	2	7	1020	130019		0	0	1	2
21	2	8	1021	130020		0	0	1	2
22	2	9	1022	130021		0	0	1	2
23	2	10	1023	130022		0	0	1	2
24	2	11	1024	130023		0	0	1	2
25	2	12	1025	130024		0	0	1	2
26	2	13	1026	130025		0	0	1	2
27	3	1	1027	130026		0	0	1	2
28	3	2	1028	130027		0	0	1	2
29	3	3	1029	130028		0	0	1	2
30	3	4	1030	130029		0	0	1	2
31	3	5	1031	130030		0	0	1	2
32	3	6	1032	130031		0	0	1	2
33	3	7	1033	130032		0	0	1	2
34	3	8	1034	130033		0	0	1	2
35	3	9	1035	130034		0	0	1	2
36	3	10	1036	130035		0	0	1	2
37	3	11	1037	130036		0	0	1	2
38	3	12	1038	130037		0	0	1	2
39	3	13	1039	130038		0	0	1	2
40	50	1	1040	130039		0	0	2	3
41	50	2	1041	130040		0	0	2	3
42	50	3	1042	130041		0	0	2	3
43	50	4	1043	130042		0	0	2	3
44	50	5	1044	130043		0	0	2	3
45	50	6	1045	130044		0	0	2	3
46	50	7	1046	130045		0	0	2	3
47	50	8	1047	130046		0	0	2	3
48	50	9	1048	130047		0	0	2	3
49	50	10	1049	130048		0	0	2	3
50	50	11	1050	130049		0	0	2	3
51	50	12	1051	130050		0	0	2	3
52	50	13	1052	130051		0	0	2	3
53	51	1	1053	130052		0	0	2	3
54	51	2	1054	130053		0	0	2	3
55	51	3	1055	130054		0	0	2	3
56	51	4	1056	130055		0	0	2	3
57	51	5	1057	130056		0	0	2	3
58	51	6	1058	130057		0	0	2	3
59	51	7	1059	130058		0	0	2	3
60	51	8	1060	130059		0	0	2	3
61	51	9	1061	130060		0	0	2	3
62	51	10	1062	130061		0	0	2	3
63	51	11	1063	130062		0	0	2	3
64	51	12	1064	130063		0	0	2	3
65	51	13	1065	130064		0	0	2	3
66	52	1	1066	130065		0	0	2	3
67	52	2	1067	130066		0	0	2	3
68	52	3	1068	130067		0	0	2	3
69	52	4	1069	130068		0	0	2	3
70	52	5	1070	130069		0	0	2	3
71	52	6	1071	130070		0	0	2	3
72	52	7	1072	130071		0	0	2	3
73	52	8	1073	130072		0	0	2	3
74	52	9	1074	130073		0	0	2	3
75	52	10	1075	130074		0	0	2	3
76	52	11	1076	130075		0	0	2	3
77	52	12	1077	130076		0	0	2	3
78	52	13	1078	130077		0	0	2	3
79	100	1	1079	130078		0	0	3	3
80	100	2	1080	130079		0	0	3	3
81	100	3	1081	130080		0	0	3	3
82	100	4	1082	130081		0	0	3	3
83	100	5	1083	130082		0	0	3	3
84	100	6	1084	130083		0	0	3	3
85	100	7	1085	130084		0	0	3	3
86	100	8	1086	130085		0	0	3	3
87	100	9	1087	130086		0	0	3	3
88	100	10	1088	130087		0	0	3	3
89	100	11	1089	130088		0	0	3	3
90	100	12	1090	130089		0	0	3	3
91	100	13	1091	130090		0	0	3	3
92	101	1	1092	130091		0	0	3	3
93	101	2	1093	130092		0	0	3	3
94	101	3	1094	130093		0	0	3	3
95	101	4	1095	130094		0	0	3	3
96	101	5	1096	130095		0	0	3	3
97	101	6	1097	130096		0	0	3	3
98	101	7	1098	130097		0	0	3	3
99	101	8	1099	130098		0	0	3	3
100	101	9	1100	130099		0	0	3	3
101	101	10	1101	130100		0	0	3	3
102	101	11	1102	130101		0	0	3	3
103	101	12	1103	130102		0	0	3	3
104	101	13	1104	130103		0	0	3	3
105	102	1	1105	130104		0	0	3	3
106	102	2	1106	130105		0	0	3	3
107	102	3	1107	130106		0	0	3	3
108	102	4	1108	130107		0	0	3	3
109	102	5	1109	130108		0	0	3	3
110	102	6	1110	130109		0	0	3	3
111	102	7	1111	130110		0	0	3	3
112	102	8	1112	130111		0	0	3	3
113	102	9	1113	130112		0	0	3	3
114	102	10	1114	130113		0	0	3	3
115	102	11	1115	130114		0	0	3	3
116	102	12	1116	130115		0	0	3	3
117	102	13	1117	130116		0	0	3	3
118	200	1	4000	130117		0	0	1	3
119	200	2	4001	130118		0	0	1	3
120	200	3	4002	130119		0	0	1	3
121	200	4	4003	130120		0	0	1	3
122	201	1	4004	130121		0	0	1	3
123	201	2	4005	130122		0	0	1	3
124	201	3	4006	130123		0	0	1	3
125	201	4	4007	130124		0	0	1	3
126	202	1	4008	130125		0	0	1	3
127	202	2	4009	130126		0	0	1	3
128	202	3	4010	130127		0	0	1	3
129	202	4	4011	130128		0	0	1	3
130	203	1	4012	130129		0	0	1	3
131	203	2	4013	130130		0	0	1	3
132	203	3	4014	130131		0	0	1	3
133	203	4	4015	130132		0	0	1	3
134	300	1	4500	130133		0	0	3	3
135	300	2	4501	130134		0	0	3	3
136	300	3	4502	130135		0	0	3	3
137	300	4	4503	130136		0	0	3	3
138	301	1	4504	130137		0	0	3	3
139	301	2	4505	130138		0	0	3	3
140	301	3	4506	130139		0	0	3	3
141	301	4	4507	130140		0	0	3	3
142	302	1	4508	130141		0	0	3	3
143	302	2	4509	130142		0	0	3	3
144	302	3	4510	130143		0	0	3	3
145	302	4	4511	130144		0	0	3	3
146	303	1	4512	130145		0	0	3	3
147	303	2	4513	130146		0	0	3	3
148	303	3	4514	130147		0	0	3	3
149	303	4	4515	130148		0	0	3	3
