SceneSID	TaskType	TaskName	TaskParam1	TaskParam2	TaskParam3
int32	int32	int32	int32	int32	int32
100	1	3	1000	0	0
1000	1	9	0	0	0
1000	2	4	10	0	0
1000	3	1	120	0	0
1000	4	4	50	0	0
1000	5	6	5	0	0
1001	1	5	10	0	0
1001	2	4	10	0	0
1001	3	1	120	0	0
1001	4	4	50	0	0
1001	5	6	5	0	0
1002	1	5	10	0	0
1002	2	4	10	0	0
1002	3	1	120	0	0
1002	4	4	50	0	0
1002	5	6	5	0	0
1003	1	5	10	0	0
1003	2	4	10	0	0
1003	3	1	120	0	0
1003	4	4	50	0	0
1003	5	6	5	0	0
1004	1	5	10	0	0
1004	2	4	10	0	0
1004	3	1	120	0	0
1004	4	4	50	0	0
1004	5	6	5	0	0
1005	1	5	10	0	0
1005	2	4	10	0	0
1005	3	1	120	0	0
1005	4	4	50	0	0
1005	5	6	5	0	0
1006	1	5	10	0	0
1006	2	4	10	0	0
1006	3	1	120	0	0
1006	4	4	50	0	0
1006	5	6	5	0	0
1007	1	5	10	0	0
1007	2	4	10	0	0
1007	3	1	120	0	0
1007	4	4	50	0	0
1007	5	6	5	0	0
1008	1	5	10	0	0
1008	2	4	10	0	0
1008	3	1	120	0	0
1008	4	4	50	0	0
1008	5	6	5	0	0
1009	1	5	10	0	0
1009	2	4	10	0	0
1009	3	1	120	0	0
1009	4	4	50	0	0
1009	5	6	5	0	0
1010	1	5	10	0	0
1010	2	4	10	0	0
1010	3	1	120	0	0
1010	4	4	50	0	0
1010	5	6	5	0	0
1011	1	5	10	0	0
1011	2	4	10	0	0
1011	3	1	120	0	0
1011	4	4	50	0	0
1011	5	6	5	0	0
1012	1	5	10	0	0
1012	2	4	10	0	0
1012	3	1	120	0	0
1012	4	4	50	0	0
1012	5	6	5	0	0
1013	1	5	10	0	0
1013	2	4	10	0	0
1013	3	1	120	0	0
1013	4	4	50	0	0
1013	5	6	5	0	0
