StateID	Descript	ApproachPeriod	SyncValuePeriod	SyncValuePeriodMax	ClientStateClassType	ServerStateClassType	ParamClass
int32	char	f32	f32	f32	char	char	char
0	0	0.1	1	1	CltStateIdle	NodeState_Idle	FSMParam_Idle
1	1	0.2	0.2	1	CltStateMove	NodeState_Move	FSMParam_Move
2	2	-1	-1	-1	CltStateSkill	NodeState_Skill	FSMParam_Skill
3	3	-1	-1	-1	CltState_WeakControlled	NodeState_WeakControlled	FSMParam_WeakControlled
4	4	-1	-1	-1	CltState_StrongControlled	NodeState_StrongControlled	FSMParam_StrongControlled
5	5	0.1	1	1	CltStateDead	NodeState_Dead	FSMParam_Dead
6	6	0.1	1	1	CltStateBorn	NodeState_Born	FSMParam_Born
7	7	0.1	1	1	CltStateRoll	NodeState_Roll	FSMParam_Roll
8	8	0.1	1	1	CltStateDrawSwordOut	NodeState_DrawSwordOut	FSMParam_DrawSwordOut
9	9	0.1	1	1	CltStateDrawSwordBack	NodeState_DrawSwordBack	FSMParam_DrawSwordBack
10	10	0	1	1	CltStateTimeLine	NodeState_TimeLine	FSMParam_TimeLine
25	25	0.1	1	1	CltStateEmpty	NodeState_Empty	FSMParam_Empty
