DataID	Data	ValueName	ComputeLevel	AbsoluteValue	ComputeMode	PercentValue
int32	int32	char	int32	f32	int32	f32
1	0	d_ac	0	1	0	0
1	0	hpmax	1	2	1	-0.1
1	0	atk_d	0	3	2	0
2	0	d_ac	1	4	2	-0.2
2	0	hpmax	0	5	1	0
2	0	atk_d	1	6	0	-0.3
3	0	d_ac	1	7	2	-0.2
3	0	hpmax	0	8	0	0
3	0	atk_d	1	9	1	-0.3
4	0	d_ac	1	10	2	-0.2
4	0	hpmax	0	11	0	0
4	0	atk_d	1	12	0	-0.3
5	0	d_ac	1	13	2	-0.2
5	0	hpmax	0	14	0	0
5	0	atk_d	1	15	2	-0.3
6	0	d_ac	1	16	2	-0.2
6	0	hpmax	0	17	0	0
6	0	atk_d	1	18	2	-0.3
7	0	d_ac	1	19	2	-0.2
7	0	hpmax	0	20	0	0
7	0	atk_d	1	21	2	-0.3
