itemid	reqlevel	suitid	exattrgroupid	attributegroupid	colorindex	modelid	modelid_F	durabilitymax	lingqi	speedpercent	fixtemplateid
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	int32
100001	1	-1	-1	23	0	20	-1	-1	0	1	0
100002	1	-1	-1	2	0	-1	30	-1	0	1	0
100003	1	-1	-1	3	0	40	-1	-1	0	1	0
100004	1	-1	-1	1	0	-1	51	-1	0	1	0
100011	1	-1	-1	11	0	2	-1	-1	0	1	0
100012	1	-1	-1	12	0	-1	-1	-1	0	1	0
100013	1	-1	-1	13	0	-1	-1	-1	0	1	0
100021	2	-1	-1	21	0	-1	-1	-1	0	1	0
100022	3	-1	-1	22	0	-1	-1	-1	0	1	0
100023	4	-1	-1	23	0	-1	-1	-1	0	1	0
100024	6	-1	-1	24	0	-1	-1	-1	0	1	0
100025	7	-1	-1	25	0	-1	-1	-1	0	1	0
100026	8	-1	-1	26	0	-1	-1	-1	0	1	0
100027	9	-1	-1	27	0	-1	-1	-1	0	1	0
101001	10	-1	-1	10002	0	22	-1	-1	0	1	0
101002	10	-1	-1	10002	0	22	-1	-1	0	1	0
101003	10	-1	-1	10002	0	22	-1	-1	0	1	0
101004	10	-1	-1	10002	0	22	-1	-1	0	1	0
101005	10	-1	-1	10002	0	22	-1	-1	0	1	0
101006	10	-1	-1	10002	0	22	-1	-1	0	1	0
101007	10	-1	-1	10002	0	22	-1	-1	0	1	0
101008	10	-1	-1	10002	0	22	-1	-1	0	1	0
101009	10	-1	-1	10002	0	20	20	-1	0	1	0
101101	1	-1	-1	-1	0	2100	-1	-1	0	1	0
101102	1	-1	-1	-1	0	2101	-1	-1	0	1	0
101103	1	-1	-1	-1	0	2102	-1	-1	0	1	0
101104	1	-1	-1	-1	0	2103	-1	-1	0	1	0
101105	1	-1	-1	-1	0	2104	-1	-1	0	1	0
101106	1	-1	-1	-1	0	2105	-1	-1	0	1	0
101107	1	-1	-1	-1	0	2106	-1	-1	0	1	0
101108	1	-1	-1	-1	0	2107	-1	-1	0	1	0
101109	1	-1	-1	-1	1	2100	-1	-1	0	1	0
