itemid	desid	nameid	subtype	level	conversion_exp	exp	player_level	installation_position	attributegroup_id	next_data	icon
int32	int32	int32	uint8	uint8	uint32	uint32	uint8	uint8	int32	int32	char
20101	210140	210020	1	1	2	4	10	2	1	20102	gem_baonu_1
20102	210140	210021	1	2	4	8	15	2	2	20103	gem_baonu_2
20103	210140	210022	1	3	8	16	20	2	3	20104	gem_baonu_3
20104	210140	210023	1	4	16	32	25	2	4	20105	gem_baonu_4
20105	210140	210024	1	5	32	64	30	2	5	20106	gem_baonu_5
20106	210140	210025	1	6	64	128	35	2	6	20107	gem_baonu_6
20107	210140	210026	1	7	128	256	40	2	7	20108	gem_baonu_7
20108	210140	210027	1	8	256	512	45	2	8	20109	gem_baonu_8
20109	210140	210028	1	9	512	1024	50	2	9	20110	gem_baonu_9
20110	210140	210029	1	10	1024	2048	55	2	10	20111	gem_baonu_10
20111	210140	210030	1	11	2048	4096	60	2	11	20112	gem_baonu_11
20112	210140	210031	1	12	4096	8192	65	2	12	20113	gem_baonu_12
20113	210140	210032	1	13	8192	16384	70	2	13	20114	gem_baonu_13
20114	210140	210033	1	14	16384	32768	75	2	14	20115	gem_baonu_14
20115	210140	210034	1	15	32768	32768	80	2	15	-1	gem_baonu_15
20201	210141	210035	2	1	2	4	10	128	16	20202	gem_landuo_1
20202	210141	210036	2	2	4	8	15	128	17	20203	gem_landuo_2
20203	210141	210037	2	3	8	16	20	128	18	20204	gem_landuo_3
20204	210141	210038	2	4	16	32	25	128	19	20205	gem_landuo_4
20205	210141	210039	2	5	32	64	30	128	20	20206	gem_landuo_5
20206	210141	210040	2	6	64	128	35	128	21	20207	gem_landuo_6
20207	210141	210041	2	7	128	256	40	128	22	20208	gem_landuo_7
20208	210141	210042	2	8	256	512	45	128	23	20209	gem_landuo_8
20209	210141	210043	2	9	512	1024	50	128	24	20210	gem_landuo_9
20210	210141	210044	2	10	1024	2048	55	128	25	20211	gem_landuo_10
20211	210141	210045	2	11	2048	4096	60	128	26	20212	gem_landuo_11
20212	210141	210046	2	12	4096	8192	65	128	27	20213	gem_landuo_12
20213	210141	210047	2	13	8192	16384	70	128	28	20214	gem_landuo_13
20214	210141	210048	2	14	16384	32768	75	128	29	20215	gem_landuo_14
20215	210141	210049	2	15	32768	32768	80	128	30	-1	gem_landuo_15
