itemid	des	nameid	desid	type	subtype	level	vocation	sex	minlevel	maxlevel	maxnum	limitunm	usecount	ruleid	skillid	skilluserdata	buybackprice	buybackprice_bindgold	sellprice	sellprice_bindgold	lootresid	commoncheckgroupid	validtime	invalidtime	validtime_mode	offline_time_mode	broadcasttype0	broadcastmode0	broadcastid0	broadcastrepeat0	broadcastparam0	soundindex	icon
int32	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char
1	小血瓶	20000005	40130391	1	0	1	63	0	1	-1	20	0	-1	1	6	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_006
2	亲密度测试	20000018	-1	1	0	0	63	0	1	-1	20	0	-1	1	-1	0	0	2	0	1	105	1000	-1	-1	-1	0	0	0	0	0	0	0	Item_HuiCheng
3	测试图鉴	20000019	-1	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
4	测试食物	20000020	-1	0	0	6	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	Item_XuePing
5	活力值药水	40130100	-1	1	0	6	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	Buff_KuangBao
6	小偷的任务物品	20000018	-1	1	0	0	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	Item_XuePing
7	重生符(复活自己)	99999998	99999998	6	0	3	63	0	1	-1	99	0	-1	38	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.enhance15_5b
8	补签符	70025033	70025033	6	0	3	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Buff_LiuXue
9	送花+10	20000009	21000009	-1	0	4	63	0	1	-1	99	0	-1	36	-1	0	0	21	0	20	105	1000	-1	-1	-1	0	0	0	0	0	0	0	LifeSkill/2.dinvhua
10	离线产出绑定金币（勿删）	40001001	70003601	-1	0	1	63	0	-1	-1	1	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.binding_goldico
11	离线产出金币（勿删）	40001000	70003602	-1	0	1	63	0	-1	-1	1	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.goldico
12	离线产出绑定元宝（勿删）	40001011	70003603	-1	0	1	63	0	-1	-1	1	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.binding_yuanbao
13	离线产出元宝（勿删）	40001010	70003604	-1	0	1	63	0	-1	-1	1	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.yuanbaoico
14	离线产出经验（勿删）	70000511	70003605	-1	0	1	63	0	-1	-1	1	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.expico
15	活跃值图标（勿删）	20000015	21000015	-1	0	1	63	0	-1	-1	1	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.HuoYueZhi
16	帮贡图标（勿删）	70006107	21000016	-1	0	1	63	0	-1	-1	1	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.BangGong
17	武勋值（勿删）	70022260	21000017	-1	0	1	63	0	-1	-1	1	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.JingJiChang
18	死亡掉落物品	90000000	-1	3	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_ac_card06
19	中血瓶	20000225	40130392	1	0	2	63	0	1	-1	20	0	1	10	308	0	0	0	0	-1	105	229	-1	-1	-1	0	2	2	40140017	4	0	0	DJ_007
20	馒头	20000222	-1	0	0	1	63	0	1	-1	20	0	1	5	309	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_001
21	包子	20000223	-1	0	0	1	63	0	10	-1	20	0	-1	5	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_002
22	烧鸡	20000224	-1	0	0	1	63	0	20	-1	20	0	-1	5	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_003
23	大血瓶	20000226	40130393	1	0	3	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	109	DJ_008
24	死亡掉落物品	90000001	-1	3	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
25	死亡掉落物品	90000002	-1	3	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
26	金币，堆叠数量表示金币数量	40130012	70003602	8	0	1	63	0	1	-1	9999	0	-1	10	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.goldsico
27	珍珠	20000015	-1	5	0	2	63	0	1	-1	10	0	-1	7	-1	0	0	200	0	180	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_XuePing
28	珍珠非绑定金币	20000015	-1	2	0	2	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_XuePing
29	珍珠之千年珍珠	20000015	-1	4	0	6	63	0	1	-1	5	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_XuePing
30	测试图鉴别动	20000030	-1	3	0	3	63	0	1	-1	20	0	-1	5	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
31	测试材料别动	20000031	-1	6	0	3	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
32	测试任务物品别动	20000032	-1	5	0	3	63	0	1	-1	2	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
33	玉石	20000010	-1	7	0	0	63	0	1	-1	5	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Buff_LiuXue
34	鱼	20000014	-1	7	0	5	63	0	1	-1	5	0	-1	10	-1	0	0	180000	0	150000	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Buff_KuangBao
35	死亡掉落物品	90000003	-1	3	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
36	招魂符(复活别人)	40130318	40130449	6	0	3	63	0	1	-1	99	0	-1	10	-1	0	0	334	0	333	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.revive
37	超大血瓶	40130390	40130394	1	0	4	63	0	31	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_009
38	小体力药剂	40130395	40130401	1	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_010
39	中体力药剂	40130396	40130402	1	0	2	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_011
40	大体力药剂	40130397	40130403	1	0	3	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_012
41	小能量药剂	40130398	40130404	1	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_013
42	中能量药剂	40130399	40130405	1	0	2	63	0	20	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_014
43	大能量药剂	40130400	40130406	1	0	3	63	0	40	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_015
44	馒头	40130430	40130434	0	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_001
45	包子	40130431	40130435	0	0	2	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_002
46	烧鸡	40130432	40130436	0	0	3	63	0	21	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_003
47	阳春面	40130433	40130437	0	0	4	63	0	31	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_004
48	小血瓶（绑定）	20000005	40130391	1	0	1	63	0	1	-1	20	0	-1	5	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_006
49	馒头（绑定）	40130430	40130434	0	0	1	63	0	1	-1	20	0	-1	5	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_001
50	测试物品	40130370	40130371	1	0	4	47	0	1	10	20	0	-1	6	-1	0	0	2	0	1	105	229	60	-1	0	0	-1	0	0	0	0	0	Buff_KuangBao
51	战利品	40130353	40130354	7	0	1	63	0	1	-1	99	0	-1	10	-1	0	0	0	0	-1	104	-1	-1	-1	-1	0	0	0	0	0	0	0	DJ_005
52	双倍经验丹	20000052	21000052	10	0	4	63	0	1	-1	99	0	-1	16	-1	0	0	0	0	-1	105	30	-1	-1	-1	0	0	0	0	0	0	0	Item/Pill.yld
59	除恶物品测试	20000060	20000005	1	0	0	1	0	1	-1	20	0	1	10	-1	0	0	2	0	-1	105	229	120	-1	0	0	-1	0	0	0	0	0	Item_XuePing
60	物品测试	20000060	20000005	1	0	0	1	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	229	120	0	0	0	-1	0	0	0	0	0	Item_XuePing
61	信号弹	20102007	20000005	5	0	0	1	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	-1	-1	-1	0	0	-1	0	0	0	0	0	Buff_KuangBao
62	鱼腥草	20102011	20000005	5	0	0	1	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	-1	-1	-1	0	0	-1	0	0	0	0	0	Buff_KuangBao
63	水	20102009	20000005	5	0	0	1	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	-1	-1	-1	0	0	-1	0	0	0	0	0	Buff_KuangBao
64	乌龟壳	20102010	20000005	5	0	0	1	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	-1	-1	-1	0	0	-1	0	0	0	0	0	Buff_KuangBao
65	龙血草	20102008	20000005	5	0	0	1	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	-1	-1	-1	0	0	-1	0	0	0	0	0	Buff_KuangBao
66	凤尾城军服	20102012	20000005	5	0	0	1	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	-1	-1	-1	0	0	-1	0	0	0	0	0	Buff_KuangBao
67	信号弹	20102013	20000005	5	0	0	1	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	-1	-1	-1	0	0	-1	0	0	0	0	0	Buff_KuangBao
68	龙马	40020029	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
69	湖龟	40020030	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
70	日华城士兵	40020031	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
71	食火鸦	40020032	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
72	远古食火鸦	40020033	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
73	剑齿虎	40020034	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
74	剑齿虎	40020035	40000064	3	0	4	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
75	平阳河龟	40020036	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
76	平阳河龟	40020037	40000064	3	0	4	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
77	凤尾城士兵	40020038	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
78	鲁将军	40020039	40000064	3	0	4	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
79	火正军	40020040	40000064	3	0	3	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
80	凤尾城	40020041	40000064	3	0	4	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
