AnimationID	AnimName	IsSelfRestart	Motion	Layer	DrawSwordBackTime
int32	char	int32	int32	int32	f32
0	basic_stand	0	0	0	0
1	basic_idle_1	0	0	0	0
2	basic_idle_2	0	0	0	0
3	basic_idle_3	0	0	0	0
4	basic_idle_4	0	0	0	0
5	basic_idle_5	0	0	0	0
6	basic_idle_6	0	0	0	0
7	basic_idle_7	0	0	0	0
8	basic_idle_8	0	0	0	0
9	basic_idle_9	0	0	0	0
10	basic_idle_10	0	0	0	0
11	basic_walk	0	0	0	0
12	basic_run	0	0	0	0
13	basic_speedrun	0	0	0	0
14	basic_lockmoveidle	0	0	0	0
15	basic_lockmovefront	0	0	0	0
16	basic_lockmoveback	0	0	0	0
17	basic_lockmoveleft	0	0	0	0
18	basic_lockmoveright	0	0	0	0
19	blendtree	0	0	0	0
20	basic_move_front	0	0	0	0
21	basic_move_back	0	0	0	0
22	basic_move_left	0	0	0	0
23	basic_move_right	0	0	0	0
24	basic_move_front_left	0	0	0	0
25	basic_move_front_right	0	0	0	0
26	basic_move_back_left	0	0	0	0
27	basic_move_back_right	0	0	0	0
28	basic_circuity_front	0	0	0	0
29	basic_circuity_back	0	0	0	0
30	basic_circuity_left	0	0	0	0
31	basic_circuity_right	0	0	0	0
32	basic_turn_left	0	0	0	0
33	basic_turn_right	0	0	0	0
40	basic_hit_1	1	0	0	0
41	basic_hit_2	1	0	0	0
49	basic_relive	0	0	0	0
50	basic_die	0	0	0	0
51	basic_dodge	0	1	0	0
52	basic_Born	0	0	0	0
53	basic_stun	0	0	0	0
54	basic_sleep	0	0	0	0
55	basic_root	0	0	0	0
56	basic_frozen	0	0	0	0
100	putup_Point004_sq	0	0	0	0
101	putdown_Point004_sq	0	0	0	0
102	putup_Point007_bs	0	0	0	0
103	putdown_Point007_bs	0	0	0	0
104	putup_Point008_dp	0	0	0	0
105	putdown_Point008_dp	0	0	0	0
106	putup_Point008_ld	0	0	1	0
107	putdown_Point008_ld	0	0	1	0
9001	monster_mark_skill_zhanshu1	1	1	0	0
9002	monster_qinmocheng_skill_zhanshu2	1	1	0	0
9003	monster_ranbing_skill_zhanshu3	1	1	0	0
9004	monster_ranbing_skill_zhanshu4	1	1	0	0
100101	atk_bs_single_j_0001	1	1	0	700
100102	atk_bs_single_j_0002	1	1	0	800
100103	atk_bs_single_j_0003	1	1	0	1000
100104	skill_bs_single_j_0001	1	1	0	1900
100105	skill_bs_single_j_0002	1	0	0	1100
100106	skill_bs_single_n_0001	1	0	0	967
100107	skill_bs_single_n_0002	1	0	0	1000
100108	skill_bs_single_j_0003	1	0	0	1533
100201	atk_bq_both_y_0001	1	0	1	1000
100202	atk_bq_both_y_0002	1	0	1	1000
100203	skill_bq_both_y_0001	1	0	0	2000
100204	skill_bq_both_y_0002	1	0	0	2000
100205	skill_bq_both_n_0001	1	0	0	3100
100206	skill_bq_both_n_0003	1	0	0	1667
100301	atk_bq_both_y_0003	1	0	0	1000
100302	skill_ld_both_y_0001	1	0	0	1000
100303	skill_bq_both_y_0003	1	0	0	1000
100304	skill_bq_both_n_0002	1	0	0	3000
100305	skill_bq_both_n_0004	1	0	0	1600
100501	atk_ssdj_both_j_0001_a1	1	1	0	433
100502	atk_ssdj_both_j_0001_a2	1	1	0	533
100503	atk_ssdj_both_j_0001_a3	1	1	0	1900
100504	skill_ssdj_both_j_0004_a1	1	1	0	300
100505	skill_ssdj_both_j_0004_a2	1	1	0	667
100506	skill_ssdj_both_j_0004_a3	1	1	0	3233
100507	atk_ssdj_both_j_0002	1	1	0	2533
100508	atk_ssdj_both_j_0003	1	1	0	3433
100509	skill_ssdj_both_j_0002	1	1	0	2333
100510	skill_ssdj_both_j_0001	1	0	0	1667
100511	skill_ssdj_both_j_0003	1	0	0	2900
100601	atk_dp2_single_j_0001	1	1	0	800
100602	atk_dp2_single_j_0002	1	1	0	800
100603	atk_dp2_single_j_0003	1	0	0	1600
