GroupIdx	ID	Des	ConditionName	ParamString	CmpType	SuccResult	FailResult	IsNot	FailTip
int32	int32	char	char	char	int32	int32	int32	int32	int32
1	1		SDCheckLevel	1	1	0	0	0	0
2	0		SDCheckBuffID	141	4	0	0	0	0
3	0		SDCheckBuffLayerCount	142,1	2	0	0	0	0
4	0		SDCheckBuffID	121	0	0	0	0	0
5	0		SDCheckBuffID	96	0	0	0	0	0
6	0		SDCheckBuffLevel	97,1	4	0	0	0	0
7	0		SDCheckBuffLevel	98,1	4	0	0	0	0
8	0		SDCheckBuffID	141	4	0	0	1	0
8	1		SDCheckBuffID	800	4	0	0	1	0
9	0		SDCheckBuffLayerCount	142,0	0	0	0	0	0
10	0		SDCheckBuffLevel	99,1	4	0	0	0	0
11	0	判定死亡	SDCheckStateNot	17	0	0	1	0	0
11	1	判定禁止交易	SDCheckStateNot	274	0	0	2	0	0
12	0		SDCheckBuffLevel	97,2	4	0	0	0	0
13	0		SDCheckBuffLevel	97,3	4	0	0	0	0
14	0		SDCheckBuffID	140	4	0	0	0	0
15	0		SDCheckBuffLevel	98,2	4	0	0	0	0
16	0		SDCheckBuffID	99	4	0	0	0	0
17	0		SDCheckBuffID	6	4	0	0	0	0
18	0		SDCheckBuffID	613	4	0	0	0	0
19	0		SDCheckBuffID	613	4	0	0	1	0
20	0	击退	SDCheckState	12	0	0	0	0	0
20	1	浮空	SDCheckState	13	0	0	0	0	0
20	2	击飞	SDCheckState	20	0	0	0	0	0
21	0		SDCheckBuffID	610	4	0	0	0	0
22	0		SDCheckBuffID	614	4	0	0	0	0
23	0		SDCheckBuffLayerCount	612,4	4	0	0	0	0
24	0		SDCheckCurSkill	7023	4	0	0	0	0
24	1		SDCheckCurSkill	7024	4	0	0	0	0
24	2		SDCheckCurSkill	7025	4	0	0	0	0
24	3		SDCheckCurSkill	7026	4	0	0	0	0
24	4		SDCheckCurSkill	202	4	0	0	0	0
24	5		SDCheckCurSkill	203	4	0	0	0	0
24	6		SDCheckCurSkill	205	4	0	0	0	0
24	7		SDCheckCurSkill	206	4	0	0	0	0
24	8		SDCheckCurSkill	194	4	0	0	0	0
24	9		SDCheckCurSkill	195	4	0	0	0	0
24	10		SDCheckCurSkill	198	4	0	0	0	0
24	11		SDCheckCurSkill	199	4	0	0	0	0
24	12		SDCheckCurSkill	695	4	0	0	0	0
24	13		SDCheckCurSkill	696	4	0	0	0	0
24	14		SDCheckCurSkill	697	4	0	0	0	0
24	15		SDCheckCurSkill	698	4	0	0	0	0
25	0		SDCheckReputation	105	4	0	0	1	0
25	1		SDCheckReputation	106	4	0	0	1	0
26	0		SDCheckBuffID	106	4	0	0	1	0
26	1		SDCheckHasSkill	126	4	0	0	0	0
27	0		SDCheckBuffID	616	4	1	0	0	0
28	0		SDCheckBuffID	616	4	1	0	1	0
30	0	检查双倍丹层数	SDCheckBuffLayerCount	1199,10	2	0	0	0	41001054
31	0	检查在监狱	SDCheckPos	100,500,139,131,0,	0	0	0	1	43020123
50	0	没有冰冻buff	SDCheckBuffID	173	4	0	0	1	0
51	0	0	SDCheckBuffID	172	4	0	0	0	0
52	0	检查701	SDCheckBuffID	701	4	0	0	0	0
53	0	检查701	SDCheckRealTime	21:54	1	0	0	0	0
54	0	检查701	SDCheckRealTime	21:56	1	0	0	0	0
55	0		SDCheckAvatarHpPer	80	3	0	0	0	0
62	0		SDCheckVocation	1	0	0	0	0	0
63	0		SDCheckVocation	0	0	0	0	0	0
64	0		SDCheckVocation	2	0	0	0	0	0
65	0		SDCheckVocation	3	0	0	0	0	0
66	0		SDCheckExpression	1	0	0	0	0	40400601
70	0	0	SDCheckBuffLayerCount	188,5	1	0	0	0	0
80	0	是否有水盾buff	SDCheckBuffID	628	4	0	0	0	0
97	0		SDCheckQuestAccepted	101	0	0	0	0	0
98	0		SDCheckQuestAccepted	102	0	0	0	0	0
99	0		SDCheckQuestAccepted	103	0	0	0	0	0
100	0		SDCheckQuestAccept	5021	0	4	-1	0	0
100	1		SDCheckQuestAccept	5022	0	5	-1	0	0
100	2		SDCheckQuestAccept	5023	0	6	-1	0	0
103	0		SDCondition	101	0	6	0	0	0
103	1		SDCondition	102	0	0	0	0	0
104	0		SDCheckQuestAccepted	2002	0	601	-1	0	0
104	1		SDCheckQuestAccepted	2003	0	601	-1	0	0
104	2		SDCheckQuestAccepted	2004	0	601	-1	0	0
104	3		SDCheckQuestAccepted	2005	0	601	-1	0	0
105	0		SDCheckQuestAccepted	2007	0	602	-1	0	0
105	1		SDCheckQuestAccepted	2006	0	601	-1	0	0
106	0		SDCheckQuestAccepted	6009	0	603	-1	0	0
107	0		SDCheckQuestAccepted	2008	0	603	-1	0	0
107	1		SDCheckQuestAccepted	2009	0	603	-1	0	0
107	2		SDCheckQuestAccepted	2010	0	603	-1	0	0
108	0		SDCheckQuestAccepted	2011	0	604	-1	0	0
109	0		SDCheckQuestAccepted	2012	0	605	-1	0	0
109	1		SDCheckQuestAccepted	2013	0	605	-1	0	0
109	2		SDCheckQuestAccepted	2015	0	605	-1	0	0
109	3		SDCheckQuestAccepted	2016	0	605	-1	0	0
109	4		SDCheckQuestAccepted	2018	0	605	-1	0	0
109	5		SDCheckQuestAccepted	2019	0	605	-1	0	0
109	6		SDCheckQuestAccepted	2020	0	605	-1	0	0
109	7		SDCheckQuestAccepted	2024	0	605	-1	0	0
109	8		SDCheckQuestAccepted	2025	0	605	-1	0	0
110	0		SDCheckQuestAccepted	2022	0	606	-1	0	0
111	0		SDCheckQuestAccepted	2027	0	607	-1	0	0
111	1		SDCheckQuestAccepted	2028	0	607	-1	0	0
111	2		SDCheckQuestAccepted	2029	0	607	-1	0	0
111	3		SDCheckQuestAccepted	2030	0	607	-1	0	0
111	4		SDCheckQuestAccepted	2031	0	607	-1	0	0
111	5		SDCheckQuestAccepted	2032	0	607	-1	0	0
111	6		SDCheckQuestAccepted	2033	0	607	-1	0	0
111	7		SDCheckQuestAccepted	2034	0	607	-1	0	0
111	8		SDCheckQuestAccepted	2026	0	607	-1	0	0
112	1		SDCheckQuestAccepted	2043	0	608	-1	0	0
112	2		SDCheckQuestAccepted	2044	0	608	-1	0	0
112	3		SDCheckQuestAccepted	2045	0	608	-1	0	0
112	4		SDCheckQuestAccepted	2046	0	608	-1	0	0
112	5		SDCheckQuestAccepted	2047	0	608	-1	0	0
120	0		SDCheckAchieveFinish	18	0	1	0	0	0
121	0		SDCheckAchieveFinish	30	0	1	0	0	0
122	0		SDCheckAchieveFinish	48	0	1	0	0	0
123	0		SDCheckAchieveFinish	67	0	1	0	0	0
124	0		SDCheckAchieveFinish	86	0	1	0	0	0
125	0		SDCheckAchieveFinish	101	0	1	0	0	0
126	0		SDCheckAchieveFinish	115	0	1	0	0	0
127	0		SDCheckAchieveFinish	145	0	1	0	0	0
128	0		SDCheckAchieveFinish	168	0	1	0	0	0
134	0		SDCheckAchieveFinish	1,6	0	1	0	0	0
135	0		SDCheckAchieveFinish	8,13	0	1	0	0	0
136	0		SDCheckAchieveFinish	15,22	0	1	0	0	0
137	0		SDCheckAchieveFinish	24,29	0	1	0	0	0
138	0		SDCheckAchieveFinish	31,36	0	1	0	0	0
139	0		SDCheckAchieveFinish	38,42	0	1	0	0	0
150	0		SDCheckStun		0	1	0	0	0
151	0		SDCheckQuestAccepted	1049	0	1	-1	0	0
201	0		SDCheckQuestAccepted	1043	0	205	-1	0	0
201	1		SDCheckQuestAccepted	1044	0	205	-1	0	0
201	2		SDCheckQuestAccepted	1045	0	205	-1	0	0
201	3		SDCheckQuestAccepted	1046	0	205	-1	0	0
202	0		SDCheckQuestAccepted	1055	0	206	-1	0	0
202	1		SDCheckQuestAccepted	1056	0	206	-1	0	0
202	2		SDCheckQuestAccepted	1057	0	206	-1	0	0
202	3		SDCheckQuestAccepted	1058	0	206	-1	0	0
205	0		SDCheckQuestAccepted	1090	0	204	-1	0	0
205	1		SDCheckQuestAccepted	1091	0	204	-1	0	0
205	2		SDCheckQuestAccepted	1092	0	204	-1	0	0
205	3		SDCheckQuestAccepted	1093	0	204	-1	0	0
205	4		SDCheckQuestAccepted	1094	0	204	-1	0	0
206	0		SDCheckQuestAccepted	1098	0	213	-1	0	0
207	1		SDCheckHasTeam		0	0	0	0	0
209	1	已完成任务1111	SDCheckQuestFinished	1111	0	1	-1	0	0
210	1	未做过任务1111	SDCheckQuestFinished	1111	0	-1	1	0	0
220	0	未做过任务1111	SDCheckBuffID	12500	0	1	0	0	0
229	89	 主角不是处于骑乘状态	SDCheckHasMyVehicle		0	0	0	1	70028291
231	0	已召唤神兽&&活的神兽	SDCheckSummonVehicleIsLivingPet		0	0	0	0	70028290
231	1	是否满血	SDCheckPetVehicleHpPer	100	2	0	0	0	40130312
232	0	已召唤神兽&&活的神兽	SDCheckSummonVehicleIsLivingPet		0	0	0	0	70028290
232	1	是否满体力	SDCheckPetVehicleSpPer	100	2	0	0	0	40130309
300	1		SDCheckAvatarHpPer	20	3	1	0	0	0
301	0	检查冰冻buff	SDCheckBuffID	12503	4	0	0	0	0
301	1		SDCheckAvatarHpPer	20	3	1	0	0	0
302	0	检查冰冻buff	SDCheckBuffID	12503	4	0	0	0	0
302	1		SDCheckAvatarHpPer	20	0	1	0	0	0
303	1		SDCheckSkillModify	757,0	0	0	0	1	0
304	1		SDCheckSkillModify	188,0	0	0	0	1	0
305	1		SDCheckSkillModify	871,0	0	0	0	1	0
306	1		SDCheckSkillModify	7219,0	0	0	0	1	0
311	0	场景进度是否为0	SDCheckEquip	0 -1 20	1	0	0	0	0
312	1	汤谷	SDCondition	317	0	0	0	0	70007040
312	2	汤谷	SDCheckQuestFinished	101578	0	0	0	0	70007034
313	1	汤谷	SDCondition	318	0	0	0	0	70007040
313	2	汤谷	SDCheckQuestFinished	101888	0	0	0	0	70007035
314	1	汤谷	SDCondition	319	0	0	0	0	70007040
314	2	汤谷	SDCheckQuestFinished	202352	0	0	0	0	70007036
315	1	汤谷	SDCondition	320	0	0	0	0	70007040
315	2	汤谷	SDCheckQuestFinished	401006	0	0	0	0	70007037
316	1	汤谷	SDCondition	321	0	0	0	0	70007040
316	2	汤谷	SDCheckQuestFinished	202508	0	0	0	0	70007038
317	1	汤谷	SDCheckCreditFull	11	0	0	0	0	0
317	2	汤谷	SDCheckCreditFullEx	201	0	0	0	0	70007039
318	1	汤谷	SDCheckCreditFull	12	0	0	0	0	0
318	2	汤谷	SDCheckCreditFullEx	202	0	0	0	0	70007039
319	1	汤谷	SDCheckCreditFull	13	0	0	0	0	0
319	2	汤谷	SDCheckCreditFullEx	204	0	0	0	0	70007039
320	1	汤谷	SDCheckCreditFull	14	0	0	0	0	0
320	2	汤谷	SDCheckCreditFullEx	206	0	0	0	0	70007039
321	1	汤谷	SDCheckCreditFull	15	0	0	0	0	0
321	2	汤谷	SDCheckCreditFullEx	218	0	0	0	0	70007039
400	0	场景进度是否为0	SDCheckSceneInsProcess	0	0	0	0	0	0
401	0	场景进度是否为3	SDCheckSceneInsProcess	1	0	0	0	0	0
402	0	场景进度是否为3	SDCheckSceneInsProcess	2	0	0	0	0	0
403	0	场景进度是否为3	SDCheckSceneInsProcess	3	0	0	0	0	0
404	0	场景进度是否为3	SDCheckSceneInsProcess	4	0	0	0	0	0
405	0	场景进度是否为3	SDCheckSceneInsProcess	5	0	0	0	0	0
406	0	场景进度是否为3	SDCheckSceneInsProcess	6	0	0	0	0	0
407	0	场景进度是否为3	SDCheckSceneInsProcess	7	0	0	0	0	0
408	0	场景进度是否为3	SDCheckSceneInsProcess	8	0	0	0	0	0
409	0	场景进度是否为3	SDCheckSceneInsProcess	9	0	0	0	0	0
410	0	场景进度是否为3	SDCheckSceneInsProcess	10	0	0	0	0	0
450	0		SDCheckSceneInsProcess	1	0	0	0	0	0
450	1		SDCheckSceneInsProcess	2	0	0	0	1	0
451	0		SDCheckSceneInsProcess	1	0	0	0	0	0
451	1		SDCheckSceneInsProcess	2	0	0	0	1	0
452	0		SDCheckSceneInsProcess	2	0	0	0	0	0
452	1		SDCheckSceneInsProcess	3	0	0	0	1	0
453	0		SDCheckSceneInsProcess	3	0	0	0	0	0
453	1		SDCheckSceneInsProcess	4	0	0	0	1	0
454	0		SDCheckSceneInsProcess	4	0	0	0	0	0
454	1		SDCheckSceneInsProcess	5	0	0	0	1	0
455	0		SDCheckSceneInsProcess	5	0	0	0	0	0
455	1		SDCheckSceneInsProcess	6	0	0	0	1	0
456	0		SDCheckSceneInsProcess	6	0	0	0	0	0
456	1		SDCheckSceneInsProcess	7	0	0	0	1	0
457	0		SDCheckSceneInsProcess	7	0	0	0	0	0
457	1		SDCheckSceneInsProcess	8	0	0	0	1	0
458	0		SDCheckSceneInsProcess	8	0	0	0	0	0
458	1		SDCheckSceneInsProcess	9	0	0	0	1	0
459	0		SDCheckSceneInsProcess	9	0	0	0	0	0
459	1		SDCheckSceneInsProcess	10	0	0	0	1	0
460	0		SDCheckSceneInsProcess	10	0	0	0	0	0
460	1		SDCheckSceneInsProcess	11	0	0	0	1	0
461	0		SDCheckSceneInsProcess	11	0	0	0	0	0
461	1		SDCheckSceneInsProcess	12	0	0	0	1	0
462	0		SDCheckSceneInsProcess	12	0	0	0	0	0
462	1		SDCheckSceneInsProcess	13	0	0	0	1	0
463	0		SDCheckSceneInsProcess	13	0	0	0	0	0
463	1		SDCheckSceneInsProcess	14	0	0	0	1	0
464	0		SDCheckSceneInsProcess	14	0	0	0	0	0
464	1		SDCheckSceneInsProcess	15	0	0	0	1	0
465	0		SDCheckSceneInsProcess	15	0	0	0	0	0
465	1		SDCheckSceneInsProcess	16	0	0	0	1	0
466	0		SDCheckSceneInsProcess	16	0	0	0	0	0
466	1		SDCheckSceneInsProcess	17	0	0	0	1	0
467	0		SDCheckSceneInsProcess	17	0	0	0	0	0
467	1		SDCheckSceneInsProcess	18	0	0	0	1	0
468	0		SDCheckSceneInsProcess	18	0	0	0	0	0
468	1		SDCheckSceneInsProcess	19	0	0	0	1	0
469	0		SDCheckSceneInsProcess	19	0	0	0	0	0
469	1		SDCheckSceneInsProcess	20	0	0	0	1	0
470	0		SDCheckSceneInsProcess	4	0	0	0	0	0
470	1		SDCheckSceneInsProcess	5	0	0	0	0	0
470	2		SDCheckSceneInsProcess	6	0	0	0	0	0
470	3		SDCheckSceneInsProcess	7	0	0	0	0	0
471	0		SDCondition	455	0	0	0	0	0
471	1		SDCondition	456	0	0	0	0	0
471	2		SDCondition	457	0	0	0	0	0
472	1		SDCheckSceneInsProcess	0	0	0	0	0	0
472	2		SDCheckSceneInsProcess	8	0	0	0	1	0
473	1		SDCheckSceneInsProcess	11	0	0	0	0	0
473	2		SDCheckSceneInsProcess	12	0	0	0	0	0
473	3		SDCheckSceneInsProcess	10	0	0	0	0	0
474	1		SDCheckSceneInsProcess	1	0	0	0	0	0
474	2		SDCheckSceneInsProcess	2	0	0	0	1	0
475	0		SDCheckSceneInsProcess	0	0	0	0	0	0
475	1		SDCheckSceneInsProcess	10	0	0	0	1	0
476	1		SDCheckSceneInsProcess	0	0	0	0	0	0
476	2		SDCheckSceneInsProcess	2	0	0	0	1	0
477	1		SDCheckSceneInsProcess	7	0	0	0	0	0
477	2		SDCheckSceneInsProcess	15	0	0	0	0	0
478	1		SDCheckSceneInsProcess	9	0	0	0	0	0
478	2		SDCheckSceneInsProcess	17	0	0	0	0	0
479	0		SDCheckSceneInsProcess	0	0	0	0	0	0
479	1		SDCheckSceneInsProcess	2	0	0	0	1	0
480	0		SDCheckSceneInsProcess	1	0	0	0	1	0
480	1		SDCheckSceneInsProcess	2	0	0	0	0	0
481	0		SDCheckSceneInsProcess	1	0	0	0	0	0
482	0		SDCheckSceneInsProcess	19	0	0	0	0	0
483	1		SDCondition	474	0	0	0	1	0
500	0		SDCheckQuestAccepted	201011	0	1	0	0	0
501	0		SDCheckQuestFinished	201039	0	1	0	0	0
501	1		SDCheckQuestFinished	201041	0	0	0	1	0
502	0		SDCheckQuestAccepted	201039	0	1	0	0	0
503	0		SDCheckQuestAccepted	202067	0	1	0	0	0
503	1		SDCheckQuestAccepted	202068	0	1	0	0	0
504	0		SDCheckQuestAccepted	201075	0	1	0	0	0
505	0		SDCheckQuestAccepted	202109	0	1	0	0	0
506	0		SDCheckQuestFinished	201078	0	0	0	0	0
507	0	日华城201001任务trigger	SDCheckQuestAccepted	201001	0	0	0	0	0
508	0	日华城202041任务掉落	SDCheckQuestAccepted	202041	0	0	0	0	0
509	0	保险trigger	SDCheckQuestAccepted	202032	0	0	0	0	0
509	1		SDCheckQuestAccepted	202033	0	0	0	0	0
510	0		SDCheckQuestAccepted	202082	0	0	0	0	0
511	0		SDCheckQuestAccepted	202080	0	0	0	0	0
512	0	日华城201061任务trigger	SDCheckQuestAccepted	202020	0	0	0	0	0
512	1		SDCheckQuestAccepted	202021	0	0	0	0	0
513	0		SDCheckQuestAccepted	202107	0	0	0	0	0
514	2		SDCheckQuestAccepted	202089	0	0	0	0	0
