Level	ExpCost	Script	Atk_D	D_AC	HPMax	DHP	BE_DHP	ComputeLevel	ComputeMode	StarMin	StarMax
int32	int64	int32	f32	f32	f32	f32	f32	int32	int32	int32	int32
1	900	0	314	314	2452	15	15	0	2	1	3
2	1080	0	102	102	793	18	18	0	2	2	7
3	1878	0	111	111	866	21	21	0	2	3	11
4	2447	0	120	120	938	24	24	0	2	4	15
5	3900	0	129	129	1010	27	27	0	2	5	18
6	4854	0	139	139	1082	30	30	0	2	6	22
7	7090	0	148	148	1154	33	33	0	2	7	25
8	9878	0	157	157	1226	36	36	0	2	8	29
9	13261	0	166	166	1298	39	39	0	2	9	32
10	19200	0	176	176	1371	42	42	0	2	10	35
11	26368	0	185	185	1443	45	45	0	2	11	38
12	29867	0	194	194	1515	48	48	0	2	12	42
13	33529	0	203	203	1587	51	51	0	2	13	45
14	46684	0	213	213	1659	55	55	0	2	14	48
15	51644	0	222	222	1731	58	58	0	2	15	51
16	68142	0	231	231	1803	61	61	0	2	16	54
17	74520	0	240	240	1875	64	64	0	2	17	57
18	81100	0	250	250	1948	67	67	0	2	18	60
19	107405	0	259	259	2020	70	70	0	2	19	62
20	131728	0	268	268	2092	73	73	0	2	20	65
21	141664	0	277	277	2164	76	76	0	2	21	68
22	182221	0	287	287	2236	79	79	0	2	22	70
23	194740	0	296	296	2308	82	82	0	2	23	73
24	276729	0	305	305	2380	85	85	0	2	24	75
25	367726	0	314	314	2452	88	88	0	2	25	78
26	468000	0	324	324	2525	91	91	0	2	26	80
27	577812	0	333	333	2597	94	94	0	2	28	86
28	697421	0	342	342	2669	97	97	0	2	29	88
29	735177	0	351	351	2741	100	100	0	2	31	93
30	1450528	0	361	361	2813	103	103	0	2	32	96
31	1523850	0	370	370	2885	106	106	0	2	32	95
32	1598406	0	379	379	2957	109	109	0	2	33	97
33	2009008	0	388	388	3030	112	112	0	2	34	99
34	2101362	0	398	398	3102	115	115	0	2	35	101
35	2560979	0	407	407	3174	118	118	0	2	36	103
36	2671991	0	416	416	3246	121	121	0	2	37	105
37	2784600	0	425	425	3318	124	124	0	2	38	107
38	3727007	0	435	435	3390	127	127	0	2	39	109
39	3875813	0	444	444	3462	130	130	0	2	40	111
40	5368786	0	453	453	3534	133	133	0	2	41	112
41	5572415	0	462	462	3607	136	136	0	2	42	114
42	5778606	0	472	472	3679	139	139	0	2	43	116
43	7484159	0	481	481	3751	142	142	0	2	44	118
44	7748186	0	490	490	3823	145	145	0	2	45	119
45	9618360	0	499	499	3895	148	148	0	2	46	121
46	9942561	0	509	509	3967	151	151	0	2	48	125
47	10270384	0	518	518	4039	154	154	0	2	49	127
48	12957744	0	527	527	4112	158	158	0	2	50	128
49	13367128	0	536	536	4184	161	161	0	2	52	132
50	20880000	0	546	546	4256	164	164	0	2	54	136
51	21513203	0	555	555	4328	167	167	0	2	56	140
52	22152770	0	564	564	4400	170	170	0	2	58	144
53	27358367	0	573	573	4472	173	173	0	2	60	147
54	28140899	0	583	583	4544	176	176	0	2	62	151
55	36163560	0	592	592	4616	179	179	0	2	63	152
56	37160182	0	601	601	4689	182	182	0	2	64	153
57	38165906	0	610	610	4761	185	185	0	2	65	154
58	47016780	0	620	620	4833	188	188	0	2	66	155
59	48245202	0	629	629	4905	191	191	0	2	68	158
60	65979014	0	638	638	4977	194	194	0	2	71	164
61	67645152	0	647	647	5049	197	197	0	2	74	170
62	69325233	0	657	657	5121	200	200	0	2	77	175
63	79896535	0	666	666	5194	203	203	0	2	80	180
64	81817613	0	675	675	5266	206	206	0	2	83	185
65	97712999	0	684	684	5338	209	209	0	2	86	190
66	99989836	0	694	694	5410	212	212	0	2	89	195
67	102284255	0	703	703	5482	215	215	0	2	92	200
68	119538425	0	712	712	5554	218	218	0	2	94	203
69	122200350	0	721	721	5626	221	221	0	2	97	207
70	145695575	0	731	731	5698	224	224	0	2	100	212
71	148846828	0	740	740	5771	227	227	0	2	108	227
72	152020671	0	749	749	5843	230	230	0	2	112	233
73	166303869	0	758	758	5915	233	233	0	2	116	240
74	169752313	0	768	768	5987	236	236	0	2	120	246
75	196321053	0	777	777	6059	239	239	0	2	122	248
76	200282830	0	786	786	6131	242	242	0	2	126	254
77	204271107	0	795	795	6203	245	245	0	2	130	260
78	232789912	0	805	805	6275	248	248	0	2	136	272
79	237306052	0	814	814	6348	251	251	0	2	140	280
80	241822192	0	823	823	6420	254	254	0	2	146	292
81	246338332	0	832	832	6492	257	257	0	2	150	300
82	250854472	0	842	842	6564	260	260	0	2	157	314
83	255370612	0	851	851	6636	264	264	0	2	164	328
84	259886752	0	860	860	6708	267	267	0	2	172	344
85	264402892	0	869	869	6780	270	270	0	2	176	352
86	268919032	0	879	879	6853	273	273	0	2	178	356
87	273435172	0	888	888	6925	276	276	0	2	185	370
88	277951312	0	897	897	6997	279	279	0	2	192	384
89	282467452	0	906	906	7069	282	282	0	2	197	394
90	286983592	0	916	916	7141	285	285	0	2	203	406
91	291499732	0	925	925	7213	288	288	0	2	206	412
92	296015872	0	934	934	7285	291	291	0	2	213	426
93	300532012	0	943	943	7357	294	294	0	2	220	440
94	305048152	0	953	953	7430	297	297	0	2	227	454
95	309564292	0	962	962	7502	300	300	0	2	234	468
96	314080432	0	971	971	7574	303	303	0	2	240	480
97	318596572	0	980	980	7646	306	306	0	2	248	496
98	323112712	0	990	990	7718	309	309	0	2	255	510
99	327628852	0	999	999	7790	312	312	0	2	262	524
100	332144992	0	1008	1008	7862	315	315	0	2	269	538
