DataID	Data	ValueName	ComputeLevel	AbsoluteValue	ComputeMode	PercentValue
int32	int32	char	int32	f32	int32	f32
1	0	atk_d	1	25	1	0
2	0	atk_d	1	25	1	0
2	0	d_ac	1	25	1	0
3	0	atk_d	1	25	1	0
3	0	d_ac	1	25	1	0
3	0	hpmax	1	195	1	0
4	0	atk_d	1	25	1	0
4	0	d_ac	1	25	1	0
4	0	hpmax	1	195	1	0
4	0	dhp	1	8	1	0
5	0	atk_d	1	25	1	0
5	0	d_ac	1	25	1	0
5	0	hpmax	1	195	1	0
5	0	dhp	1	8	1	0
5	0	be_dhp	1	8	1	0
6	0	atk_d	1	53	1	0
6	0	d_ac	1	25	1	0
6	0	hpmax	1	195	1	0
6	0	dhp	1	8	1	0
6	0	be_dhp	1	8	1	0
7	0	atk_d	1	53	1	0
7	0	d_ac	1	53	1	0
7	0	hpmax	1	195	1	0
7	0	dhp	1	8	1	0
7	0	be_dhp	1	8	1	0
8	0	atk_d	1	53	1	0
8	0	d_ac	1	53	1	0
8	0	hpmax	1	413	1	0
8	0	dhp	1	8	1	0
8	0	be_dhp	1	8	1	0
9	0	atk_d	1	53	1	0
9	0	d_ac	1	53	1	0
9	0	hpmax	1	413	1	0
9	0	dhp	1	17	1	0
9	0	be_dhp	1	8	1	0
10	0	atk_d	1	53	1	0
10	0	d_ac	1	53	1	0
10	0	hpmax	1	413	1	0
10	0	dhp	1	17	1	0
10	0	be_dhp	1	17	1	0
11	0	atk_d	1	84	1	0
11	0	d_ac	1	53	1	0
11	0	hpmax	1	413	1	0
11	0	dhp	1	17	1	0
11	0	be_dhp	1	17	1	0
12	0	atk_d	1	84	1	0
12	0	d_ac	1	84	1	0
12	0	hpmax	1	413	1	0
12	0	dhp	1	17	1	0
12	0	be_dhp	1	17	1	0
13	0	atk_d	1	84	1	0
13	0	d_ac	1	84	1	0
13	0	hpmax	1	655	1	0
13	0	dhp	1	17	1	0
13	0	be_dhp	1	17	1	0
14	0	atk_d	1	84	1	0
14	0	d_ac	1	84	1	0
14	0	hpmax	1	655	1	0
14	0	dhp	1	27	1	0
14	0	be_dhp	1	17	1	0
15	0	atk_d	1	84	1	0
15	0	d_ac	1	84	1	0
15	0	hpmax	1	655	1	0
15	0	dhp	1	27	1	0
15	0	be_dhp	1	27	1	0
16	0	atk_d	1	119	1	0
16	0	d_ac	1	84	1	0
16	0	hpmax	1	655	1	0
16	0	dhp	1	27	1	0
16	0	be_dhp	1	27	1	0
17	0	atk_d	1	119	1	0
17	0	d_ac	1	119	1	0
17	0	hpmax	1	655	1	0
17	0	dhp	1	27	1	0
17	0	be_dhp	1	27	1	0
18	0	atk_d	1	119	1	0
18	0	d_ac	1	119	1	0
18	0	hpmax	1	928	1	0
18	0	dhp	1	27	1	0
18	0	be_dhp	1	27	1	0
19	0	atk_d	1	119	1	0
19	0	d_ac	1	119	1	0
19	0	hpmax	1	928	1	0
19	0	dhp	1	38	1	0
19	0	be_dhp	1	27	1	0
20	0	atk_d	1	119	1	0
20	0	d_ac	1	119	1	0
20	0	hpmax	1	928	1	0
20	0	dhp	1	38	1	0
20	0	be_dhp	1	38	1	0
21	0	atk_d	1	158	1	0
21	0	d_ac	1	119	1	0
21	0	hpmax	1	928	1	0
21	0	dhp	1	38	1	0
21	0	be_dhp	1	38	1	0
