ID	ShowName	LevelName	NextSceneID	BornData	MapType	CopyType	CopyScore	CopyPreID	CopyLevel	TOD	ParallelCnt	LoadValue	PlayerMax	CloseTime	KeepTime	SceneAttributes	SizeX	SizeY	BlockSize	ReliveTime	ReliveFlags	Name	secondsToSyncDB	TipsInType	TipsInTxt	TokenCountMin	TokenCountMax	TokenCondition	TokenAttribute	SoundID	MainUiMould	XmlLoader
int32	int32	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	char
1	110000	select	0	0	0	0	0	0	0	0	4	10	1	600	7200	0	300	300	50	4	0	F_M_QFS	0	0	0	0	0	0	0	3002	0	-1
2	110001	plot_shandong_0_0	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	plot_shandong_0_0	0	0	0	0	0	0	0	3002	0	-1
3	110002	plot_shandong_1_0	5	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	plot_shandong_1_0	0	0	0	0	0	0	0	3002	0	Config/MapConfig/plot_shandong_1_0.bytes
4	110003	xinshou_yewai_01	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	xinshou_yewai_01	0	0	0	0	0	0	0	3002	0	-1
5	110004	chengshi_zhucheng	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	chengshi_zhucheng	0	0	0	0	0	0	0	3002	0	-1
6	110005	pvp_shandong_0	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	pvp_shandong_0	0	0	0	1	8	0	0	3002	0	Config/MapConfig/pvp_shandong_0.bytes
15	110006	F_M_SM	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3002	0	-1
17	110007	F_M_ZTSM	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_ZTSM	0	0	0	0	0	0	0	3002	0	Config/MapConfig/F_M_ZTSM.bytes
18	110008	Test_ani	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	Test_ani	0	0	0	0	0	0	0	3002	0	-1
100	110009	jq_shandong_1_0	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	jq_shandong_1_0	0	0	0	0	0	0	0	3002	0	Config/MapConfig/jq_shandong_1_0.bytes
101	110010	F_M_SM	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3002	0	-1
102	110011	xinshou_yewai_01	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	xinshou_yewai_01	0	0	0	0	0	0	0	3002	0	-1
103	110012	F_M_SN	0	200	0	0	0	0	0	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SN	0	0	0	0	0	0	0	3002	0	-1
104	110013	shinei_xinshou_02	5	200	2	1000	1	0	1	0	4	200	1000	600	7200	0	600	600	50	126	0	shinei_xinshou_02	0	0	0	1	1	0	1	3002	0	-1
1000	110014	shinei_xinshou_02	5	200	2	1000	1	0	1	0	4	200	1000	600	7200	0	500	500	50	126	0	shinei_xinshou_02	0	0	0	1	1	0	1	3001	0	-1
1001	110015	plot_shandong_1_1	5	200	2	1001	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	plot_shandong_1_1	0	0	0	1	1	0	1	3001	0	Config/MapConfig/plot_shandong_1_1.bytes
1002	110016	plot_shandong_1_2	5	200	2	1001	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	plot_shandong_1_2	0	0	0	1	1	0	1	3001	0	Config/MapConfig/plot_shandong_1_2.bytes
1003	110017	plot_shandong_1_3	5	200	2	1001	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	plot_shandong_1_3	0	0	0	1	1	0	1	3001	0	Config/MapConfig/plot_shandong_1_3.bytes
1004	110018	plot_shandong_1_4	5	200	2	1001	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	plot_shandong_1_4	0	0	0	1	1	0	1	3001	0	Config/MapConfig/plot_shandong_1_4.bytes
1005	110019	plot_shandong_1_5	5	200	2	1001	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	plot_shandong_1_5	0	0	0	1	1	0	1	3001	0	Config/MapConfig/plot_shandong_1_5.bytes
1006	110020	plot_shandong_1_6	5	200	2	1001	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	plot_shandong_1_6	0	0	0	1	1	0	1	3001	0	Config/MapConfig/plot_shandong_1_6.bytes
1007	110021	F_M_SM	0	200	0	0	0	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3001	0	-1
1008	110022	F_M_SM	0	200	0	0	0	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3001	0	-1
