SkillID	SkillNameID	MSV_SrcCheck	MSV_TarCheck	MSV_SkillType	MSV_SkillAttr	MSV_BaseSkillID	MSV_TriggerType	MSV_TriggerCheck	MSV_TriggerNotify	MSV_TriggerDataID	MSV_TriggerValue	MSV_TriggerProbability	MSV_SpellLogic	MSV_SpellParam1	MSV_SpellParam2	MSV_SpellParam3	MSV_CastType	MSV_TarType	MSV_Range	MSV_SlipDis	MSV_DodgeTime	MSV_LockTime	MSV_LastTime	MSV_CDGroup	MSV_CDTime	MSV_CostType1	MSV_CostValue1	MSV_CostType2	MSV_CostValue2	MSV_LauncherLogic	MSV_LauncherParam1	MSV_LauncherParam2	MSV_LauncherParam3	MSV_ProjectileLogic	MSV_ProjectileTime	MSV_ProjectileSpeed	MSV_ProjectileEffectTime	MSV_ProjectileEffectCount	MSV_ProjectileParam1	MSV_ProjectileParam2	MSV_ProjectileParam3	MSV_ProjectileEffectID	MSV_ProjectileDieEffectID	MSV_ProjectileTimeOutEffectID	MSV_ProjectileFly1EffectID	MSV_ProjectileFly2EffectID	MSV_AreaLogic	MSV_AreaTarCheck	MSV_AreaFilter	MSV_AreaTarCnt	MSV_AreaParam1	MSV_AreaParam2	MSV_AreaParam3	MSV_EffectDelayTime	MSV_EffectTime	MSV_EffectCount	MSV_EffectType	MSV_EffectLogic	MSV_EffectParam1	MSV_EffectParam2	MSV_EffectParam3	MSV_EffectCalculation	MSV_EffectTransform	MSV_EffectBeatBack	MSV_BeaBackSrcCond	MSV_BeatBackTarCond	MSV_BeatBackType	MSV_BeatBackDir	MSV_BeatBackOffsetDis	MSV_BeatBackFixedDis	MSV_BeatBackMoveTime	MSV_BeatBackLifeTime	MSV_SkillDis	MSV_SkillMoveDir	MSV_SkillMoveStartTime	MSV_SkillMoveEndTime	MSV_AnimID	MSV_WeaponID	MSV_CombatPerformanceID	MSV_CombatPerformanceTimes	MSV_EndureLevel	MSV_CombatWarningID
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	int32	int32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32
101	500101	102	0	3	524289	0	0	0	0	0	0	0	10006	100204	2000	-1	0	1	5	0	0	0	2000	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2001	1	0	0
5001	505001	0	0	4	0	0	0	0	0	0	0	0	20003	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	512	0	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5002	505002	102	0	2	655360	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	3	2	0	400	700	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	3	1	30	10	0	200	1	1	1	0	0	0	126	0	1	0	0	0	1	0.5	-1	700	700	0.5	0	0	0	100101	51	1001	1	1	0
5003	505003	102	0	2	655360	5002	0	0	0	0	0	0	10001	-1	-1	-1	0	8	3	2	0	500	800	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	3	1	30	10	0	200	1	1	1	0	0	0	126	0	1	0	0	0	1	0.5	-1	700	700	0.5	0	0	0	100102	51	1002	1	1	0
5004	505004	102	0	2	655360	5002	0	0	0	0	0	0	10001	-1	-1	-1	0	8	3	2	0	700	1000	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	3	1	30	10	0	200	1	1	1	0	0	0	126	0	1	0	0	0	1	1	-1	700	700	1	0	0	0	100103	51	1003	1	1	0
5006	505006	102	0	2	528640	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	0	0	0	500	1900	5006	0	0	0	0	0	2	0	0	0	1	900	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1	1024	0	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	10	0	0	0	100104	51	-1	0	2	0
5007	505007	0	0	12	0	0	11	2050	4	5006	0	1000	30001	0	0	0	0	4	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	50	0	0	0	0	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	3	0	0
5008	505008	102	0	2	524288	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	0	0	0	500	1100	5008	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	200	1	512	4	5008	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100105	0	-1	0	2	0
5009	505009	102	0	2	2097152	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	0	0	0	500	967	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	200	1	512	4	5010	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100106	0	-1	0	10	0
5011	505011	102	0	2	2097153	5009	0	0	0	0	0	0	10005	1000	3	100107	2	1	0	0	0	500	967	5011	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	512	3	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100106	0	-1	0	10	0
5012	505012	0	0	12	0	0	1	2050	1	5006	0	1000	30001	-1	-1	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	200	1	512	4	5009	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5013	505013	0	0	28	0	0	3	1052673	1	0	0	1000	30001	0	0	0	0	2	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1024	4	5014	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5014	505014	102	0	2	524288	0	0	0	0	0	0	0	10001	0	0	0	0	1	10	0	0	1233	1533	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	4	100	0	0	0	300	1	512	4	5015	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100108	1001	1004	1	3	0
5101	505101	0	0	4	0	0	0	0	0	0	0	0	20002	1	2000	600	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	528	4	5101	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5102	505102	102	0	2	589824	0	0	0	0	0	0	0	10001	-1	-1	-1	0	2	20	0	0	500	1000	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	250	1	1	1	10	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100201	2	100	3	1	0
5103	505103	0	0	4	0	0	0	0	0	0	0	0	20002	0	2000	600	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	528	4	5103	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5106	505106	102	0	2	524288	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	0	0	0	700	1000	5106	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	300	1	528	4	5106	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100203	0	-1	0	2	0
5107	505107	102	0	2	524289	0	0	0	0	0	0	0	10002	100204	2000	-1	0	8	20	0	0	0	2000	5107	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	17	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100204	9	2001	1	2	0
5108	505108	102	0	2	2104068	0	0	0	0	0	0	0	10001	-1	-1	-1	0	4	0	0	0	2700	3100	5108	0	0	0	0	0	2	0	0	0	3	15000	0	300	0	0	0	0	7006	0	0	0	0	2	10	0	1	30	0	0	0	1000	1	528	4	5108	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100205	0	-1	0	10	0
5110	505110	0	0	28	0	0	3	1052673	1	0	0	1000	30001	0	0	0	0	2	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1024	4	5111	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
