ID	logicid	dataid	name	modelid	damage_rate	part_hp	part_hpmax	balancerate	faintrate	part_type
int32	int32	int32	char	int32	f32	int32	int32	f32	f32	int32
0	5	0	神坛帽子	1	0.1	5	5	0	0	0
1	-1	0	神坛帽子(破坏后)	0	1	0	0	0	0	0
2	-1	0	夜血头	0	1.5	0	0	0	1	0
3	5	6	夜血翅膀	2	1	100	100	1	0	0
4	-1	0	夜血尾巴	0	0.8	0	0	1	0	0
5	-1	0	夜血腿	0	0.8	0	0	1	0	0
6	-1	0	夜血躯干	0	0.8	0	0	1	0	0
7	-1	0	夜血翅膀(破坏后)	3	1.2	0	0	1	0	0
8	-1	0	虎怅	4	1	0	0	0	0	0
9	-1	0	虎怅（复活后）	5	1	0	0	0	0	0
10	-1	0	楚宁头（正常）	6	1.5	10	10	0	0	0
11	5	8	楚宁爪（正常）	8	1.8	200	200	0	1	0
12	5	9	楚宁尾巴（正常）	10	1	150	150	0	0	0
13	-1	0	楚宁腿	0	1.2	0	0	0	1	0
14	-1	0	楚宁躯干	0	1	0	0	0	1	0
15	5	7	楚宁头（充能）	7	1.2	60	60	0	0	0
16	-1	0	楚宁爪（破坏）	9	1.2	0	0	0	1	0
17	-1	0	楚宁尾巴（破坏）	11	1.2	0	0	0	0	0
18	-1	0	楚宁尾巴根	11	1.2	0	0	0	0	0
19	5	10	章鱼触手a破坏前	13	2	240	240	0	0	0
20	-1	0	章鱼触手a破坏后	14	1	0	0	0	0	0
21	5	11	章鱼触手2破坏前	15	2	161	161	0	0	0
22	-1	0	章鱼触手2破坏后	16	1	0	0	0	0	0
23	-1	-1	章鱼触手a弱点	-1	10	0	0	0	0	0
24	-1	-1	章鱼触手b弱点	-1	10	0	0	0	0	0
25	-1	-1	鸟人爆头点	-1	5	0	0	0	0	1
26	-1	-1	鸟人正常	-1	1	0	0	0	0	0
