ReMark	 Des	ID	titleid	MNTitleStr	level	starlevel	vocation	npcflag	camp	sex	modid	ModSize	MinReliveTime	MaxReliveTime	aidataid	skillgroup	aialarmid	counter	movespeed	turnspeed	collisiontype	ownershiplogic	dialogid	bubbleid	growid	growcount	evil_value_dec	dropcustomid	dropquestid	droptemplateid	dropworldid	dropradius	triggereventflag	npcexp	npcexpparam
char	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	int32	int32	int32	int32	int32	int32	f32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	int32	int32	f32
0	0	211	99999999	99999999	25	2	93	61	-1	0	2	4	0	0	18	0	18	0	4	0	9	2	1	0	0	0	1	0	0	0	105	0	0	0	0
0	0	212	99999999	99999999	1	2	93	61	11	0	2	4	0	0	17	201	0	0	4	0	9	4	2	0	0	0	1	0	0	0	0	0	0	0	0
0	0	213	99999999	99999999	25	2	93	61	11	0	2	4	0	0	17	0	0	0	4	0	9	1	3	0	0	0	1	0	0	0	105	0	0	0	0
0	0	214	99999999	99999999	25	2	93	61	11	0	2	4	0	0	18	0	18	0	4	0	9	4	4	0	0	0	1	0	0	0	0	0	0	0	0
0	0	215	99999999	99999999	25	2	93	61	11	0	2	4	0	0	-1	0	4	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
0	0	301	99999999	99999999	25	2	93	61	11	0	2	4	0	0	17	201	0	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
0	0	302	99999999	99999999	25	2	93	61	11	0	2	4	0	0	19	202	7	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
0	0	303	99999999	99999999	25	2	93	61	11	0	2	4	0	0	20	203	7	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
0	0	304	99999999	99999999	25	2	93	61	11	0	2	4	0	0	-1	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
0	0	305	99999999	99999999	25	2	93	61	11	0	2	4	0	0	21	204	0	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
0	0	5108	99999999	99999999	25	2	93	61	20	0	5108	4	0	0	18	0	18	0	4	0	9	2	7708	0	0	0	1	0	0	0	105	0	0	0	0
