ID	Des	resid	modid	AttributeGroupID	level	starlevel	vocation	camp	bornanim	npcflag	collisiontype	vehicletype
int32	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32
0	乌龟坐骑	0	703	0	0	0	0	0	-1	0	35	1
1	PCU载具弩箭	1	720	40000	0	0	0	0	-1	0	9	1
3	龙马坐骑	3	700	0	0	0	0	0	-1	0	1000	1
4	灰熊坐骑	4	705	0	0	0	0	0	-1	0	1000	1
5	老虎坐骑	5	704	0	0	0	0	0	-1	0	9	1
6	中级龙马坐骑	6	701	0	0	0	0	0	-1	0	1000	1
7	高级龙马坐骑	7	702	0	0	0	0	0	-1	0	1000	1
8	白虎	8	707	0	0	0	0	0	-1	0	9	1
9	火麒麟	9	706	0	0	0	0	0	-1	0	1000	1
10	白熊	10	708	0	0	0	0	0	-1	0	1000	1
11	雪啸虎	10	714	210001	0	0	0	0	-1	0	89	1
12	DS32食用型	10	703	0	0	0	0	0	-1	0	1000	1
13	白熊	10	708	0	0	0	0	0	-1	0	1000	1
14	巨人	14	712	0	0	0	0	0	-1	0	1000	1
21	龙马	10	716	220001	0	0	0	0	-1	0	84	1
31	熊王	10	708	230001	0	0	0	0	-1	0	83	1
41	巨人	10	712	240001	0	0	0	0	-1	0	72	1
51	鹿蜀	10	715	250001	0	0	0	0	-1	0	75	1
61	夔牛	10	713	260001	0	0	0	0	-1	0	73	1
71	VIP专属夔牛	10	713	260001	0	0	0	0	-1	0	35	1
100	变身鱼人	10000	79	170	0	0	0	2	-1	0	9	1
10000	变身测试	10000	79	10054	0	0	0	2	-1	0	9	1
10001	移动射击神兽测试	10001	10001	10054	0	0	0	0	-1	0	9	1
10002	夔牛载具测试	10002	713	10396	0	0	0	0	-1	0	35	1
10003	龙马tps	0	716	0	0	0	0	0	0	0	84	1
10004	白熊tps	0	708	0	0	0	0	0	0	0	83	1
10005	巨人tps	0	712	0	0	0	0	0	0	0	72	1
10006	鹿蜀tps	0	715	0	0	0	0	0	0	0	75	1
10007	夔牛tps	0	713	0	0	0	0	0	0	0	0	1
