DataID	Data	ValueName	ComputeLevel	AbsoluteValue	ComputeMode	PercentValue
int32	int32	char	int32	f32	int32	f32
7	1	hprecoveryspd	1	10	0	0
7	2	hprecoveryspd	1	15	0	0
8	1	hpmax	1	10	0	0
8	2	hpmax	1	15	0	0
9	1	hpmax	1	10	0	0
9	2	hpmax	1	15	0	0
12	1	hpmax	1	50	0	0
12	2	hpmax	1	100	0	0
13	1	spr	1	3	0	0
14	1	spr	1	-0.5	0	0
103	1	cddr	1	0.8	2	0
103	1	cpdr	1	0.8	2	0
104	1	hpmax	1	0	2	0.2
105	1	ddr	1	-0.3	2	0
106	1	ddr	1	0.5	2	0
108	1	d_ac_r	1	0.2	2	0
201	1	spr	1	-0.7	2	0
204	1	atk_p_r	1	0.2	2	0
204	1	d_ac_r	1	-0.1	2	0
204	1	p_ac_r	1	-0.1	2	0
205	1	cdr	1	0.9	2	0
