effectid	particle	scale	lifetime	sound	needpreload
int32	char	f32	f32	int32	int32
1	Effects/Particle/Common/miaozhun_041.prefab	1	-1	0	1
2	Effects/Particle/Common/Eff_Target_071.prefab	1	-1	0	1
1001	Effects/Hero/shan_hero_60.prefab	1	-1	0	1
1002	Effects/Hero/chang_hero.prefab	1	-1	0	1
1003	Effects/Hero/quan_hero.prefab	1	-1	0	1
1004	Effects/Hero/ring_hero.prefab	1	-1	0	1
1005	Effects/Hero/shan_hero_120.prefab	1	-1	0	1
2001	Effects/Particle/Common/Attack_41.prefab	1	-1	4002	1
2002	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0002.prefab	1	-1	4002	1
2003	Effects/Particle/Common/Bomb_041.prefab	1	-1	0	1
2004	Effects/Particle/Common/Attack_42.prefab	1	-1	4002	1
2005	Effects/Particle/Common/Attack_43.prefab	1	-1	4002	1
2006	Effects/Particle/Common/Attack_44.prefab	1	-1	0	1
2007	Effects/Particle/Player/LD_01/skill_bq_both_n_0002_shouji_01.prefab	1	-1	0	1
2008	Effects/Particle/Player/SQ_01/EFF_atk_sq_both_y_0003_hit.prefab	1	-1	0	1
2009	Effects/Particle/Common/Bomb_071.prefab	1	-1	100708	1
2010	Effects/Particle/Common/Bomb_072.prefab	1	-1	100709	1
2011	Effects/Particle/Common/Bomb_073.prefab	1	-1	0	1
2012	Effects/Particle/Common/GUN_Bullet_071.prefab	1	-1	0	1
2013	Effects/Particle/Common/Attack_42.prefab	0.5	-1	0	1
2014	Effects/Particle/Common/Attack_45.prefab	1	-1	0	1
2015	Effects/Particle/Common/Attack_46.prefab	1	-1	0	1
2016	Effects/Particle/Common/SQ_attack_01.prefab	1	-1	0	1
2017	Effects/Particle/Player/DP_02/EFF_dp2_miansi_shouji.prefab	1	-1	0	1
2018	Effects/Particle/Player/XDQ_01/EFF_atk_xdq_001_hit.prefab	1	-1	100709	1
2019	Effects/Particle/Player/XDQ_01/EFF_xdq_baozha_001.prefab	1	-1	0	1
2020	Effects/Particle/Player/FYP_01/atk_fyp_none_y_0001_hit.prefab	1	-1	0	1
2021	Effects/Particle/Player/FYP_01/skill_fyp_none_y_0005.prefab	1	-1	0	1
2022	Effects/Particle/Common/atk_ssdj_both_j_0001_shouji_01.prefab	1	-1	0	1
2023	Effects/Particle/Common/atk_ssdj_both_j_0001_shouji_02.prefab	1	-1	0	1
