ReMark	 Des	ID	titleid	MNTitleStr	level	starlevel	vocation	npcflag	camp	sex	modid	ModSize	MinReliveTime	MaxReliveTime	aidataid	skillgroup	aialarmid	counter	collisiontype	ownershiplogic	dialogid	bubbleid	runspeed	circuityspeed	turnspeed	bornanim	dropquestid	droptemplateid	dropworldid	dropradius	triggereventflag	npcexp	npcexpparam
char	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	f32	int32	int32	int32	int32	f32	int32	int32	f32
0	0	211	6000211	7000211	1	3	2	61	-1	0	2	4	0	0	50	206	0	0	0	2	1	0	6	2	2	-1	0	0	105	0	0	0	0
0	0	212	6000212	7000212	1	3	2	61	2	0	2	4	0	0	50	206	0	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	213	6000213	7000213	1	3	2	61	2	0	2	4	0	0	50	206	0	0	0	1	-1	0	6	2	2	-1	0	0	105	0	0	0	0
0	0	214	6000214	7000214	1	3	2	61	2	0	2	4	0	0	-1	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	215	6000215	7000215	1	3	2	61	2	0	2	4	0	0	-1	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	216	6000216	7000216	1	3	2	61	2	0	2	4	0	0	-1	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	301	6000301	7000301	25	3	2	61	2	0	2	4	0	0	17	201	0	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	302	6000302	7000302	25	3	2	61	2	0	2	4	0	0	19	202	7	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	303	6000303	7000303	25	3	2	61	2	0	2	4	0	0	20	203	7	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	304	6000304	7000304	25	3	2	61	2	0	2	4	0	0	-1	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	305	6000305	7000305	25	3	2	61	2	0	2	4	0	0	21	204	0	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	306	6000306	7000306	100	1	19	61	2	0	2	4	0	0	-1	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0	0	5108	6005108	7005108	25	3	2	61	2	0	15108	4	0	0	18	0	18	0	0	2	7708	0	6	2	2	-1	0	0	105	0	0	0	0
0	0	15220	6015220	7015220	25	3	2	61	-1	0	10001	4	0	0	2	401	8	0	0	2	7708	0	6	2	2	-1	0	0	105	0	0	0	0
0	0	15221	6015221	7015221	25	3	2	61	-1	0	10001	4	0	0	22	402	9	0	0	2	7708	0	6	2	2	-1	0	0	105	0	0	0	0
0	0	15222	6015222	7015222	25	3	2	61	2	0	2	4	0	0	23	205	0	0	0	4	1	0	6	2	2	-1	0	0	0	0	0	0	0
