ID	Title	enterlogic	enterdata	leavelogic	leavedata	activecount
int32	char	int32	int32	int32	int32	int32
0	触发器0	2106	0	-1	0	1
1	触发器1	2106	1	-1	0	1
2	触发器2	2106	2	-1	0	1
3	触发器3	2106	3	-1	0	1
4	触发器4	2106	4	-1	0	1
5	触发器5	2106	5	-1	0	1
6	触发器6	2106	6	-1	0	1
7	触发器7	2106	7	-1	0	1
8	触发器8	2115	2	2116	2	1
9	触发器9	2115	3	2116	3	1
10	触发器10	2104	0	-1	0	1
11	触发器11	2106	11	-1	0	1
12	触发器12	2106	12	-1	0	1
13	触发器13	2106	13	-1	0	1
14	触发器14	2106	14	-1	0	1
15	触发器15	2106	15	-1	0	1
16	触发器16	2106	16	-1	0	1
17	触发器17	2124	0	-1	-1	1
18	触发器18	2106	18	-1	0	1
19	触发器19	2106	19	-1	0	1
20	触发器20	2106	20	-1	0	1
21	触发器21	2106	21	-1	0	1
22	触发器22	2115	2	2116	2	1
23	触发器23	2115	1	2116	1	1
24	触发器24	2115	4	2116	4	1
25	触发器25	2106	16	-1	0	1
26	触发器26	2106	17	-1	0	1
27	触发器27	2106	15	-1	0	1
28	中心广场任务3	2127	1	-1	0	1
29	CreateMonsters_GP2C1	2127	0	-1	0	1
30	废弃	2124	15	-1	0	1
31	蜃楼城刷坛子水缸	2124	14	-1	0	1
100	触发器100	2110	0	-1	0	1
101	触发器101	2106	15	-1	0	1
500	触发器500	2107	0	-1	0	1
501	触发器501	2107	1	-1	0	1
502	触发器502	2107	2	-1	0	1
503	触发器503	2107	3	-1	0	1
504	触发器504	2107	4	-1	0	1
505	触发器505	2108	0	-1	0	1
506	触发器506	2109	0	-1	0	1
507	触发器507	2109	1	-1	0	1
508	触发器508	2109	2	-1	0	1
509	触发器509	2109	3	-1	0	1
510	触发器510	2109	4	-1	0	1
511	触发器511	2107	5	-1	0	1
512	触发器512	2107	6	-1	0	-1
513	触发器513	2103	0	-1	0	-1
514	触发器514	2103	1	-1	0	-1
515	触发器515	2113	0	-1	0	1
516	触发器516	2107	7	-1	0	1
517	触发器517	2107	0	-1	0	1
518	触发器518	2113	1	-1	0	1
519	getQuest1	2118	0	-1	-1	1
520	区域类完成	-1	-1	-1	-1	100
521	蜃楼城跳转海战(暂时跳到1)	2131	0	-1	-1	1
522	蜃楼城上船开船	2119	0	-1	-1	100
523	载具测试场景	2107	8	-1	-1	1
524	海战刷怪	2106	21	-1	0	1
525	宋亦之	2106	22	-1	0	1
526	CG1触发	2106	23	-1	0	1
527	玩家场景状态触发器	2121	0	-1	0	1
528	宋亦之GP1	2124	1	-1	0	1
529	删除宋亦之GP1	2123	0	-1	0	1
530	宋亦之GP1Test	2106	24	-1	0	1
531	删除宋亦之GP1Test	2123	0	-1	0	5
532	宋亦之GP2A	2124	2	-1	0	1
533	删除宋亦之GP2A	2123	0	-1	0	1
534	玩家场景状态触发器2	2121	2	-1	0	1
535	getQuest2-1	2118	1	-1	-1	1
536	getQuest2-3	2118	3	-1	-1	1
537	getQuest3	2118	4	-1	-1	1
538	getQuest4	2118	5	-1	-1	1
539	getQuest5-1	2118	6	-1	-1	1
540	getQuest6	2118	7	-1	-1	1
541	getQuest7	2118	8	-1	-1	1
542	getQuest8-1	2118	9	-1	-1	1
543	getQuest8-2	2118	10	-1	-1	1
544	getQuest9	2118	11	-1	-1	1
545	CreateMonsters_GP2A2	2106	25	-1	0	1
546	CreateMonsters_GP2B	2106	26	-1	0	1
547	CreateMonsters_GP3B	2124	8	-1	0	1
548	区域类完成2	-1	-1	-1	-1	100
549	门口第一个鸟人	2124	4	-1	-1	1
550	GP1_5第1波鸟人	2124	5	-1	-1	1
551	GP1_5第二波鸟人	2124	6	-1	-1	1
552	CreateMonsters_GP2B1	2124	7	-1	-1	1
553	宋亦之GP2C	2124	3	-1	0	1
554	删除宋亦之GP2C	2123	0	-1	0	1
555	删除指定渗漏城大炮鸟人1	2123	1	-1	0	1
556	删除指定渗漏城大炮鸟人_NEW_GP1	2123	2	-1	0	1
557	蜃楼城大炮鸟人	2124	9	-1	-1	1
558	蜃楼城大炮鸟人_NEW_GP1	2124	11	-1	-1	1
559	GP2_5追逐区弓箭手	2124	12	-1	-1	1
560	Create_Song_GP1_5	2124	13	-1	0	1
561	GPtest宋弈之	2125	0	-1	0	10
562	删除宋亦之GP1_5	2123	3	-1	0	1
563	getQuest10	2118	12	-1	-1	1
564	getQuest11	2118	13	-1	-1	1
565	创建章鱼BOSS	2124	16	-1	-1	1
566	创建QTE石头交互	2124	17	-1	-1	1
567	宋亦之GP2C_1	2125	1	0	0	1
568	宋亦之GP2C_2	2125	2	0	0	1
569	宋亦之GP2C_3	2125	3	0	0	1
570	宋亦之GP2C_4	2125	4	0	0	1
571	delete QTE Stone	2123	4	0	-1	1
572	给普通攻击技能	2128	0	0	-1	1
573	给普通攻击重击技能	2128	1	0	-1	1
574	给AAAB	2128	2	0	-1	1
575	给浮空，空中连续技	2128	3	0	-1	1
576	给冲刺A/B	2128	4	0	-1	1
577	给破防	2128	5	0	-1	1
578	给必杀技	2128	6	0	-1	1
579	海战刷怪1	2124	18	-1	0	1
580	10级副本传送1-2	2115	5	-1	0	1
581	10级副本传送2-3	2115	6	-1	0	1
582	10级副本传送3-4	2115	7	-1	0	1
583	10级副本room1ship1	2124	19	-1	0	1
584	10级副本room1ship2	2127	2	-1	0	1
585	10级副本room1ship3	2124	20	-1	0	1
586	10级副本room2ship1	2124	21	-1	0	1
587	10级副本room2ship2	2124	22	-1	0	1
588	10级副本room2ship3	2124	23	-1	0	1
589	海战刷怪2	2124	24	-1	0	1
590	海战刷怪3	2124	25	-1	0	1
591	海战刷怪4	2124	26	-1	0	1
592	海战刷怪5	2124	27	-1	0	1
593	海战刷怪6	2124	28	-1	0	1
594	海战刷怪7	2124	29	-1	0	1
595	海战刷怪8	2124	30	-1	0	1
596	刷怪test	2109	4	0	0	1
597	10级副本传送2-1	2115	8	-1	0	1
598	奔跑吧小伙伴(蜃楼城)	2129	0	-1	0	1
599	海战刷怪9	2124	32	-1	0	1
600	海战刷怪10	2124	33	-1	0	1
601	无双区第二波	2127	6	-1	0	1
602	宋亦之中心广场setpos	2125	5	-1	0	1
604	蜃楼城海战跳转到3号场景	2107	15	-1	0	1
605	蜃楼城炸药桶	2124	35	-1	0	100
606	蜃楼城陷阱(中心广场前)	2124	36	-1	0	100
607	蜃楼城陷阱(中心广场后)	2124	37	-1	0	100
608	删除蜃楼城炸药桶	2123	5	-1	0	100
609	删除蜃楼城陷阱(中心广场前)	2123	6	-1	0	100
610	删除蜃楼城陷阱(中心广场后)	2123	7	-1	0	100
611	删除鸟人A1A2	2123	8	-1	0	1
612	删除鸟人A3A4A5	2123	9	-1	0	1
613	删除鸟人B1B2	2123	10	-1	0	1
614	删除鸟人B3B4	2123	11	-1	0	1
615	删除鸟人B5B6	2123	12	-1	0	1
616	删除鸟人C1	2123	13	-1	0	1
617	删除鸟人C2	2123	14	-1	0	1
618	删除鸟人C3	2123	15	-1	0	1
619	删除鸟人C4	2123	16	-1	0	1
620	删除鸟人C5	2123	17	-1	0	1
700	凤尾城zone1跳转zone2	2115	9	-1	0	1
701	凤尾城门口怪+门	2127	13	-1	0	1
702	凤尾城门后怪	2127	14	-1	0	1
703	凤尾城ZONE1结束怪	2127	15	-1	0	1
704	改变NPC声望	2135	0	0	0	1
705	副本评分触发	2111	0	-1	0	100
710	副本挑战开始触发	2151	0	0	0	1
800	凤尾城占用	2127	15	-1	0	1
5021	任务触发	2127	8	0	-1	1
6000	测试触发器	2115	5	-1	0	1
