ParamID	ParamName	CreateTable	SMUCount	TableCount	ExportServer	ExportClient	LoadData	DeleteRecord	DBASHMType
int32	char	int32	int32	int32	int32	int32	int32	int32	int32
0	avatar	1	1	1	1	1	1	0	1
1	monster	0	0	1	1	1	1	0	0
2	skill	0	100	1	1	1	0	1	1
3	gem	1	1	1	1	1	0	1	1
4	coin	1	6	1	1	1	0	1	1
6	rewardactivity	1	4	1	0	0	0	1	1
7	game	1	0	1	1	1	0	1	0
8	credit	1	100	1	1	1	0	1	1
9	card	1	200	1	1	1	0	1	1
10	item	1	200	1	1	1	0	0	1
12	buff	1	20	1	1	1	0	1	1
13	quest	1	16	1	1	1	1	1	1
14	queststate	1	60	1	1	1	1	1	1
15	guild	1	500	1	1	0	0	1	2
16	guildmember	1	100000	1	1	0	0	1	2
17	team	0	10000	1	1	1	0	0	2
18	teammember	0	10000	1	1	1	0	0	2
19	guildapplicant	0	10000	1	1	0	0	1	2
21	relation	1	100	1	1	1	1	1	1
22	cddata	1	5	1	1	1	0	1	1
33	achievementstate	1	2	1	1	1	0	1	1
40	scene	0	0	1	0	0	0	0	0
46	gamedata	1	20	1	1	1	0	1	1
63	title	1	1	1	1	1	0	1	1
65	arenadata	1	1	1	1	1	0	1	1
78	threat	0	0	0	0	0	0	0	0
81	random	1	100	1	1	1	0	1	1
