CombatWarningID	BaseWarningID	EffectShape	ScaleParam1	ScaleParam2	ScaleParam3	SrcType	bLinkTar	OffsetAngle	OffsetDis	EffectID	DelayTime	TotalTime
int32	int32	int32	f32	f32	f32	int32	int32	f32	f32	int32	f32	f32
1	0	2	0.5	90	0	0	0	0	0	10002	0	3
2	0	2	2	60	0	0	0	-30	0	1001	0	1
3	0	2	2	120	0	0	0	0	0	1005	0	1
4	0	1	4	0	0	0	0	0	0	10003	0	3
5	0	1	4	0	0	0	0	0	1	1003	0	1
6	0	1	4	0	0	1	0	0	0	1003	0	1
7	0	1	4	0	0	0	1	0	0	1003	0	1
8	0	3	1.5	5	0	0	0	0	0	1004	0	1
9	0	4	3.6	1.2	0	0	0	0	0	10001	0	3
10	0	2	2	120	0	0	0	0	0	1005	0	1.2
11	10	2	3	60	0	0	0	0	0	1001	1.2	1.5
12	10	2	4	120	0	0	0	0	0	1005	2.7	3
13	0	4	3	1	0	0	1	-60	1	1002	0	2
14	13	4	3	1	0	0	1	0	1	1002	0	2
15	13	4	3	1	0	0	1	60	1	1002	0	2
