ID	Des	Name	ModelID	AnimID_PutUp	LastTime_PutUp	TransTime_PutUp	AnimID_Slip	LastTime_Slip	TransTime_Slip	AnimID_PutDown	LastTime_PutDown	TransTime_PutDown	AttachID_Down	OffsetX_Down	OffsetY_Down	OffsetZ_Down	RotateX_Down	RotateY_Down	RotateZ_Down	AttachID_Up	OffsetX_Up	OffsetY_Up	OffsetZ_Up	RotateX_Up	RotateY_Up	RotateZ_Up	DeputyID
int32	char	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	f32	f32	f32	f32	int32	f32	f32	f32	f32	f32	f32	int32
0	空武器	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
1	匕首	Knife	1	102	667	35	1006	200	30	103	567	530	9	0	0	0	0	0	0	2	0	0	0	0	0	0	-1
2	突击步枪	Rifle_Base	2	106	1000	500	0	0	0	107	1000	500	10	0	0	0	90	0	0	2	0	0	0	90	0	0	-1
3	NEW-[短拔]盾	Shield	3	104	200	35	1006	200	0	105	1900	1650	10	0	0	0	0	0	0	2	0	0	0	90	0	0	-1
4	突击步枪挂榴弹发射器	Rifle_Base1	6	106	200	200	0	0	0	107	200	200	10	0	0	0	90	0	0	2	0	0	0	90	0	0	-1
5	104的空武器	None104	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	-1
6	[瞬拔]盾	Shield	3	-1	50	20	0	0	0	-1	50	20	10	0	0	0	0	0	0	2	0	0	0	0	0	0	-1
7	NEW-[短拔]双枪左	sq_left	4	100	150	30	0	0	0	101	1133	1000	8	0	0	0	90	0	0	1	0	0	0	90	0	0	8
8	NEW-[短拔]双枪右	sq_right	5	0	0	0	0	0	0	0	0	0	9	0	0	0	90	0	0	2	0	0	0	90	0	0	-1
9	[瞬拔]突击步枪	Rifle_Base	2	0	0	0	0	0	0	0	0	0	10	0	0	0	90	0	0	2	0	0	0	90	0	0	-1
10	[瞬拔]双枪左	sq_left	4	-1	50	20	0	0	0	-1	50	20	8	0	0	0	90	0	0	1	0	0	0	90	0	0	11
11	[瞬拔]双枪右	sq_right	5	0	0	0	0	0	0	0	0	0	9	0	0	0	90	0	0	2	0	0	0	90	0	0	-1
12	[瞬拔]匕首	Knife	1	0	0	0	1006	200	30	103	567	530	9	0	0	0	0	0	0	2	0	0	0	0	0	0	-1
13	[瞬拔]突击步枪挂榴弹发射器	Rifle_Base1	6	0	0	0	0	0	0	107	200	200	10	0	0	0	90	0	0	2	0	0	0	90	0	0	-1
14	[瞬拔]隐形盾	Shield	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
15	8号浮游炮	Fuyoupao	8	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	-1
16	107火箭筒	Huojiantong	12	0	0	0	0	0	0	0	0	2000	10	0	0	0	0	0	0	2	0	0	0	90	0	0	-1
17	5号双手大剑	Ssdj	9	0	50	20	0	0	0	0	0	1800	10	0	0	0	0	0	0	2	0	0	0	0	0	0	-1
51	测试-[短拔]匕首	Knife	1	102	100	35	1006	200	30	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	-1
52	测试-[短拔]突击步枪	Rifle_Base	2	106	100	35	0	0	0	107	1000	500	10	0	0	0	90	0	0	2	0	0	0	90	0	0	-1
54	测试-[短拔]突步挂榴发	Rifle_Base1	6	106	100	35	0	0	0	107	200	200	10	0	0	0	90	0	0	2	0	0	0	90	0	0	-1
1001	[瞬拔瞬收入场技]匕首	Knife	1	0	0	0	1006	200	30	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	-1
