CP_ID	CP_WeaponType	CPLC_AttachPoint	CPLC_LastTime	CPLL_EffectID	CPLL_CreateTime	CPLL_ScaleX	CPLL_ScaleY	CPLL_ScaleZ	CPLF_EffectID	CPLF_CreateTime	CPLF_Speed	CPLH_EffectID	CPLM_Wall	CPLM_Ground	CPLM_Shield	CPML_EffectID	CPML_PauseFrame	CPMH_EffectID	CPMM_Wall	CPMM_Shield
int32	int32	int32	f32	int32	f32	f32	f32	f32	int32	f32	f32	int32	int32	int32	int32	int32	f32	int32	int32	int32
0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	2001	2004	2005
1	1	0	0.2	6001	0.2	1	1	1	4002	0.1	100	2001	2004	2004	2005	0	0	0	0	0
2	1	0	0.2	6001	0.2	1	1	1	0	0	50	2001	2004	2004	2005	0	0	0	0	0
100	1	0	0.2	6001	0.2	1	1	1	4002	0.1	100	2001	2004	2004	2005	0	0	0	0	0
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	2001	2004	2005
200	1	0	0.2	0	0	1	1	1	4002	0.1	100	2001	2004	2004	2005	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	2001	2004	2005
1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267	2001	2004	2005
1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333	2001	2004	2005
1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2001	2004	2005
2001	1	0	0.2	6004	0.1	1	1	1	4003	1.5	60	2006	2004	2004	2005	0	0	0	0	0
3001	1	0	0.2	2005	0.2	1	1	1	0	0	0	2001	2004	2004	2005	0	0	0	0	0
3002	1	0	0.2	2005	0	1	1	1	0	0	0	2007	2004	2004	2005	0	0	0	0	0
104001	1	0	0.2	0	0	1	1	1	4004	0.1	50	2001	2004	2004	2005	0	0	0	0	0
104002	1	0	0.2	0	0	1	1	1	4004	0.1	50	2001	2004	2004	2005	0	0	0	0	0
104003	1	0	0.4	0	0	1	1	1	4004	0.1	50	2001	2004	2004	2005	0	0	0	0	0
104004	1	0	0.2	0	0	1	1	1	0	0	0	2001	2004	2004	2005	0	0	0	0	0
104005	1	0	0.2	0	0	1	1	1	0	0	0	2001	2004	2004	2005	0	0	0	0	0
101001	1	1	0	0	0.2	1	1	1	0	0.6	0	2008	0	0	2005	0	0	0	0	0
101002	1	0	0	0	0.4	1	1	1	0	0.6	0	2008	0	0	2005	0	0	0	0	0
101003	1	2	0	0	0.5	1	1	1	0	0.6	0	2008	0	0	2005	0	0	0	0	0
101004	1	2	0	0	0	1	1	1	0	0.6	0	2008	0	0	0	0	0	0	0	0
101005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2004	2005
102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	2001	2004	2005
102002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	2001	2004	2005
102003	1	0	0.2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2001	0	0
1005202	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1005203	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1005207	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1001001	1	1	0	6010	0.1	1	1	1	4011	0	80	2001	2016	2004	2005	0	0	0	0	0
1001002	1	0	0	6010	0.1	1	1	1	4012	0	80	2001	2016	2004	2005	0	0	0	0	0
1001003	1	2	0	6011	0.5	1	1	1	4013	0	80	2001	2016	2004	2005	0	0	0	0	0
1001004	1	0	0.2	6008	1.2	1	1	1	4008	0.2	40	2001	2015	2004	2005	0	0	0	0	0
1001005	1	0	0.2	6008	1.2	1	1	1	4009	0.2	180	2001	2015	2004	2005	0	0	0	0	0
1001006	1	0	0.2	6009	1.2	1	1	1	4010	0.2	20	2001	2015	2004	2005	0	0	0	0	0
1001007	1	0	0.2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2001	0	0
1001008	1	0	0.2	6007	0.2	1	1	1	0	0	0	0	0	0	2005	0	0	0	0	0
1001009	1	1	0	0	0.1	1	1	1	0	0	80	2001	0	0	0	0	0	0	0	0
1001010	1	0	0	0	0.1	1	1	1	0	0	80	2001	0	0	0	0	0	0	0	0
1001011	1	2	0	0	0.5	1	1	1	0	0	80	2001	0	0	0	0	0	0	0	0
1001012	1	1	0	0	0.1	1	1	1	0	0	80	2001	0	0	0	0	0	0	0	0
1001013	1	1	0	0	0.1	1	1	1	0	0	80	2001	0	0	0	0	0	0	0	0
